,AL356310.1,FER1L6_AS2,ACTG1P23,AL136985.1,DOK1,IGKV1_16,OTX2,AC012507.2,RPL9P33,NCKAP1L,FRMD3,SNX18P27,UBXN7_AS1,SMKR1,MED15,CD200R1,AP001476.2
01H001,0.16731733474817606,0.0,0.0,0.1205739312058499,0.0,0.0,0.008600171761917567,0.0,0.24551266781414982,0.42324587393680785,0.0,0.13353890837021748,0.0,0.4132997640812518,0.5899496013257077,0.0,0.012837224705172217
01H002,0.0,0.004321373782642578,0.0,0.14921911265537988,0.0,0.0,0.0,0.0,0.17026171539495738,0.4487063199050799,0.0,0.03742649794062367,0.0,0.01703333929878037,0.5717088318086876,0.10380372095595687,0.012837224705172217
02H003,0.18752072083646307,0.01703333929878037,0.004321373782642578,0.04921802267018165,0.01703333929878037,0.0,0.0,0.0,0.4899584794248346,0.6748611407378116,0.0,0.03342375548694973,0.0,0.0,0.5763413502057928,0.04139268515822507,0.004321373782642578
02H009,0.146128035678238,0.012837224705172217,0.0,0.06445798922691845,0.0,0.0,0.008600171761917567,0.0,0.292256071356476,0.5526682161121932,0.0,0.08278537031645007,0.01703333929878037,0.0,0.271841606536499,0.012837224705172217,0.04139268515822507
02H017,0.02530586526477026,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.10720996964786837,0.6464037262230695,0.0,0.04921802267018165,0.01703333929878037,0.1205739312058499,0.3053513694466238,0.26245108973042947,0.012837224705172217
02H025,0.1553360374650618,0.02530586526477026,0.0,0.10380372095595687,0.0,0.0,0.0,0.0,0.34635297445063856,0.3521825181113625,0.0,0.03342375548694973,0.004321373782642578,0.04139268515822507,0.36361197989214433,0.23552844690754893,0.0
02H026,0.021189299069938092,0.004321373782642578,0.0,0.12385164096708583,0.0,0.0,0.0,0.0,0.06818586174616162,0.287801729930226,0.0,0.012837224705172217,0.004321373782642578,0.1205739312058499,0.23299611039215382,0.41830129131974547,0.0
02H033,0.04921802267018165,0.0,0.0,0.11727129565576427,0.0,0.0,0.012837224705172217,0.0,0.146128035678238,0.4132997640812518,0.0,0.03342375548694973,0.0,0.13987908640123647,0.2671717284030138,1.1917303933628562,0.0
02H043,0.06069784035361165,0.008600171761917567,0.008600171761917567,0.021189299069938092,0.012837224705172217,0.0,0.0,0.0,0.12710479836480765,0.5065050324048721,0.0,0.03342375548694973,0.0,0.0,0.24054924828259971,0.04532297878665747,0.008600171761917567
02H046,0.20682587603184968,0.021189299069938092,0.012837224705172217,0.07918124604762482,0.0,0.0,0.004321373782642578,0.0,0.33041377334919075,0.8597385661971468,0.0,0.05307844348341968,0.0,0.04921802267018165,0.48572142648158,0.03342375548694973,0.029383777685209667
02H053,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.320146286111054,0.6344772701607316,0.021189299069938092,0.04532297878665747,0.008600171761917567,0.0,0.2944662261615929,0.04921802267018165,0.0
02H066,0.01703333929878037,0.0,0.004321373782642578,0.01703333929878037,0.0,0.0,0.004321373782642578,0.0,0.38021124171160603,0.6404814369704218,0.004321373782642578,0.08635983067474821,0.0,0.004321373782642578,0.4065401804339551,0.1367205671564068,0.008600171761917567
03H016,0.056904851336472634,0.0,0.0,0.28330122870354957,0.0,0.0,0.0,0.0,0.24054924828259971,0.3053513694466238,0.0,0.07554696139253074,0.0,0.26481782300953643,0.6875289612146344,0.06445798922691845,0.008600171761917567
03H022,0.1367205671564068,0.0,0.0,0.3729120029701066,0.0,0.0,0.0,0.0,0.2304489213782739,0.8549130223078556,0.0,0.04921802267018165,0.0,0.4099331233312946,0.5132176000679389,0.24303804868629442,0.0
03H024,0.09342168516223506,0.06445798922691845,0.02530586526477026,0.08990511143939793,0.0,0.0,0.0,0.0,0.29885307640970665,0.42813479402878873,0.0,0.03342375548694973,0.008600171761917567,0.01703333929878037,0.5563025007672873,0.8188854145940099,0.0
03H028,0.0,0.0,0.0,0.13353890837021748,0.0,0.0,0.0,0.0,0.17897694729316943,0.7403626894942439,0.0,0.04139268515822507,0.0,0.0,0.25527250510330607,0.47275644931721233,0.0
03H033,0.09691001300805642,0.004321373782642578,0.004321373782642578,0.08635983067474821,0.0,0.0,0.008600171761917567,0.0,0.25527250510330607,0.4014005407815441,0.0,0.07554696139253074,0.0,0.029383777685209667,0.36548798489089973,0.3364597338485295,0.0
03H036,0.26007138798507473,0.029383777685209667,0.0,0.2528530309798932,0.0,0.0,0.008600171761917567,0.0,0.3384564936046048,0.9609461957338314,0.0,0.13353890837021748,0.0,0.021189299069938092,0.5717088318086876,0.029383777685209667,0.0
03H041,0.07554696139253074,0.0,0.0,0.1205739312058499,0.0,1.0141003215196205,0.0,0.0,0.2148438480476979,0.6263403673750424,0.0,0.05307844348341968,0.012837224705172217,0.271841606536499,0.32633586092875144,0.3384564936046048,0.0
03H052,0.06818586174616162,0.0,0.0,0.290034611362518,0.0,0.0,0.0,0.0,0.10720996964786837,0.4548448600085102,0.0,0.04921802267018165,0.0,0.06069784035361165,0.4548448600085102,0.2528530309798932,0.0
03H060,0.04532297878665747,0.0,0.0,0.2741578492636798,0.0,0.0,0.0,0.0,0.08278537031645007,0.46982201597816303,0.0,0.021189299069938092,0.008600171761917567,0.01703333929878037,0.2966651902615311,1.850829959848531,0.004321373782642578
03H065,0.05307844348341968,0.0,0.0,0.39093510710337914,0.0,0.0,0.0,0.0,0.36172783601759284,0.9222062774390164,0.0,0.1205739312058499,0.008600171761917567,0.021189299069938092,0.5599066250361124,0.5250448070368452,0.0
03H067,0.17026171539495738,0.03342375548694973,0.0,0.1205739312058499,0.012837224705172217,0.0,0.0,0.0,0.31175386105575426,0.7267272090265723,0.0,0.06445798922691845,0.01703333929878037,0.23804610312879543,0.6434526764861874,0.03342375548694973,0.0
03H070,0.09691001300805642,0.0,0.0,0.10037054511756291,0.0,0.0,0.0,0.0,0.43136376415898736,1.0394141191761372,0.0,0.09691001300805642,0.0,0.07554696139253074,0.711807229041191,0.11727129565576427,0.48000694295715063
03H081,0.22271647114758328,0.008600171761917567,0.0,0.13987908640123647,0.0,0.0,0.0,0.0,0.5587085705331657,1.073351702386901,0.0,0.14921911265537988,0.008600171761917567,0.004321373782642578,0.5831987739686227,0.09691001300805642,0.0
03H090,0.021189299069938092,0.0,0.0,0.03342375548694973,0.0,0.0,0.0,0.0,0.4424797690644485,0.9969492484953811,0.0,0.13987908640123647,0.01703333929878037,0.012837224705172217,0.6063813651106049,0.13987908640123647,0.0
03H095,0.12385164096708583,0.07188200730612536,0.0,0.146128035678238,0.0,0.0,0.0,0.0,0.3053513694466238,0.4578818967339924,0.0,0.09691001300805642,0.008600171761917567,0.06069784035361165,0.557507201905658,1.0867156639448825,0.012837224705172217
03H109,0.04139268515822507,0.0,0.004321373782642578,0.1931245983544616,0.03342375548694973,0.0,0.004321373782642578,0.0,0.437750562820388,0.6972293427597176,0.0,0.06818586174616162,0.008600171761917567,0.012837224705172217,0.5502283530550941,0.056904851336472634,0.0
03H112,0.04921802267018165,0.0,0.004321373782642578,0.09342168516223506,0.021189299069938092,0.0,0.0,0.0,0.3384564936046048,0.5301996982030822,0.0,0.04139268515822507,0.0,0.0,0.3996737214810381,0.056904851336472634,0.012837224705172217
03H116,0.021189299069938092,0.03742649794062367,0.0,0.06445798922691845,0.0,0.0,0.0,0.0,0.7895807121644255,0.7944880466591696,0.01703333929878037,0.18184358794477254,0.021189299069938092,0.008600171761917567,0.6946051989335688,0.1931245983544616,0.03342375548694973
03H119,0.31175386105575426,0.146128035678238,0.004321373782642578,0.41995574848975786,0.0,0.0,0.008600171761917567,0.04139268515822507,0.34830486304816066,0.5987905067631151,0.0,0.07554696139253074,0.0,0.029383777685209667,0.5224442335063199,0.39619934709573634,0.0
04H006,0.03342375548694973,0.01703333929878037,0.0,0.029383777685209667,0.0,0.0,0.004321373782642578,0.0,0.17026171539495738,0.8715729355458788,0.0,0.11394335230683678,0.0,0.12385164096708583,0.4345689040341987,0.0,0.008600171761917567
04H024,0.1846914308175988,0.0,0.0,0.10720996964786837,0.0,0.5658478186735176,0.008600171761917567,0.0,0.4424797690644485,0.5428254269591799,0.0,0.07188200730612536,0.008600171761917567,0.04921802267018165,0.5314789170422551,0.17026171539495738,0.3856062735983121
04H025,0.403120521175818,0.01703333929878037,0.004321373782642578,0.1553360374650618,0.0,0.0,0.02530586526477026,0.0,0.6334684555795865,0.9247959957979122,0.0,0.21218760440395779,0.008600171761917567,0.004321373782642578,0.5171958979499743,0.03342375548694973,0.03342375548694973
04H030,0.11394335230683678,0.008600171761917567,0.0,0.29885307640970665,0.0,0.0,0.0,0.0,0.36921585741014284,0.7109631189952756,0.0,0.11727129565576427,0.008600171761917567,0.004321373782642578,0.5289167002776547,0.07188200730612536,0.42813479402878873
04H039,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818586174616162,0.43136376415898736,0.34830486304816066,0.02530586526477026
04H041,0.03742649794062367,0.0,0.0,0.13033376849500614,0.01703333929878037,0.0,0.004321373782642578,0.0,0.12710479836480765,0.541579243946581,0.0,0.06445798922691845,0.04532297878665747,0.437750562820388,0.7160033436347992,0.15228834438305647,0.012837224705172217
04H048,0.10380372095595687,0.008600171761917567,0.029383777685209667,0.26481782300953643,0.0,0.0,0.0,0.0,0.5224442335063199,0.6095944092252201,0.0,0.12710479836480765,0.0,0.0,0.60422605308447,0.46686762035410945,0.0
04H050,0.11394335230683678,0.004321373782642578,0.0,0.23804610312879543,0.0,0.0,0.0,0.0,0.22788670461367355,0.711807229041191,0.0,0.06818586174616162,0.0,0.008600171761917567,0.48144262850230496,3.0338457811151236,0.004321373782642578
04H054,0.11727129565576427,0.008600171761917567,0.0,0.1367205671564068,0.0,0.0,0.0,0.0,0.36921585741014284,0.5211380837040362,0.0,0.07918124604762482,0.008600171761917567,0.0,0.4913616938342727,0.3873898263387294,0.012837224705172217
04H061,0.04921802267018165,0.01703333929878037,0.0,0.22530928172586287,0.0,0.0,0.0,0.0,0.19589965240923368,0.4578818967339924,0.0,0.1205739312058499,0.0,0.008600171761917567,0.6483600109809317,0.1643528557844371,0.0
04H063,0.18752072083646307,0.029383777685209667,0.004321373782642578,0.35793484700045386,0.0,0.0,0.0,0.0,0.4653828514484183,0.414973347970818,0.004321373782642578,0.06445798922691845,0.012837224705172217,0.25527250510330607,0.6866362692622934,0.36921585741014284,0.012837224705172217
04H068,0.07188200730612536,0.06818586174616162,0.0,0.32428245529769273,0.0,0.0,0.004321373782642578,0.0,0.5276299008713387,0.9025467793139914,0.0,0.1367205671564068,0.0,0.06818586174616162,0.8195439355418687,0.22010808804005513,0.07554696139253074
04H078,0.20139712432045143,0.008600171761917567,0.0,0.08278537031645007,0.0,0.0,0.0,0.0,0.6085260335771941,0.9253120914996495,0.0,0.2304489213782739,0.0,0.3010299956639812,0.7185016888672743,0.004321373782642578,0.0
04H080,0.31175386105575426,0.03742649794062367,0.0,0.4593924877592308,0.0,0.0,0.0,0.0,0.20139712432045143,0.5751878449276611,0.0,0.08278537031645007,0.0,0.1846914308175988,0.7058637122839193,0.021189299069938092,0.0
04H091,0.1205739312058499,0.008600171761917567,0.004321373782642578,0.3344537511509309,0.0,0.0,0.004321373782642578,0.0,0.29885307640970665,0.42488163663106704,0.0,0.06445798922691845,0.0,0.008600171761917567,0.5078558716958309,0.021189299069938092,0.0
04H101,0.03742649794062367,0.008600171761917567,0.0,0.06818586174616162,0.0,0.0,0.0,0.0,0.16731733474817606,0.7185016888672743,0.0,0.056904851336472634,0.008600171761917567,0.11727129565576427,0.7512791039833423,1.4562141553579888,0.0
04H103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643528557844371,0.0,0.0,0.0
04H108,0.056904851336472634,0.0,0.0,0.06445798922691845,0.0,0.0,0.008600171761917567,0.0,0.5118833609788744,0.7573960287930241,0.004321373782642578,0.10720996964786837,0.008600171761917567,0.12385164096708583,0.42488163663106704,0.029383777685209667,0.0
04H112,0.31175386105575426,0.012837224705172217,0.004321373782642578,0.05307844348341968,0.012837224705172217,0.0,0.004321373782642578,0.0,0.28103336724772754,0.47712125471966244,0.0,0.04921802267018165,0.012837224705172217,0.0,0.3944516808262163,0.03342375548694973,0.5693739096150459
04H117,0.021189299069938092,0.021189299069938092,0.004321373782642578,0.16731733474817606,0.01703333929878037,0.0,0.0,0.0,0.37474834601010387,0.7656685547590141,0.021189299069938092,0.13033376849500614,0.0,0.0,0.5171958979499743,1.6500159524718385,0.02530586526477026
04H120,0.056904851336472634,0.02530586526477026,0.004321373782642578,0.2671717284030138,0.021189299069938092,0.0,0.004321373782642578,0.0,0.5987905067631151,0.7810369386211318,0.0,0.19865708695442263,0.0,0.18752072083646307,0.6354837468149122,0.06069784035361165,0.021189299069938092
04H123,0.4487063199050799,0.04921802267018165,0.0,0.12385164096708583,0.0,0.0,0.008600171761917567,0.0,0.4927603890268375,0.5797835966168101,0.0,0.04532297878665747,0.0,0.008600171761917567,0.7972675408307164,0.17318626841227402,0.012837224705172217
04H132,0.30749603791321295,0.012837224705172217,0.008600171761917567,0.23552844690754893,0.0,0.0,0.004321373782642578,0.0,0.24551266781414982,0.6304278750250238,0.0,0.07918124604762482,0.0,0.2695129442179163,0.7860412102425542,1.4792873164761702,0.0
04H133,0.22271647114758328,0.0,0.0,0.09342168516223506,0.01703333929878037,0.0,0.008600171761917567,0.0,0.3096301674258988,0.7701152947871016,0.0,0.146128035678238,0.012837224705172217,0.029383777685209667,0.48000694295715063,0.08990511143939793,0.01703333929878037
04H135,0.2671717284030138,0.0,0.021189299069938092,0.1205739312058499,0.0,0.0,0.004321373782642578,0.0,0.5185139398778874,0.6138418218760692,0.0,0.09691001300805642,0.021189299069938092,0.0,0.6954816764901974,0.021189299069938092,0.01703333929878037
04H138,0.06069784035361165,0.13987908640123647,0.0,0.4517864355242902,0.0,0.0,0.0,0.0,0.23804610312879543,0.25527250510330607,0.0,0.056904851336472634,0.0,0.03342375548694973,0.5563025007672873,0.20951501454263097,0.0
04H140,0.19865708695442263,0.0,0.0,0.12710479836480765,0.0,0.0,0.0,0.0,0.28555730900777376,0.6541765418779605,0.0,0.08635983067474821,0.0,0.17026171539495738,0.41161970596323016,0.10720996964786837,0.02530586526477026
05H008,0.28555730900777376,0.0,0.0,0.1367205671564068,0.021189299069938092,0.0,0.004321373782642578,0.0,0.5037906830571811,1.0696680969115957,0.0,0.367355921026019,0.0,0.0,0.6304278750250238,0.10720996964786837,0.02530586526477026
05H013,0.029383777685209667,0.0,0.0,0.39619934709573634,0.03742649794062367,0.0,0.0,0.0,0.19865708695442263,0.26245108973042947,0.0,0.05307844348341968,0.0,0.639486489268586,0.791690649020118,0.0,0.0
05H025,0.16136800223497488,0.0,0.0,0.20682587603184968,0.0,0.0,0.004321373782642578,0.0,0.13033376849500614,0.20139712432045143,0.0,0.04139268515822507,0.008600171761917567,1.105510184769974,0.617000341120899,0.012837224705172217,0.18184358794477254
