,AKR1B10,AL161652.1,RXRA,TRNP1,C4A,AC020558.6,NOS1AP,ZMYM4_AS1,ERICH3_AS1,CARD9,AP001317.1,PPP1R2P10,Y_RNA,JPT2,AC096922.1,PALB2,AL138918.1
01H001,0.0,1.623766000133931,0.0,0.06818586174616162,0.0,0.6884198220027106,0.0,0.12710479836480765,0.0,0.8926510338773004,0.03742649794062367,0.0,0.0,1.165244326125311,0.13033376849500614,0.7543483357110189,0.0
01H002,0.021189299069938092,1.5018804937550587,0.0,0.029383777685209667,0.0,0.3820170425748684,0.0,0.02530586526477026,0.0,1.0576661039098292,0.0,0.0,0.008600171761917567,0.7226339225338123,0.012837224705172217,0.7774268223893114,0.0
02H003,0.02530586526477026,1.5962671263955153,0.0,0.04139268515822507,0.0,0.38381536598043126,0.004321373782642578,0.012837224705172217,0.0,0.9365137424788933,0.01703333929878037,0.0,0.0,1.2518814545525276,0.07188200730612536,1.0277572046905534,0.0
02H009,0.02530586526477026,1.6713580034434916,0.0,0.1553360374650618,0.0,0.5301996982030822,0.0,0.012837224705172217,0.0,1.1370374547895126,0.0,0.0,0.008600171761917567,1.0644579892269186,0.20411998265592482,0.814913181275074,0.0
02H017,0.0,1.6797003808719642,0.0,0.04532297878665747,0.0,0.42975228000240795,0.0,0.004321373782642578,0.004321373782642578,0.8115750058705934,0.012837224705172217,0.0,0.012837224705172217,1.2460059040760292,0.05307844348341968,0.9253120914996495,0.0
02H025,0.07188200730612536,1.628491104967123,0.0,0.08990511143939793,0.0,0.37106786227173627,0.0,0.02530586526477026,0.0,0.9415114326344031,0.0,0.0,0.004321373782642578,1.0098756337121602,0.04532297878665747,0.8543060418010806,0.0
02H026,0.0,1.6566730458848502,0.0,0.012837224705172217,0.0,0.47275644931721233,0.004321373782642578,0.012837224705172217,0.0,0.9547247909790629,0.0,0.0,0.004321373782642578,0.5327543789924978,0.03742649794062367,0.6954816764901974,0.0
02H033,0.0,1.7162538258960365,0.0,0.03742649794062367,0.0,0.505149978319906,0.021189299069938092,0.02530586526477026,0.0,1.0056094453602804,0.008600171761917567,0.0,0.029383777685209667,0.9609461957338314,0.16136800223497488,0.8068580295188175,0.0
02H043,0.029383777685209667,1.3479151865016914,0.0,0.06069784035361165,0.0,0.3856062735983121,0.0,0.03742649794062367,0.0,1.0515383905153275,0.0,0.0,0.008600171761917567,0.9858753573083936,0.1367205671564068,0.6766936096248666,0.0
02H046,0.008600171761917567,1.8287887481849532,0.0,0.1430148002540951,0.0,0.7723217067229198,0.0,0.04532297878665747,0.0,1.1586639808139894,0.0,0.0,0.0,1.1169396465507557,0.06445798922691845,1.0842186867392387,0.0
02H053,0.06445798922691845,1.6216954623292787,0.0,0.03742649794062367,0.0,0.4712917110589386,0.0,0.02530586526477026,0.0,1.1169396465507557,0.0,0.0,0.0,1.0081741840064264,0.10380372095595687,0.8014037100173551,0.0
02H066,0.1846914308175988,1.8264635490928012,0.0,0.07918124604762482,0.0,0.4927603890268375,0.0,0.11394335230683678,0.0,1.216957207361097,0.0,0.0,0.004321373782642578,1.2151085810530933,0.1205739312058499,0.9934362304976116,0.0
03H016,0.012837224705172217,1.8830365100276798,0.0,0.0,0.0,0.658964842664435,0.0,0.04921802267018165,0.0,0.9159272116971158,0.0,0.0,0.01703333929878037,0.9965116721541787,0.05307844348341968,0.9973863843973133,0.0
03H022,0.5145477526602861,1.814513952368238,0.0,0.0,0.0,1.115943176939055,0.004321373782642578,0.1205739312058499,0.0,1.1855421548543752,0.0,0.04921802267018165,0.03742649794062367,1.2474822606770544,0.146128035678238,0.8286598965353198,0.0
03H024,0.0,1.5549734583332397,0.0,0.03342375548694973,0.03742649794062367,0.6748611407378116,0.0,0.07554696139253074,0.0,1.2105860249051565,0.0,0.0,0.02530586526477026,1.308991029000164,0.06818586174616162,0.8739015978644614,0.0
03H028,0.0,1.6575338875579861,0.0,0.03742649794062367,0.0,0.5774917998372253,0.004321373782642578,0.004321373782642578,0.0,0.6148972160331346,0.03742649794062367,0.004321373782642578,0.012837224705172217,1.0094508957986938,0.09691001300805642,1.037027879755775,0.0
03H033,0.12710479836480765,1.7207379770184252,0.004321373782642578,0.021189299069938092,0.012837224705172217,0.44404479591807633,0.004321373782642578,0.04532297878665747,0.004321373782642578,1.0073209529227445,0.0,0.029383777685209667,0.008600171761917567,1.1574567681342256,0.11727129565576427,0.8633228601204559,0.0
03H036,0.012837224705172217,1.817697554763024,0.0,0.0,0.0,1.2671717284030137,0.0,0.1430148002540951,0.0,1.5793262037552551,0.0,0.0,0.0,1.7004441010277516,0.2764618041732442,0.9894498176666918,0.0
03H041,0.04139268515822507,1.7790189719148706,0.0,0.021189299069938092,0.0,0.658964842664435,0.0,0.04532297878665747,0.0,1.0867156639448825,0.0,0.0,0.012837224705172217,1.1166077439882485,0.06069784035361165,0.9020028913507294,0.03742649794062367
03H052,0.0,1.7739326474676451,0.0,0.07188200730612536,0.0,0.5658478186735176,0.008600171761917567,0.05307844348341968,0.0,0.8363241157067517,0.0,0.0,0.008600171761917567,0.8819549713396004,0.07554696139253074,0.7803173121401513,0.0
