,AP002505.2,C22orf31,SLC26A10,AC005229.1,CRYBA4,AC011095.1,EP400P1,METTL15P1,C1orf50,FCF1P8,AC006122.1,NPIPA5,FKBP4,AC006064.1,RN7SL183P,AL360270.2,TSPAN18_AS1
01H001,0.008600171761917567,0.0,1.4740705032150436,0.13353890837021748,0.0,1.3269499941659988,0.11727129565576427,0.008600171761917567,0.04139268515822507,1.342817314635733,0.0,0.0,0.0,0.0,1.3838153659804313,0.004321373782642578,0.0
01H002,0.0,0.0,1.5676144427308445,0.0,0.0,0.9561684304753633,0.004321373782642578,0.01703333929878037,0.0,1.0659529803138696,0.0,0.0,0.0,0.05307844348341968,0.9498777040368748,0.0,0.0
02H003,0.008600171761917567,0.0,1.650987094383445,0.0,0.0,1.371990911464915,0.0,0.008600171761917567,0.0,0.885926339801431,0.0,0.0,0.004321373782642578,0.04921802267018165,0.9947569445876281,0.0,0.0
02H009,0.0,0.0,1.7280289544205183,0.0,0.0,1.3548764225162337,0.0,0.02530586526477026,0.0,1.132899769944483,0.0,0.029383777685209667,0.0,0.0,1.1189257528257768,0.0,0.0
02H017,0.0,0.0,1.9913590026379502,0.0,0.0,1.2201080880400552,0.0,0.02530586526477026,0.021189299069938092,0.7218106152125465,0.0,0.0,0.0,0.0,1.3130231103232382,0.0,0.0
02H025,0.0,0.0,1.5247854493212223,0.0,0.0,1.2019430634016501,0.0,0.0,0.0,1.1038037209559568,0.0,0.0,0.004321373782642578,0.021189299069938092,0.9758911364017928,0.0,0.0
02H026,0.0,0.0,1.8885164610749452,0.0,0.0,1.2340108175871793,0.0,0.004321373782642578,0.03342375548694973,0.9894498176666918,0.0,0.0,0.0,0.021189299069938092,0.7846172926328754,0.0,0.0
02H033,0.0,0.0,2.003029470553618,0.0,0.0,1.2198463860243607,0.01703333929878037,0.004321373782642578,0.01703333929878037,0.9656719712201067,0.0,0.0,0.0,0.0,1.2000292665537704,0.0,0.0
02H043,0.0,0.0,1.5672616923538745,0.0,0.0,1.4289442900355744,0.0,0.0,0.0,0.9324737646771531,0.0,0.0,0.0,0.02530586526477026,1.048053173115609,0.0,0.0
02H046,0.0,0.0,2.398287305357401,0.04921802267018165,0.0,1.0161973535124391,0.0,0.01703333929878037,0.0,1.351216345339342,0.0,0.0,0.0,0.029383777685209667,1.3785795761157749,0.0,0.0
02H053,0.0,0.0,1.783331762887424,0.0,0.0,1.1427022457376157,0.0,0.0,0.029383777685209667,0.7723217067229198,0.0,0.04532297878665747,0.0,0.0,0.9849771264154934,0.0,0.0
02H066,0.008600171761917567,0.0,1.8629657589777624,0.0,0.0,1.0729847446279304,0.0,0.03742649794062367,0.0,1.2052043639481447,0.0,0.0,0.012837224705172217,0.0,1.2430380486862944,0.0,0.0
03H016,0.008600171761917567,0.0,1.8187535904977168,0.0,0.0,1.4927603890268375,0.004321373782642578,0.03342375548694973,0.04532297878665747,1.4122925093230465,0.0,0.0,0.0,0.0,1.3170181010481115,0.0,0.0
03H022,0.06818586174616162,0.0,1.756560043006683,0.11394335230683678,0.0,1.4778444763387584,0.012837224705172217,0.008600171761917567,0.06069784035361165,1.572987708198205,0.0,0.0,0.0,0.0,1.371806458507416,0.0,0.0
