,EEF1GP1,AP001264.1,SPDYE8P,MTCO2P8,LINC02213,AL031432.4,PRSS2,AC005277.1,AC007563.2,AC010157.2,KDR,SPIN4,AP003400.2,NAA35,HRH4,MYC,TEKT2
01H001,0.04921802267018165,0.06069784035361165,0.0,0.0,0.0,0.0,0.012837224705172217,0.012837224705172217,0.012837224705172217,0.0,0.008600171761917567,0.15228834438305647,0.03342375548694973,0.04921802267018165,0.0,0.1205739312058499,0.0
01H002,0.008600171761917567,0.23552844690754893,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.03742649794062367,0.021189299069938092,0.012837224705172217,0.0,0.03742649794062367,0.0
02H003,0.008600171761917567,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.008600171761917567,0.17026171539495738,0.0,0.008600171761917567,0.0,0.05307844348341968,0.0
02H009,0.004321373782642578,0.10720996964786837,0.0,0.0,0.0,0.0,0.15228834438305647,0.0,0.021189299069938092,0.0,0.004321373782642578,0.16136800223497488,0.0,0.01703333929878037,0.0,0.13353890837021748,0.0
02H017,0.004321373782642578,0.26007138798507473,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.012837224705172217,0.0,0.008600171761917567,0.07188200730612536,0.0,0.02530586526477026,0.0,0.0,0.0
02H025,0.004321373782642578,0.28103336724772754,0.0,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.22010808804005513,0.0,0.004321373782642578,0.0,0.1430148002540951,0.0
02H026,0.004321373782642578,0.16731733474817606,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.004321373782642578,0.0,0.004321373782642578,0.012837224705172217,0.03342375548694973,0.008600171761917567,0.008600171761917567,0.0,0.0
02H033,0.0,0.10720996964786837,0.0,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.0,0.01703333929878037,0.13033376849500614,0.04532297878665747,0.004321373782642578,0.0,0.08278537031645007,0.004321373782642578
02H043,0.008600171761917567,0.10037054511756291,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.01703333929878037,0.008600171761917567,0.10380372095595687,0.0,0.008600171761917567,0.0,0.13987908640123647,0.0
02H046,0.004321373782642578,0.2576785748691845,0.0,0.0,0.0,0.0,0.03742649794062367,0.0,0.008600171761917567,0.0,0.0,0.17318626841227402,0.0,0.05307844348341968,0.0,0.23804610312879543,0.0
