,AL731563.3,OFD1P18Y,CNTF,RBM17P1,RPSAP62,AC025259.1,IKZF1,FAM189A2,APBA1,MLEC,AL355877.3,CYB5RL,CACNA1A,VPS13A,RPS23P6,BANP,ZNF627
01H001,0.01703333929878037,0.0,0.0,1.0090257420869102,1.184123354239671,0.10380372095595687,0.0,0.012837224705172217,2.0420633494321563,0.0,0.0,1.4258601450778403,0.012837224705172217,0.0,0.11058971029924897,0.5705429398818975,0.09342168516223506
01H002,0.1846914308175988,0.0,0.0,0.6637009253896481,0.9057958803678685,0.012837224705172217,0.0,0.0,1.9492924014120256,0.0,0.0,1.1370374547895126,0.0,0.0,0.03342375548694973,0.33243845991560533,0.056904851336472634
02H003,0.28555730900777376,0.0,0.0,1.0191162904470727,0.865103974641128,0.021189299069938092,0.0,0.0,1.948706308904852,0.0,0.0,1.1861083798132053,0.004321373782642578,0.0,0.0,0.6222140229662952,0.13987908640123647
02H009,0.2671717284030138,0.0,0.0,0.8312296938670634,1.0056094453602804,0.06818586174616162,0.0,0.0,2.0581602034918296,0.03742649794062367,0.0,1.1231980750319988,0.04532297878665747,0.46834733041215726,0.0,0.5563025007672873,0.07188200730612536
02H017,0.292256071356476,0.0,0.0,0.667452952889954,1.1360860973840974,0.04139268515822507,0.0,0.0,2.153814864344529,0.0,0.0,1.1095785469043866,0.012837224705172217,0.0,0.0,0.38021124171160603,0.008600171761917567
02H025,0.10380372095595687,0.0,0.0,0.8082109729242221,0.9278834103307069,0.06445798922691845,0.0,0.0,1.9440382800544183,0.0,0.0,1.095169351431755,0.0,0.0,0.0,0.4548448600085102,0.02530586526477026
02H026,0.012837224705172217,0.0,0.0,0.6720978579357175,1.0737183503461227,0.01703333929878037,0.0,0.0,1.9238137210911896,0.0,0.0,1.132899769944483,0.004321373782642578,0.0,0.0,0.41995574848975786,0.0
02H033,0.07554696139253074,0.0,0.0,0.814913181275074,1.1058506743851435,0.0,0.0,0.0,2.1699681739968923,0.0,0.0,1.3856062735983121,0.004321373782642578,0.6222140229662952,0.0,0.6812412373755872,0.004321373782642578
02H043,0.3010299956639812,0.0,0.0,0.7895807121644255,0.829303772831025,0.0,0.0,0.0,2.0514226660890342,0.0,0.0,1.0751818546186915,0.01703333929878037,0.0,0.03342375548694973,0.5899496013257077,0.09342168516223506
02H046,0.7520484478194386,0.0,0.0,0.9153998352122699,1.2208922492195193,0.04532297878665747,0.0,0.0,2.198986805670933,0.0,0.0,1.2889196056617265,0.0,0.0,0.0,0.5774917998372253,0.09691001300805642
02H053,0.1205739312058499,0.0,0.0,0.6560982020128319,1.011570443597278,0.08635983067474821,0.0,0.0,1.988648125235751,0.0,0.0,0.9084850188786497,0.0,0.0,0.03342375548694973,0.75815462196739,0.03742649794062367
02H066,0.6085260335771941,0.0,0.0,0.7902851640332417,1.145196406114182,0.021189299069938092,0.0,0.0,2.0170750963760593,0.0,0.0,1.2415464805965484,0.012837224705172217,0.0,0.0,0.568201724066995,0.06818586174616162
03H016,0.05307844348341968,0.0,0.0,0.92272545799326,1.0549958615291415,0.021189299069938092,0.0,0.0,1.9075188461066293,0.0,0.0,1.2873537727147464,0.0,0.0,0.03742649794062367,0.42975228000240795,0.03342375548694973
03H022,0.28330122870354957,0.0,0.0,0.9986951583116558,1.2232362731029975,0.0,0.0,0.0,2.306896597539366,0.0,0.0,1.761927838420529,0.021189299069938092,0.0,0.13033376849500614,0.35410843914740087,0.0
03H024,0.1846914308175988,0.0,0.0,0.9041743682841635,1.0625819842281632,0.02530586526477026,0.0,0.0,2.0521165505499983,0.0,0.0,1.4795753101749884,0.0,0.0,0.029383777685209667,0.37106786227173627,0.18184358794477254
03H028,0.8061799739838872,0.0,0.0,0.7075701760979364,0.7708520116421442,0.03342375548694973,0.0,0.0,2.070665753453728,0.0,0.0,1.5250448070368452,0.004321373782642578,0.0,0.0,0.5634810853944107,0.012837224705172217
03H033,0.615950051656401,0.004321373782642578,0.004321373782642578,0.761927838420529,0.8698182079793282,0.01703333929878037,0.0,0.008600171761917567,1.9372168908627054,0.0,0.008600171761917567,1.1405080430381795,0.012837224705172217,0.0,0.021189299069938092,0.45636603312904306,0.12710479836480765
03H036,0.414973347970818,0.0,0.0,1.0523090996473234,1.5278875659527047,0.0,0.0,0.0,2.286254320828791,0.0,0.0,1.5486350598147516,0.11058971029924897,0.0,0.04532297878665747,0.7474118078864233,0.11058971029924897
03H041,0.13353890837021748,0.0,0.0,0.8475726591421122,1.159266331093494,0.029383777685209667,0.0,0.0,2.0825340528727136,0.0,0.0,1.330210784571528,0.008600171761917567,0.0,0.0,0.6263403673750424,0.03342375548694973
03H052,0.021189299069938092,0.0,0.012837224705172217,0.7201593034059569,0.8948696567452525,0.0,0.008600171761917567,0.0,1.9431976300689262,0.0,0.0,1.167317334748176,0.0,0.0,0.008600171761917567,0.45024910831936116,0.012837224705172217
03H060,0.03342375548694973,0.0,0.0,0.6720978579357175,0.7387805584843692,0.0,0.0,0.0,1.8321894610685132,0.0,0.0,1.3926969532596658,0.008600171761917567,0.0,0.0,0.30749603791321295,0.11394335230683678
