,AMMECR1L,TMA7,ANGPTL7,CYP2AB1P,LINC01966,CREB3,AL078582.2,AC027277.2,AC135507.1,RPS21P4,HEPACAM,LSINCT5,AC008764.9,SINHCAFP2,CMTM2,CDCA7,SLCO2B1
01H001,2.3625201722887965,0.04532297878665747,1.4723175463168419,0.11058971029924897,0.0,0.012837224705172217,2.153052275067109,0.0,0.09342168516223506,0.0,0.0,0.06818586174616162,0.0,0.414973347970818,0.6599162000698503,0.8382192219076258,0.24303804868629442
01H002,1.4912215762392829,0.012837224705172217,1.0534626049254554,0.08990511143939793,0.0,0.0,2.2314441029174312,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.10037054511756291,0.6374897295125107,0.5024271199844327,0.41830129131974547
02H003,1.9233994661587164,0.0,1.1420764610732848,0.18184358794477254,0.0,0.0,2.163429743301472,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.23552844690754893,1.3370597263205246,1.0149403497929366,0.5899496013257077
02H009,1.885134966063434,0.029383777685209667,1.375846436309156,0.14921911265537988,0.0,0.0,2.4350316919291437,0.0,0.008600171761917567,0.0,0.0,0.0,0.004321373782642578,0.35793484700045386,0.6424645202421214,0.3926969532596657,0.8762178405916422
02H017,2.103221992452924,0.0,1.4056877866727775,0.13353890837021748,0.0,0.0,2.1398476146463112,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.1903316981702915,0.9344984512435677,0.6599162000698503,0.1553360374650618
02H025,2.0661394928706995,0.0,1.2805783703680762,0.16731733474817606,0.0,0.0,2.1576682727387695,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.2787536009528289,0.7347998295888469,0.17026171539495738,1.1574567681342256
02H026,1.731346975545955,0.012837224705172217,1.271841606536499,0.07918124604762482,0.0,0.0,2.551352392739988,0.0,0.008600171761917567,0.0,0.0,0.01703333929878037,0.0,0.16731733474817606,0.49831055378960054,0.20682587603184968,0.741151598851785
02H033,1.8661100398443766,0.05307844348341968,1.33665982345442,0.11394335230683678,0.0,0.0,2.4556213240311218,0.0,0.008600171761917567,0.012837224705172217,0.0,0.0,0.0,0.5611013836490559,0.5965970956264602,0.49831055378960054,0.4014005407815441
02H043,1.8867162741164782,0.0,1.4352071032407476,0.17026171539495738,0.0,0.0,2.1913392125639297,0.0,0.0,0.0,0.0,0.0,0.0,0.25527250510330607,0.557507201905658,0.5563025007672873,1.119585774961784
02H046,2.0500702643674384,0.01703333929878037,1.355643050220869,0.17026171539495738,0.0,0.0,2.4109121388630825,0.0,0.0,0.01703333929878037,0.0,0.012837224705172217,0.0,0.30319605742048883,0.9822712330395684,0.16136800223497488,1.2054750367408908
02H053,1.6869042695681773,0.0,1.1880843737149382,0.09691001300805642,0.0,0.0,2.314478175864182,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.320146286111054,0.9459607035775686,0.1430148002540951,0.6532125137753437
02H066,1.9784087926230394,0.01703333929878037,1.3368598209168092,0.19865708695442263,0.0,0.0,2.378434242062079,0.0,0.0,0.012837224705172217,0.0,0.01703333929878037,0.0,0.22530928172586287,0.9052560487484512,0.4842998393467858,0.8715729355458788
03H016,2.2226644567176868,0.0,1.2826221128780626,0.07918124604762482,0.0,0.0,2.399673721481038,0.0,0.01703333929878037,0.0,0.0,0.0,0.004321373782642578,0.146128035678238,1.011570443597278,0.45331834004703764,0.5314789170422551
03H022,2.0196977309801922,0.0,1.5314789170422551,0.1367205671564068,0.0,0.0,2.86307292015494,0.0,0.0,0.07918124604762482,0.0,0.0,0.0,0.32633586092875144,1.0519239160461065,1.255754786643044,0.9777236052888477
03H024,2.0351895089084477,0.021189299069938092,1.334051440346892,0.10720996964786837,0.0,0.0,2.4197575460909864,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,1.015778756389041,1.3170181010481115,0.6794278966121188
03H028,1.8467081454560068,0.0,1.3741982579290828,0.10380372095595687,0.0,0.0,2.3827732455867023,0.004321373782642578,0.01703333929878037,0.0,0.0,0.029383777685209667,0.0,0.07188200730612536,0.948412965778601,1.308777773664721,0.3424226808222063
03H033,2.1915348470067837,0.02530586526477026,1.2643455070500924,0.16731733474817606,0.012837224705172217,0.0,2.0925803006913113,0.008600171761917567,0.0,0.0,0.008600171761917567,0.03742649794062367,0.0,0.4487063199050799,1.085290578230065,0.437750562820388,0.7664128471123994
03H036,2.0727644210507505,0.029383777685209667,1.7116385382323491,0.18752072083646307,0.0,0.0,2.819287231132424,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.3996737214810381,1.229425847920695,1.6267508536833932,0.8142475957319202
03H041,2.033343323135224,0.0,1.4513258084895195,0.08635983067474821,0.0,0.0,2.474172540954393,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.41830129131974547,1.1983821300082942,0.5843312243675307,1.171726453653231
03H052,2.0081315622406626,0.0,1.0681858617461617,0.06069784035361165,0.004321373782642578,0.0,2.2718880526604837,0.0,0.008600171761917567,0.0,0.0,0.008600171761917567,0.0,0.1903316981702915,0.9680157139936417,0.49554433754644844,0.4941545940184428
03H060,1.5388249889379038,0.06445798922691845,1.0421815945157662,0.08990511143939793,0.0,0.0,2.0000434272768626,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.22010808804005513,0.6334684555795865,0.9148718175400503,0.8142475957319202
03H065,2.1025366068740707,0.04139268515822507,1.1445742076096164,0.17318626841227402,0.0,0.0,2.6998723986932514,0.008600171761917567,0.029383777685209667,0.03742649794062367,0.0,0.0,0.0,0.19589965240923368,1.6884198220027105,2.2277839008537184,1.0149403497929366
03H067,2.0494893719335567,0.06445798922691845,1.2105860249051565,0.146128035678238,0.0,0.0,2.5792804379633476,0.0,0.12710479836480765,0.0,0.0,0.0,0.0,0.28103336724772754,0.9795483747040951,0.34635297445063856,0.20139712432045143
03H070,1.9417598138146954,0.021189299069938092,1.534026106056135,0.2304489213782739,0.0,0.0,2.710861715449988,0.004321373782642578,0.0,0.0,0.0,0.056904851336472634,0.0,0.38381536598043126,0.9420080530223133,0.6384892569546373,1.4032921451582543
03H081,1.8594385354550562,0.021189299069938092,1.4892551683692605,0.20139712432045143,0.0,0.01703333929878037,2.755203847841705,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.2148438480476979,1.472902651803664,1.7195798577137233,0.5145477526602861
03H090,1.6861892342440237,0.0,1.3384564936046048,0.19865708695442263,0.0,0.0,2.452476461326989,0.0,0.0,0.0,0.0,0.0,0.0,0.08278537031645007,0.8273692730538252,0.6483600109809317,0.9380190974762103
03H095,2.212480587721373,0.0,1.2284003587030048,0.11058971029924897,0.0,0.012837224705172217,2.7406626438912407,0.004321373782642578,0.029383777685209667,0.012837224705172217,0.01703333929878037,0.03742649794062367,0.0,0.4471580313422192,0.9395192526186185,1.4972061807039545,0.865103974641128
03H109,2.283662990058831,0.04921802267018165,1.3051363189436394,0.1931245983544616,0.0,0.0,2.558708570533166,0.004321373782642578,0.012837224705172217,0.0,0.0,0.029383777685209667,0.0,0.5774917998372253,1.1580607939366052,1.4347285417797577,0.9258275746247423
03H112,2.0073636543122784,0.012837224705172217,1.0689276116820718,0.17026171539495738,0.0,0.008600171761917567,2.4916557937187793,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.43136376415898736,0.9063350418050906,1.1978316933289028,0.8055008581584001
03H116,2.202243037624806,0.021189299069938092,1.4774106879072515,0.28330122870354957,0.0,0.0,2.8670076112248255,0.004321373782642578,0.029383777685209667,0.0,0.0,0.0,0.0,0.6074550232146685,1.3738311450738303,0.6242820958356683,0.617000341120899
03H119,2.1755697927349913,0.01703333929878037,1.2062860444124324,0.09342168516223506,0.0,0.0,2.3740147402919116,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.30749603791321295,1.2329961103921538,1.4235735197327355,0.8331471119127851
04H006,1.8247114434647345,0.03342375548694973,1.335858911319818,0.10720996964786837,0.0,0.0,2.6498117364755105,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.34830486304816066,0.8182258936139555,0.7075701760979364,1.0523090996473234
04H024,2.3705685987670515,0.0,1.182414652434554,0.13987908640123647,0.0,0.0,2.386463293080971,0.004321373782642578,0.0,0.0,0.0,0.03342375548694973,0.004321373782642578,0.5526682161121932,1.2245330626060857,0.8061799739838872,0.69284691927723
04H025,1.9421569284674904,0.0,1.6219029608912305,0.3010299956639812,0.004321373782642578,0.0,2.7763233723230845,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.5854607295085006,1.082066934285113,1.0421815945157662,0.8536982117761743
04H030,2.1305267453841634,0.01703333929878037,1.2111205412580492,0.17609125905568124,0.0,0.0,2.7425523215463747,0.004321373782642578,0.008600171761917567,0.0,0.0,0.008600171761917567,0.0,0.47856649559384334,1.2973227142053025,1.8646890341368512,0.9479236198317265
04H039,1.731346975545955,0.0,1.0409976924234905,0.1430148002540951,0.0,0.0,2.214949760615447,0.0,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.6020599913279624,0.7267272090265723
04H041,2.269606330839479,0.01703333929878037,1.1156105116742998,0.11394335230683678,0.0,0.0,2.3630475945210936,0.0,0.06445798922691845,0.0,0.0,0.04532297878665747,0.0,0.41830129131974547,0.9912260756924949,0.10720996964786837,0.37657695705651195
04H048,1.9392196358548182,0.04139268515822507,1.1752218003430523,0.20682587603184968,0.0,0.01703333929878037,2.6554553925267945,0.004321373782642578,0.0,0.07188200730612536,0.0,0.02530586526477026,0.0,0.07188200730612536,1.256717745977487,1.1373541113707328,1.1027766148834413
04H050,2.0375858428266174,0.03342375548694973,1.5441921107650325,0.13987908640123647,0.0,0.0,2.5066403055665027,0.0,0.008600171761917567,0.0,0.0,0.021189299069938092,0.0,0.4927603890268375,0.9965116721541787,0.9537596917332287,0.6020599913279624
04H054,1.8763333290863804,0.01703333929878037,1.1939589780191868,0.06818586174616162,0.0,0.0,2.439253724017898,0.021189299069938092,0.012837224705172217,0.0,0.0,0.0,0.0,0.10380372095595687,1.4148062795010126,0.7693773260761385,1.0366288953621612
04H061,1.9776778876739938,0.03342375548694973,1.061829307294699,0.09342168516223506,0.0,0.0,2.454494235243207,0.008600171761917567,0.012837224705172217,0.01703333929878037,0.0,0.0,0.0,0.24054924828259971,1.4136349971985558,1.8216445175422171,0.5646660642520893
04H063,2.198519630241168,0.03742649794062367,1.2208922492195193,0.18752072083646307,0.0,0.0,2.4306232240319146,0.0,0.0,0.012837224705172217,0.0,0.012837224705172217,0.0,0.1367205671564068,0.9609461957338314,1.6178387477170033,0.5763413502057928
04H068,2.2533137694667342,0.04139268515822507,1.4620983811351558,0.4345689040341987,0.0,0.0,2.488183949449397,0.008600171761917567,0.012837224705172217,0.0,0.0,0.01703333929878037,0.0,0.5658478186735176,1.3508292735829677,0.46834733041215726,0.9947569445876281
04H078,1.939319531078238,0.0,1.4577305482459986,0.36921585741014284,0.0,0.0,2.7321765582771045,0.004321373782642578,0.021189299069938092,0.012837224705172217,0.0,0.01703333929878037,0.0,0.3283796034387377,1.2105860249051565,1.2193225084193366,0.9498777040368748
04H080,2.23246243853121,0.0,1.3281756614383227,0.056904851336472634,0.0,0.0,2.8492781068916475,0.008600171761917567,0.04921802267018165,0.0,0.0,0.021189299069938092,0.012837224705172217,0.03342375548694973,0.9025467793139914,0.18184358794477254,0.14921911265537988
04H091,2.3762483747755168,0.01703333929878037,1.459241664878082,0.14921911265537988,0.0,0.0,2.452706226511029,0.0,0.04532297878665747,0.0,0.0,0.08278537031645007,0.0,0.7909884750888159,1.161667412437736,0.6637009253896481,0.8318697742805017
04H101,2.16250466452115,0.0,1.4681995860726125,0.12385164096708583,0.0,0.0,2.4212583278777604,0.0,0.0,0.01703333929878037,0.0,0.021189299069938092,0.0,0.3344537511509309,1.252367514459899,1.0362295440862945,1.1199154102579911
