,AC008810.1,AC093911.1,BECN2,LSS,AL022323.2,TWISTNB,AC010336.3,SPANXA2_OT1,Metazoa_SRP,RPL12P4,RN7SKP64,AC124854.1,SLFNL1_AS1,Metazoa_SRP,IRF5,AL121888.1,DYNLL1P2
01H001,0.0,0.06818586174616162,0.8260748027008264,0.367355921026019,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.9180303367848802,0.0,0.4638929889859073,0.0,0.359835482339888,0.04139268515822507,0.03342375548694973
01H002,0.0,0.02530586526477026,0.12710479836480765,0.41161970596323016,0.0,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.5599066250361124,0.0,0.18184358794477254,0.0,0.21748394421390624,0.0,0.0
02H003,0.0,0.146128035678238,0.10037054511756291,1.0622058088197126,0.12710479836480765,0.0,0.0,0.07554696139253074,0.8041394323353505,0.012837224705172217,0.7573960287930241,0.0,0.0,0.0,0.09342168516223506,0.0,0.0
02H009,0.004321373782642578,0.08990511143939793,0.03342375548694973,0.6766936096248666,0.029383777685209667,0.0,0.0,0.0,0.0,0.008600171761917567,0.6866362692622934,0.0,0.004321373782642578,0.0,0.06818586174616162,0.004321373782642578,0.0
02H017,0.04139268515822507,0.07554696139253074,0.11058971029924897,0.7512791039833423,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.7101173651118162,0.0,0.33041377334919075,0.0,0.1430148002540951,0.0,0.0
02H025,0.0,0.06069784035361165,0.1430148002540951,0.8819549713396004,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.7024305364455253,0.0,0.02530586526477026,0.0,0.021189299069938092,0.0,0.0
02H026,0.0,0.01703333929878037,0.26481782300953643,0.07188200730612536,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.4756711883244297,0.0,0.04139268515822507,0.0,0.0,0.0,0.03342375548694973
02H033,0.0,0.10380372095595687,0.39093510710337914,0.1846914308175988,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.725094521081469,0.0,0.30319605742048883,0.0,0.0,0.0,0.03742649794062367
02H043,0.0,0.03742649794062367,0.008600171761917567,0.4623979978989561,0.029383777685209667,0.0,0.0,0.0,0.0,0.02530586526477026,0.5514499979728752,0.0,0.012837224705172217,0.0,0.5658478186735176,0.0,0.0
02H046,0.0,0.04139268515822507,0.03342375548694973,0.7151673578484579,0.03342375548694973,0.0,0.0,0.0,0.8965262174895553,0.12710479836480765,1.0107238653917732,0.0,0.10380372095595687,0.0,0.7881683711411677,0.0,0.0
02H053,0.0,0.04532297878665747,0.02530586526477026,0.6138418218760692,0.04139268515822507,0.0,0.0,0.012837224705172217,0.0,0.012837224705172217,0.5693739096150459,0.0,0.1367205671564068,0.0,0.01703333929878037,0.0,0.0
02H066,0.0,0.09342168516223506,0.008600171761917567,1.0799044676667207,0.029383777685209667,0.004321373782642578,0.0,0.0,0.0,0.13353890837021748,0.7767011839884108,0.0,0.004321373782642578,0.0,0.271841606536499,0.0,0.0
03H016,0.0,0.056904851336472634,0.28103336724772754,0.5327543789924978,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.0285712526925377,0.0,0.06069784035361165,0.0,0.04139268515822507,0.0,0.04532297878665747
03H022,0.0,0.08278537031645007,0.3096301674258988,0.8318697742805017,0.0,0.0,0.0,0.0,0.0,0.0,1.0081741840064264,0.0,0.24797326636180664,0.0,0.292256071356476,0.0,0.0
03H024,0.0,0.07554696139253074,0.2576785748691845,0.5010592622177514,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.6384892569546373,0.0,0.05307844348341968,0.0,0.2671717284030138,0.0,0.0
03H028,0.0,0.008600171761917567,0.008600171761917567,0.4653828514484183,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.7185016888672743,0.0,0.021189299069938092,0.0,0.1553360374650618,0.0,0.0
03H033,0.004321373782642578,0.04532297878665747,0.20682587603184968,0.8419848045901139,0.0,0.0,0.0,0.0,0.0,0.06069784035361165,0.7347998295888469,0.0,0.03342375548694973,0.0,0.47712125471966244,0.008600171761917567,0.0
03H036,0.01703333929878037,0.06818586174616162,0.43136376415898736,0.7958800173440752,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.9493900066449128,0.0,0.04139268515822507,0.0,0.8506462351830666,0.0,0.0
03H041,0.0,0.03742649794062367,0.5301996982030822,0.5865873046717549,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.9169800473203822,0.0,0.05307844348341968,0.0,0.04139268515822507,0.0,0.03342375548694973
