,MIER1,COQ10A,ZDHHC15,AC009229.4,OR51B6,TRIM5,Metazoa_SRP,FARP1,MIR222HG,GAMT,SDHDP1,AC124312.5,NBPF12,MED13P1,CETN1,YWHABP1,TBC1D17
01H001,0.0,0.2576785748691845,0.03742649794062367,0.5477747053878226,0.0,0.08635983067474821,0.03342375548694973,0.06069784035361165,0.146128035678238,0.0,0.8331471119127851,0.0,1.4893959217271293,0.0,0.0,0.0,0.0
01H002,0.08990511143939793,0.03342375548694973,0.05307844348341968,0.11394335230683678,0.0,0.03742649794062367,0.004321373782642578,0.3521825181113625,0.11058971029924897,0.01703333929878037,0.5751878449276611,0.09691001300805642,1.5722906061514177,0.0,0.0,0.0,0.0
02H003,0.09691001300805642,0.029383777685209667,0.0,0.711807229041191,0.0,0.07188200730612536,0.004321373782642578,0.0,0.2528530309798932,0.0,0.5289167002776547,0.004321373782642578,1.2662316966898932,0.0,0.0,0.0,0.0
02H009,0.0,0.22530928172586287,0.0,0.021189299069938092,0.0,0.0,0.004321373782642578,0.012837224705172217,0.34635297445063856,0.03742649794062367,1.1300119496719043,0.004321373782642578,1.7223870941771238,0.0,0.0,0.0,0.0
02H017,0.0,0.250420002308894,0.0,0.07188200730612536,0.0,0.08278537031645007,0.008600171761917567,0.290034611362518,0.15228834438305647,0.0,0.7860412102425542,0.012837224705172217,1.6612446089593336,0.0,0.0,0.0,0.0
02H025,0.0,0.03342375548694973,0.06445798922691845,0.1205739312058499,0.0,0.012837224705172217,0.01703333929878037,0.09342168516223506,0.10380372095595687,0.0,0.8169038393756602,0.0,1.716170347859854,0.0,0.0,0.0,0.0
02H026,0.0,0.03342375548694973,0.0,0.06818586174616162,0.0,0.012837224705172217,0.008600171761917567,0.008600171761917567,0.008600171761917567,0.0,0.9698816437464999,0.0,1.681693392004564,0.0,0.0,0.0,0.0
02H033,0.0,0.03742649794062367,0.0,0.13033376849500614,0.0,0.05307844348341968,0.012837224705172217,0.08990511143939793,0.320146286111054,0.03742649794062367,0.9991305412873711,0.03342375548694973,1.602494068807281,0.0,0.0,0.0,0.0
02H043,0.0,0.04921802267018165,0.0,0.03742649794062367,0.0,0.02530586526477026,0.021189299069938092,0.012837224705172217,0.19589965240923368,0.0,1.18440748541232,0.012837224705172217,1.6896639650157703,0.0,0.0,0.0,0.0
02H046,0.06069784035361165,0.021189299069938092,0.04532297878665747,0.10037054511756291,0.004321373782642578,0.03742649794062367,0.012837224705172217,0.5910646070264992,0.10380372095595687,0.0,1.0648322197385738,0.5670263661590604,1.7563317673210577,0.0,0.0,0.0,0.0
02H053,0.08990511143939793,0.23552844690754893,0.0,0.004321373782642578,0.0,0.05307844348341968,0.0,0.004321373782642578,0.1367205671564068,0.0,0.8744818176994664,0.01703333929878037,1.721315880605899,0.0,0.0,0.0,0.0
02H066,0.10037054511756291,0.13987908640123647,0.0,0.021189299069938092,0.0,0.02530586526477026,0.004321373782642578,0.04532297878665747,0.3729120029701066,0.021189299069938092,1.1225435240687545,0.01703333929878037,1.6687585417509576,0.0,0.0,0.0,0.0
03H016,0.056904851336472634,0.09691001300805642,0.0,0.26481782300953643,0.0,0.0,0.008600171761917567,0.03342375548694973,0.03742649794062367,0.0,0.8785217955012066,0.0,1.4276483711869326,0.0,0.0,0.0,0.0
03H022,0.07918124604762482,0.029383777685209667,0.0,0.4593924877592308,0.0,0.0,0.056904851336472634,0.09342168516223506,0.18184358794477254,0.0,0.9420080530223133,0.08990511143939793,1.7149162479935849,0.0,0.0,0.0,0.0
03H024,0.03342375548694973,0.04532297878665747,0.0,0.029383777685209667,0.0,0.0,0.0,0.07918124604762482,0.31175386105575426,0.0,0.7355988996981799,0.0,1.4992745818922173,0.0,0.0,0.0,0.0
03H028,0.0,0.03342375548694973,0.03342375548694973,0.03742649794062367,0.0,0.021189299069938092,0.012837224705172217,0.11058971029924897,0.25527250510330607,0.021189299069938092,0.885361220031512,0.004321373782642578,1.906281155772153,0.0,0.0,0.0,0.0
03H033,0.0,0.16136800223497488,0.0,0.10037054511756291,0.004321373782642578,0.0,0.021189299069938092,0.10380372095595687,0.22788670461367355,0.01703333929878037,0.964259630196849,0.0,1.604442066260723,0.0,0.004321373782642578,0.06069784035361165,0.0
03H036,0.04921802267018165,0.06069784035361165,0.0,0.04921802267018165,0.0,0.0,0.008600171761917567,0.05307844348341968,0.4265112613645752,0.1430148002540951,1.1109262422664203,0.004321373782642578,1.7806053058389697,0.0,0.0,0.0,0.0
03H041,0.0,0.16136800223497488,0.06069784035361165,0.13987908640123647,0.0,0.02530586526477026,0.03342375548694973,0.02530586526477026,0.07188200730612536,0.0,1.0330214446829107,0.0,1.5420781463356257,0.0,0.0,0.0,0.0
03H052,0.0,0.11727129565576427,0.0,0.19589965240923368,0.0,0.03342375548694973,0.01703333929878037,0.029383777685209667,0.05307844348341968,0.0,0.8627275283179747,0.004321373782642578,1.5287881917748962,0.0,0.0,0.0,0.04139268515822507
03H060,0.0,0.004321373782642578,0.0,0.021189299069938092,0.0,0.04532297878665747,0.004321373782642578,0.03342375548694973,0.1367205671564068,0.0,0.7015679850559274,0.0,1.523095838252568,0.0,0.0,0.0,0.0
03H065,0.07188200730612536,0.1931245983544616,0.0,0.31806333496276157,0.0,0.01703333929878037,0.008600171761917567,0.10720996964786837,0.07554696139253074,0.0,1.0102999566398119,0.0,1.3975924340381167,0.0,0.0,0.0,0.0
03H067,0.021189299069938092,0.34830486304816066,0.0,0.1643528557844371,0.0,0.01703333929878037,0.004321373782642578,0.03742649794062367,0.25527250510330607,0.0,0.8965262174895553,0.004321373782642578,1.4184670209466006,0.0,0.0,0.0,0.0
03H070,0.03342375548694973,0.03742649794062367,0.0,0.16731733474817606,0.0,0.021189299069938092,0.012837224705172217,0.7558748556724915,0.2695129442179163,0.05307844348341968,1.049605612594973,0.5010592622177514,1.6957442751973233,0.0,0.0,0.0,0.0
03H081,0.03742649794062367,0.07188200730612536,0.0,0.0,0.0,0.20139712432045143,0.004321373782642578,0.12710479836480765,0.5899496013257077,0.056904851336472634,1.0622058088197126,0.004321373782642578,1.7107095657243372,0.0,0.008600171761917567,0.0,0.0
03H090,0.03342375548694973,0.08635983067474821,0.0,0.0,0.0,0.02530586526477026,0.0,0.012837224705172217,0.26481782300953643,0.0,0.5646660642520893,0.004321373782642578,1.142389466118836,0.0,0.0,0.0,0.0
03H095,0.0,0.15836249209524964,0.0,0.07554696139253074,0.0,0.056904851336472634,0.03342375548694973,0.12385164096708583,0.11394335230683678,0.04532297878665747,0.9680157139936417,0.004321373782642578,1.646207612206685,0.0,0.0,0.0,0.0
03H109,0.0,0.1367205671564068,0.0,0.08990511143939793,0.0,0.0,0.004321373782642578,0.16136800223497488,0.33243845991560533,0.04532297878665747,1.0145205387579237,0.06069784035361165,1.5659658174466666,0.0,0.0,0.0,0.0
03H112,0.0,0.1205739312058499,0.029383777685209667,0.01703333929878037,0.0,0.0,0.008600171761917567,0.19589965240923368,0.292256071356476,0.0,1.00774777800074,0.012837224705172217,1.6222140229662954,0.0,0.0,0.0,0.0
03H116,0.13033376849500614,0.1553360374650618,0.0,0.029383777685209667,0.0,0.10037054511756291,0.012837224705172217,0.05307844348341968,0.48000694295715063,0.10720996964786837,1.319314304090512,0.0,1.608526033577194,0.0,0.0,0.0,0.0
03H119,0.0,0.04921802267018165,0.0,0.008600171761917567,0.0,0.0,0.021189299069938092,0.06818586174616162,0.146128035678238,0.06445798922691845,0.8898617212581884,0.0,1.5388249889379038,0.0,0.0,0.0,0.0
04H006,0.0,0.021189299069938092,0.0,0.06445798922691845,0.0,0.01703333929878037,0.01703333929878037,0.08990511143939793,0.02530586526477026,0.02530586526477026,0.8518696007297664,0.008600171761917567,1.5618166643189575,0.0,0.0,0.0,0.0
04H024,0.0,0.20411998265592482,0.0,0.34830486304816066,0.0,0.10380372095595687,0.01703333929878037,0.06069784035361165,0.18752072083646307,0.02530586526477026,1.0141003215196205,0.004321373782642578,1.5726392970428134,0.0,0.0,0.0,0.0
04H025,0.0,0.13987908640123647,0.0,0.03342375548694973,0.0,0.04921802267018165,0.01703333929878037,0.07554696139253074,0.6085260335771941,0.04921802267018165,1.0958664534785427,0.0,1.6675463395115164,0.0,0.0,0.0,0.0
04H030,0.02530586526477026,0.19589965240923368,0.0,0.04921802267018165,0.0,0.05307844348341968,0.01703333929878037,0.5390760987927766,0.36172783601759284,0.04139268515822507,0.9410142437055697,0.1643528557844371,1.5510838651857803,0.0,0.0,0.0,0.0
04H039,0.0,0.03742649794062367,0.0,0.02530586526477026,0.0,0.0,0.01703333929878037,0.07918124604762482,0.0,0.0,0.6830470382388496,0.0,1.602494068807281,0.0,0.0,0.0,0.0
04H041,0.0,0.34635297445063856,0.0,0.2671717284030138,0.0,0.09342168516223506,0.03342375548694973,0.07554696139253074,0.10720996964786837,0.04532297878665747,0.7176705030022621,0.0,1.4299136977637545,0.0,0.0,0.0,0.0
04H048,0.0,0.04532297878665747,0.0,0.02530586526477026,0.0,0.10037054511756291,0.008600171761917567,0.012837224705172217,0.34635297445063856,0.056904851336472634,0.8388490907372553,0.008600171761917567,1.354108439147401,0.0,0.0,0.0,0.0
04H050,0.03742649794062367,0.17026171539495738,0.0,0.04921802267018165,0.0,0.02530586526477026,0.012837224705172217,0.02530586526477026,0.19589965240923368,0.012837224705172217,0.9595183769729982,0.004321373782642578,1.494988973683168,0.0,0.0,0.0,0.0
04H054,0.03342375548694973,0.021189299069938092,0.0,0.012837224705172217,0.0,0.008600171761917567,0.0,0.2304489213782739,0.3344537511509309,0.0,0.846955325019824,0.004321373782642578,1.4300750555519393,0.0,0.0,0.0,0.0
04H061,0.07918124604762482,0.33041377334919075,0.0,0.06818586174616162,0.0,0.11727129565576427,0.021189299069938092,0.23552844690754893,0.21748394421390624,0.04532297878665747,0.9057958803678685,0.03742649794062367,1.3481100684802376,0.0,0.0,0.0,0.0
04H063,0.07918124604762482,0.23804610312879543,0.0,0.5932860670204572,0.0,0.1903316981702915,0.012837224705172217,0.012837224705172217,0.17897694729316943,0.0,0.8129133566428556,0.021189299069938092,1.307282047033346,0.0,0.0,0.0,0.0
04H068,0.06818586174616162,0.0,0.0,0.28555730900777376,0.0,0.09342168516223506,0.02530586526477026,0.004321373782642578,0.16136800223497488,0.0,0.7558748556724915,0.021189299069938092,1.4053463601757088,0.0,0.0,0.0,0.0
04H078,0.07554696139253074,0.17318626841227402,0.0,0.15228834438305647,0.0,0.12385164096708583,0.02530586526477026,0.01703333929878037,0.12710479836480765,0.0,0.9717395908877782,0.008600171761917567,1.6021685513789972,0.0,0.0,0.0,0.0
04H080,0.0,0.3729120029701066,0.0,0.23552844690754893,0.0,0.0,0.03342375548694973,0.0,0.056904851336472634,0.0,0.8959747323590646,0.004321373782642578,1.461348433647983,0.0,0.0,0.0,0.0
04H091,0.0,0.35024801833416286,0.0,0.07188200730612536,0.0,0.08278537031645007,0.004321373782642578,0.11394335230683678,0.1430148002540951,0.02530586526477026,0.9916690073799486,0.004321373782642578,1.6032526619816467,0.0,0.0,0.0,0.0
04H101,0.0,0.021189299069938092,0.0,0.17609125905568124,0.0,0.03742649794062367,0.01703333929878037,0.16136800223497488,0.22271647114758328,0.0,0.846955325019824,0.03742649794062367,1.471144965160633,0.0,0.0,0.0,0.0
04H103,0.0,0.21218760440395779,0.0,0.17609125905568124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H108,0.029383777685209667,0.1367205671564068,0.0,0.1205739312058499,0.004321373782642578,0.04921802267018165,0.012837224705172217,0.06445798922691845,0.403120521175818,0.06818586174616162,1.132899769944483,0.0,1.6940784620807594,0.0,0.0,0.0,0.0
04H112,0.021189299069938092,0.146128035678238,0.03342375548694973,0.008600171761917567,0.0,0.012837224705172217,0.004321373782642578,0.012837224705172217,0.403120521175818,0.0,1.3106933123433606,0.004321373782642578,1.574262829707027,0.0,0.0,0.0,0.0
04H117,0.05307844348341968,0.004321373782642578,0.0,0.08278537031645007,0.0,0.06445798922691845,0.012837224705172217,0.21748394421390624,0.42975228000240795,0.07918124604762482,0.6803355134145632,0.01703333929878037,1.3981136917305026,0.0,0.0,0.0,0.0
04H120,0.09342168516223506,0.01703333929878037,0.0,0.3283796034387377,0.0,0.12385164096708583,0.008600171761917567,0.146128035678238,0.10720996964786837,0.0,0.7846172926328754,0.22010808804005513,1.4014005407815442,0.0,0.008600171761917567,0.0,0.0
04H123,0.0,0.03342375548694973,0.0,0.8175653695597808,0.0,0.1553360374650618,0.01703333929878037,0.32428245529769273,0.2695129442179163,0.056904851336472634,0.9872192299080049,0.5740312677277188,1.6574383227029625,0.0,0.0,0.0,0.0
04H132,0.0,0.06818586174616162,0.0,0.029383777685209667,0.0,0.1205739312058499,0.01703333929878037,0.029383777685209667,0.22530928172586287,0.03342375548694973,1.1095785469043866,0.0,1.8046845149069404,0.0,0.0,0.0,0.0
04H133,0.0,0.13033376849500614,0.0,0.11727129565576427,0.0,0.03342375548694973,0.01703333929878037,0.04139268515822507,0.436162647040756,0.021189299069938092,1.1510632533537501,0.0,1.5656117249020587,0.0,0.0,0.0,0.0
04H135,0.10380372095595687,0.03742649794062367,0.0,0.08990511143939793,0.0,0.04921802267018165,0.012837224705172217,0.03742649794062367,0.367355921026019,0.0,1.0297894708318558,0.004321373782642578,1.7172543127625497,0.0,0.008600171761917567,0.0,0.0
04H138,0.0,0.004321373782642578,0.0,0.02530586526477026,0.0,0.04139268515822507,0.05307844348341968,0.17318626841227402,0.03742649794062367,0.04532297878665747,0.7176705030022621,0.0,1.297760511099134,0.0,0.0,0.0,0.0
04H140,0.03342375548694973,0.25527250510330607,0.04532297878665747,0.22530928172586287,0.0,0.03742649794062367,0.03342375548694973,0.056904851336472634,0.3856062735983121,0.0,1.2027606873932,0.0,1.717004407040547,0.0,0.0,0.0,0.0
05H008,0.03342375548694973,0.1430148002540951,0.04921802267018165,0.10037054511756291,0.0,0.06445798922691845,0.004321373782642578,0.021189299069938092,0.45636603312904306,0.0,1.2105860249051565,0.004321373782642578,1.8550949511586219,0.0,0.008600171761917567,0.0,0.0
05H013,0.03342375548694973,0.012837224705172217,0.0,0.24551266781414982,0.0,0.1430148002540951,0.03342375548694973,0.004321373782642578,0.05307844348341968,0.0,0.5717088318086876,0.004321373782642578,1.1789769472931695,0.0,0.0,0.0,0.0
05H025,0.0,0.32633586092875144,0.0,0.2944662261615929,0.0,0.15836249209524964,0.008600171761917567,0.06445798922691845,0.15228834438305647,0.0,0.9095560292411754,0.01703333929878037,1.5048784594102158,0.0,0.0,0.0,0.0
05H030,0.0,0.15836249209524964,0.0,0.09691001300805642,0.0,0.04532297878665747,0.029383777685209667,0.02530586526477026,0.5428254269591799,0.02530586526477026,1.1222158782728267,0.0,1.7061201097027037,0.0,0.0,0.0,0.0
05H034,0.0,0.01703333929878037,0.0,0.12710479836480765,0.0,0.0,0.008600171761917567,0.04532297878665747,0.1643528557844371,0.029383777685209667,1.0916669575956846,0.0,1.5786392099680724,0.0,0.0,0.0,0.0
05H042,0.0,0.22271647114758328,0.06818586174616162,0.24797326636180664,0.0,0.08278537031645007,0.04139268515822507,0.05307844348341968,0.28330122870354957,0.0,1.224014811372864,0.004321373782642578,1.636888906983799,0.0,0.0,0.0,0.0
05H050,0.029383777685209667,0.1903316981702915,0.0,0.1553360374650618,0.0,0.0,0.012837224705172217,0.19589965240923368,0.13987908640123647,0.0,1.064083435963596,0.0,1.473632926873841,0.0,0.0,0.0,0.0
05H054,0.06069784035361165,0.04921802267018165,0.0,0.22010808804005513,0.0,0.04921802267018165,0.004321373782642578,0.008600171761917567,0.17318626841227402,0.0,0.7084209001347128,0.0,1.5652573434202137,0.0,0.0,0.0,0.0
05H065,0.0,0.04139268515822507,0.0,0.26245108973042947,0.0,0.13033376849500614,0.012837224705172217,0.02530586526477026,0.18184358794477254,0.06069784035361165,0.7671558660821804,0.0,1.5861370252307931,0.0,0.0,0.0,0.0
05H066,0.0,0.24551266781414982,0.0,0.20139712432045143,0.0,0.06445798922691845,0.008600171761917567,0.06445798922691845,0.24303804868629442,0.021189299069938092,0.8363241157067517,0.004321373782642578,1.5651391519697895,0.0,0.0,0.0,0.0
05H072,0.17609125905568124,0.02530586526477026,0.0,0.07918124604762482,0.0,0.04139268515822507,0.012837224705172217,0.8228216453031046,0.08635983067474821,0.05307844348341968,1.0606978403536118,0.22788670461367355,1.6316466629584194,0.0,0.0,0.0,0.0
05H078,0.029383777685209667,0.17026171539495738,0.0,0.01703333929878037,0.0,0.08635983067474821,0.004321373782642578,0.008600171761917567,0.4517864355242902,0.021189299069938092,0.8041394323353505,0.06818586174616162,1.4237372499823293,0.0,0.0,0.0,0.0
05H090,0.0,0.02530586526477026,0.0,0.021189299069938092,0.0,0.02530586526477026,0.008600171761917567,0.14921911265537988,0.11058971029924897,0.0,0.8609366207000937,0.04532297878665747,1.355643050220869,0.0,0.0,0.0,0.0
05H094,0.0,0.11058971029924897,0.0,0.20139712432045143,0.0,0.20682587603184968,0.03742649794062367,0.04532297878665747,0.23804610312879543,0.0,1.0606978403536118,0.0,1.4864304788544338,0.0,0.0,0.0,0.0
05H097,0.0,0.03342375548694973,0.0,0.146128035678238,0.0,0.04139268515822507,0.04532297878665747,0.05307844348341968,0.04139268515822507,0.0,0.885926339801431,0.0,1.5949447366950833,0.0,0.0,0.0,0.0
05H099,0.04139268515822507,0.012837224705172217,0.0,0.04532297878665747,0.0,0.06445798922691845,0.01703333929878037,0.48855071650044424,0.12385164096708583,0.06069784035361165,0.7846172926328754,0.10720996964786837,1.4761067168401913,0.0,0.008600171761917567,0.0,0.0
05H111,0.0,0.17609125905568124,0.0,0.11058971029924897,0.0,0.04532297878665747,0.0,0.03342375548694973,0.16731733474817606,0.0,0.8767949762007006,0.004321373782642578,1.413467412985825,0.0,0.0,0.0,0.0
05H113,0.056904851336472634,0.1931245983544616,0.0,0.09691001300805642,0.0,0.13033376849500614,0.06445798922691845,0.10720996964786837,0.5092025223311029,0.02530586526477026,0.9986951583116558,0.06069784035361165,1.6325585145326718,0.004321373782642578,0.0,0.0,0.0
05H118,0.03342375548694973,0.28555730900777376,0.0,0.004321373782642578,0.0,0.04139268515822507,0.029383777685209667,0.34635297445063856,0.5132176000679389,0.07554696139253074,1.0090257420869102,0.0,1.5493711523331772,0.0,0.0,0.0,0.0
05H128,0.03742649794062367,0.13033376849500614,0.0,0.1430148002540951,0.0,0.07918124604762482,0.05307844348341968,0.3096301674258988,0.4345689040341987,0.056904851336472634,0.814913181275074,0.01703333929878037,1.5820633629117087,0.0,0.0,0.0,0.0
05H136,0.0,0.17897694729316943,0.0,0.09691001300805642,0.0,0.08278537031645007,0.01703333929878037,0.17026171539495738,0.2671717284030138,0.0,0.9138138523837167,0.1205739312058499,1.510545010206612,0.0,0.0,0.0,0.0
05H143,0.0,0.03342375548694973,0.0,0.02530586526477026,0.0,0.06818586174616162,0.012837224705172217,0.05307844348341968,0.37474834601010387,0.0,1.121559844187501,0.0,1.8436064719245109,0.004321373782642578,0.0,0.0,0.0
05H149,0.10720996964786837,0.20411998265592482,0.0,0.3053513694466238,0.0,0.0,0.004321373782642578,0.021189299069938092,0.2576785748691845,0.0,0.8241258339165489,0.008600171761917567,1.533772058384718,0.0,0.0,0.0,0.0
05H163,0.056904851336472634,0.22788670461367355,0.0,0.09342168516223506,0.0,0.0,0.004321373782642578,0.02530586526477026,0.4409090820652177,0.04532297878665747,1.1889284837608534,0.0,1.5690225860295637,0.0,0.0,0.0,0.0
05H179,0.02530586526477026,0.17026171539495738,0.0,0.32633586092875144,0.0,0.1553360374650618,0.07554696139253074,0.004321373782642578,0.36921585741014284,0.0,0.9474337218870508,0.0,1.67052415778208,0.0,0.008600171761917567,0.0,0.0
05H181,0.0,0.1367205671564068,0.0,0.31175386105575426,0.004321373782642578,0.07554696139253074,0.03342375548694973,0.07188200730612536,0.07554696139253074,0.0,0.9876662649262746,0.008600171761917567,1.53567380342575,0.0,0.0,0.0,0.08278537031645007
