,AC009054.2,PMPCB,AC005618.1,GIMAP8,AC107421.1,AL158825.3,AC092960.1,OSR1,KRT19P2,AC117500.6,CDK13,FOXI1,AC073862.5,LRIG2_DT,AL713866.1,AC012574.2,PYDC2
01H001,1.26030994579492,0.0,0.0,0.0,0.0,0.0,0.615950051656401,0.021189299069938092,0.15836249209524964,0.0,0.03342375548694973,0.008600171761917567,1.5968169359155906,1.3126004392612594,0.0,0.0,0.0
01H002,0.10037054511756291,0.0,0.0,0.0,0.0,0.008600171761917567,0.47275644931721233,0.01703333929878037,0.0,0.0,0.0,0.0,1.0993352776859577,1.2273724422896364,0.0,0.0,0.0
02H003,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.4913616938342727,0.01703333929878037,0.0,0.0,0.0,0.008600171761917567,1.251638220448212,1.1720188094245565,0.0,0.0,0.0
02H009,0.1931245983544616,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,0.5526682161121932,0.02530586526477026,0.0,0.0,0.0,0.008600171761917567,1.2174839442139063,1.215373152783422,0.0,0.0,0.0
02H017,0.11058971029924897,0.0,0.0,0.056904851336472634,0.0,0.012837224705172217,0.49831055378960054,0.004321373782642578,0.0,0.0,0.06818586174616162,0.008600171761917567,1.2971036501492565,1.6447339274471926,0.0,0.0,0.0
02H025,0.029383777685209667,0.03742649794062367,0.0,0.0,0.0,0.01703333929878037,0.7134905430939424,0.01703333929878037,0.0,0.0,0.0,0.0,1.3304137733491908,1.5245259366263757,0.0,0.0,0.0
02H026,0.4712917110589386,0.0,0.0,0.02530586526477026,0.0,0.0,0.829303772831025,0.0,0.0,0.0,0.0,0.0,1.0507663112330423,1.1658376246901283,0.0,0.0,0.0
02H033,0.9735896234272569,0.0,0.0,0.0,0.0,0.0,0.7168377232995244,0.0,0.0,0.0,0.0,0.02530586526477026,1.290257269394518,1.3215984304653439,0.0,0.0,0.0
02H043,0.02530586526477026,0.0,0.0,0.0,0.0,0.02530586526477026,0.2787536009528289,0.008600171761917567,0.0,0.0,0.0,0.008600171761917567,1.1792644643390253,1.4084095784684296,0.0,0.04532297878665747,0.0
02H046,0.20411998265592482,0.0,0.0,0.021189299069938092,0.0,0.0,0.6404814369704218,0.012837224705172217,0.0,0.0,0.0,0.0,1.5018804937550587,1.5659658174466666,0.0,0.0,0.0
02H053,0.20951501454263097,0.0,0.0,0.03342375548694973,0.0,0.0,0.3424226808222063,0.0,0.0,0.0,0.0,0.029383777685209667,1.06707085604537,1.1646502159342966,0.0,0.0,0.0
02H066,0.09691001300805642,0.0,0.0,0.02530586526477026,0.0,0.029383777685209667,0.3443922736851107,0.008600171761917567,0.0,0.0,0.0,0.008600171761917567,1.4173055832445256,1.5408298141110799,0.0,0.0,0.0
03H016,0.18184358794477254,0.0,0.0,0.02530586526477026,0.029383777685209667,0.0,0.7604224834232121,0.0,0.0,0.0,0.0,0.0,1.6022770843001926,1.469232742506612,0.0,0.0,0.0
03H022,0.8419848045901139,0.0,0.0,0.0,0.0,0.0,0.7234556720351858,0.0,0.0,0.0,0.0,0.0,1.5523031093383541,1.2871296207191107,0.0,0.0,0.0
03H024,0.5289167002776547,0.0,0.0,0.0,0.0,0.01703333929878037,0.36548798489089973,0.004321373782642578,0.0,0.0,0.0,0.0,1.110252917353403,1.1495270137543478,0.0,0.0,0.0
03H028,0.09342168516223506,0.0,0.0,0.0,0.0,0.004321373782642578,0.23804610312879543,0.008600171761917567,0.0,0.0,0.0,0.0,1.2216749970707688,1.6935510855959135,0.0,0.0,0.0
03H033,0.04532297878665747,0.0,0.0,0.0,0.021189299069938092,0.0,0.505149978319906,0.01703333929878037,0.0,0.0,0.0,0.008600171761917567,1.3322364154914432,1.7651467901080253,0.004321373782642578,0.0,0.0
03H036,0.24054924828259971,0.0,0.0,0.0,0.0,0.01703333929878037,0.7535830588929066,0.008600171761917567,0.5453071164658241,0.0,0.0,0.0,1.3820170425748683,1.3481100684802376,0.0,0.0,0.0
03H041,0.5171958979499743,0.0,0.0,0.04921802267018165,0.0,0.0,0.6757783416740851,0.01703333929878037,0.2944662261615929,0.0,0.0,0.0,1.4102709642521845,1.4413808849165113,0.0,0.0,0.0
03H052,0.37474834601010387,0.0,0.0,0.0,0.0,0.0,0.631443769013172,0.004321373782642578,0.0,0.0,0.01703333929878037,0.0,1.3604040547299387,1.4153072922255674,0.004321373782642578,0.0,0.0
03H060,0.7589118923979735,0.0,0.0,0.0,0.0,0.012837224705172217,0.45024910831936116,0.0,0.0,0.0,0.0,0.008600171761917567,1.1373541113707328,1.2817149700272958,0.0,0.0,0.0
03H065,0.5224442335063199,0.008600171761917567,0.0,0.03342375548694973,0.0,0.01703333929878037,0.2787536009528289,0.012837224705172217,0.0,0.0,0.0,0.04921802267018165,1.5276299008713388,1.5148132949992854,0.0,0.0,0.0
03H067,0.3729120029701066,0.008600171761917567,0.0,0.021189299069938092,0.0,0.012837224705172217,0.6232492903979004,0.004321373782642578,0.0,0.0,0.0,0.0,1.4194600727860702,1.3577443251803756,0.0,0.0,0.0
03H070,0.39093510710337914,0.0,0.0,0.0,0.0,0.10720996964786837,0.5751878449276611,0.021189299069938092,0.0,0.0,0.0,0.07188200730612536,1.4602963267574753,1.5561818466529111,0.008600171761917567,0.0,0.0
03H081,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.8286598965353198,0.004321373782642578,0.0,0.0,0.0,0.0,1.3172273491764201,1.319522449065454,0.0,0.0,0.0
03H090,0.012837224705172217,0.0,0.0,0.07554696139253074,0.0,0.07188200730612536,0.5289167002776547,0.01703333929878037,0.0,0.0,0.0,0.0,1.3708830167776058,0.9425041061680807,0.0,0.0,0.0
03H095,0.5301996982030822,0.0,0.0,0.0,0.0,0.0,0.658964842664435,0.004321373782642578,0.0,0.0,0.0,0.021189299069938092,1.5436956323092448,1.5581083016305497,0.0,0.0,0.0
03H109,0.07554696139253074,0.0,0.0,0.0,0.0,0.0,0.45024910831936116,0.012837224705172217,0.0,0.0,0.0,0.008600171761917567,1.5438198051426577,1.5667909123815917,0.0,0.0,0.0
03H112,0.04532297878665747,0.0,0.0,0.01703333929878037,0.0,0.0,0.6232492903979004,0.008600171761917567,0.0,0.0,0.0,0.004321373782642578,1.3575537197430816,1.5273720828276118,0.0,0.0,0.0
03H116,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,0.3926969532596657,0.04139268515822507,0.0,0.0,0.0,0.0,1.6382895354142568,1.6856521841155243,0.0,0.0,0.0
