,OR7E46P,AL023803.2,KRTAP2_2,SUSD2,LINC01432,SNRNP40,PSG2,SELENOK,SDR42E1P1,EIF4EP1,SAP30L,AC092960.1,VPS50,ZNF714,AC125604.1,PPIAP44,AC044913.1,AP000696.3,RN7SL400P,MIS18A_AS1,AL161640.2,AL158211.2,USP45,SHOC2,AC112247.1,PRPF4B,MIR663A,AC008079.1,OR5AM1P,NUDT19P3,CIC,ITGBL1,KRTAP19_5,AC112253.1,TTC28_AS1,NMNAT2,NIPSNAP3A,AC124319.1,VWA5A,POU5F1B,RNU6_1277P,AL353626.2,KRTAP8_3P,Metazoa_SRP,DOCK8_AS1,AC084373.1,AC069029.1,AL022329.3,AC073311.1,AC022695.2,AC010528.2,AC068282.1,AC008677.3,SPOCD1,AP001065.3,AL359732.1,Y_RNA,AL159156.1,AP005597.3,RNA5SP194,AC090241.2,AL138847.2,MIR6509,MIR4316,AC087163.3,AC092335.1,HDAC4,RTEL1P1,AL121782.1,RNU6_966P,AL136298.2,AC004080.17,BX664727.1,RPL12P4,RN7SL52P,NCOA7_AS1,AC116347.2,PSMD3,AC025048.7,OR11J2P,RN7SKP249,MIR4711,IGHV3_30_2,SLC5A4P1,AC123768.1,RPS3AP1,ZDHHC5,AC011890.2,RN7SL591P,SHISA2,MTND6P19,EEF1DP6,FKTN,AL022311.1,RPL7P5,MIR4310,ADPGK,CTAGE3P,CCDC80,AL445529.1,Metazoa_SRP,KIF21A,AL136982.5,AC142283.1,FANCF,HINT1,IGHVII_15_1,NFATC4,KRTAP10_11,AL031590.1,AC079949.5,IL31RA,LINC01127,PRSS8,AC104076.1,RNU6_930P,AL356489.1,BEST4,AL031666.2,TCTN2,AC009053.4,NCKAP5_AS1,SCNM1,DBET,AL589826.2,TEDC1,MIR6893,LINC01684,LINC01241,AL355388.1,AC011473.2,AC009511.2,SNORA108,AC005726.1,STAG3L4,AKR1C7P,ANKRD20A18P,AL445647.2,RNU6_468P,RNF2,AL163973.3,AL035530.1,AC002076.2,GHSR,AC005515.1,AL162431.1,KDR,AC007240.3,CKAP2L,ZNF566,CNOT4,AC131009.1,CNBP,AC012409.3,AC122129.2,ZFAND4,HOXB3,THBS4,RN7SKP172,AC107067.1,ELOBP4,AL096869.3,RYK,OR7E90P,LINC01987,AC116407.1,Y_RNA,TGIF2LX,TUSC7,Y_RNA,MMP12,XKR7,AC087588.2,AL691517.1,LIPJ,AL162456.1,AC114752.2,PILRA,GOT2,EVX1,AC124861.2,UBE2WP1,AL136988.2,RNU6_361P,FUNDC2P3,AL445072.1,DMTF1,GSTA9P,PTTG1IP,LINC01481,TRAV1_2,AC008507.3,NONOP2,AL589880.1,AC105265.2,NAT8,AC025259.1,GALNT9,CDK13,RPL7P55
01H001,1.4679039465228003,1.3596457926745429,0.0,0.0,1.1379867327235316,1.6187800245062147,0.0,1.1051694279993316,0.8394780473741984,0.0,0.0,0.0,0.0,0.0,1.3049211619008918,0.22530928172586287,0.0,0.1931245983544616,0.17318626841227402,0.0,0.1205739312058499,0.5550944485783191,0.012837224705172217,0.0,0.03342375548694973,0.0,0.9698816437464999,0.47275644931721233,0.2741578492636798,0.0,0.03342375548694973,0.17318626841227402,0.012837224705172217,0.0,0.0,1.0773679052841565,0.0,1.0362295440862945,2.120310642636462,0.0,0.0,0.290034611362518,0.0,0.004321373782642578,0.0,0.0,0.45331834004703764,0.0,0.0,0.0,0.0,0.3926969532596657,0.0,0.0,0.0,0.0,0.0,1.7558748556724915,1.4795753101749884,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,1.1766699326681496,0.09342168516223506,1.6188844849954505,0.0,0.0,0.0,0.6608654780038692,0.01703333929878037,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.10037054511756291,0.07554696139253074,0.0,0.6211762817750351,0.0,0.17609125905568124,0.0,0.1903316981702915,0.012837224705172217,0.0,0.17318626841227402,0.0,0.004321373782642578,0.04139268515822507,0.0,0.0,0.012837224705172217,0.012837224705172217,0.012837224705172217,1.3634239329171765,0.48144262850230496,0.06818586174616162,0.0,0.0,0.0,0.01703333929878037,0.0,0.04532297878665747,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.0,0.004321373782642578,0.0,1.0515383905153275,0.0,0.06818586174616162,0.0,0.0,1.8885725968576,0.724275869600789,1.09795107099415,0.0,1.6135247028536523,1.021189299069938,0.06445798922691845,1.5359267413955693,0.04139268515822507,0.03342375548694973,0.11394335230683678,0.008600171761917567,0.05307844348341968,0.7604224834232121,0.029383777685209667,0.0,0.0,0.5378190950732742,0.0,0.28103336724772754,0.0,0.0,0.0,0.5763413502057928,0.0,0.0,0.0,1.4271614029259656,0.17026171539495738,1.2690457096576229,0.0,0.0,0.0,0.0,0.7387805584843692,0.0,0.9986951583116558,0.0,0.0,0.0,0.0,0.17609125905568124,0.0,0.0,0.0,0.13353890837021748,0.0,0.0,0.5428254269591799,1.3404441148401183,0.0,0.008600171761917567,0.0,0.0,0.0,0.17609125905568124,0.0,0.0,0.0,0.0,0.06069784035361165,0.0,0.0,1.2229764498933913,0.004321373782642578,0.0,0.0,0.004321373782642578,0.01703333929878037,0.0,0.0,0.0,0.06069784035361165,0.0,0.0,0.008600171761917567,0.0
01H002,1.2913688504515826,1.0576661039098292,0.0,0.004321373782642578,0.44404479591807633,1.5726392970428134,0.0,0.534026106056135,0.7218106152125465,0.0,0.0,0.0,0.0,0.0,0.9400181550076633,0.0,0.0,0.1367205671564068,0.012837224705172217,0.0,0.0,0.11727129565576427,0.012837224705172217,0.0,0.0,0.0,0.05307844348341968,0.11058971029924897,0.11394335230683678,0.008600171761917567,0.004321373782642578,0.06069784035361165,0.13353890837021748,0.0,0.0,0.7774268223893114,0.0,0.7363965022766424,0.06818586174616162,0.0,0.0,0.34044411484011833,0.0,0.004321373782642578,0.0,0.0,0.1643528557844371,0.0,0.0,0.0,0.0,0.2304489213782739,0.0,0.0,0.0,0.0,0.0,1.4595432582804129,1.0711452904510828,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.658964842664435,0.41830129131974547,1.1835545336188615,0.0,0.0,0.0,0.8068580295188175,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.008600171761917567,0.01703333929878037,0.0,0.5132176000679389,0.0,0.06445798922691845,0.012837224705172217,0.5658478186735176,0.02530586526477026,0.0,0.029383777685209667,0.0,0.0,0.004321373782642578,0.0,0.06445798922691845,0.07188200730612536,0.0,0.0,0.8715729355458788,0.6253124509616739,0.3053513694466238,0.0,0.0,0.0,0.3891660843645325,0.0,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,1.0461047872460387,0.0,0.07918124604762482,0.0,0.0,1.390405156480081,0.271841606536499,0.8115750058705934,0.0,1.2920344359947364,1.0406023401140732,0.0,0.9211660506377387,0.0,0.0,0.04921802267018165,0.004321373782642578,0.008600171761917567,0.4517864355242902,0.17897694729316943,0.0,0.11394335230683678,0.07554696139253074,0.0,1.1225435240687545,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,1.082066934285113,0.04139268515822507,1.3130231103232382,0.0,0.0,0.0,0.0,0.6954816764901974,0.0,0.9201233262907239,0.3344537511509309,0.0,0.0,0.0,0.04532297878665747,0.320146286111054,0.0,0.0,0.021189299069938092,0.0,0.0,1.2545480771089739,0.7323937598229685,0.0,0.0,0.0,0.0,0.0,0.08635983067474821,0.004321373782642578,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.7209857441537391,0.0,0.0,0.0,0.0,0.7058637122839193,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0
02H003,0.9854264740830017,1.5307118379816569,0.0,0.0,0.0,1.709693869727792,0.0,0.705007959333336,0.9712758487381052,0.0,0.0,0.0,0.0,0.0,1.0666985504229953,0.0,0.0,0.34830486304816066,0.08278537031645007,0.004321373782642578,0.012837224705172217,0.3010299956639812,0.0,0.0,0.0,0.0,0.17318626841227402,0.07188200730612536,0.004321373782642578,0.0,0.01703333929878037,0.11058971029924897,0.287801729930226,0.0,0.0,0.5622928644564746,0.0,0.8494194137968993,0.14921911265537988,0.0,0.0,0.12710479836480765,0.0,0.0,0.0,0.0,0.3283796034387377,0.0,0.0,0.0,0.0,0.4913616938342727,0.0,0.0,0.0,0.0,0.0,1.3935752032695876,1.1109262422664203,0.0,0.0,0.0,0.0,0.0,0.0,0.8709888137605752,0.03742649794062367,1.7481880270062005,0.0,0.0,0.0,0.791690649020118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.04139268515822507,0.0,0.6095944092252201,0.0,0.13353890837021748,0.0,0.5490032620257879,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.10037054511756291,1.0220157398177203,1.6094876898532853,0.012837224705172217,0.0,0.0,0.0,0.008600171761917567,0.0,0.15836249209524964,0.0,0.0,0.0,0.0,0.0,0.0,0.19865708695442263,0.0,0.0,0.0,0.0,1.0519239160461065,0.0,0.08278537031645007,0.0,0.0,1.776773802412107,0.45024910831936116,1.1670217957902564,0.0,1.3783979009481377,0.7965743332104297,0.0,1.1199154102579911,0.0,0.03342375548694973,0.04532297878665747,0.008600171761917567,0.004321373782642578,0.6720978579357175,0.056904851336472634,0.0,0.0,0.17609125905568124,0.0,1.3881012015705168,0.0,0.0,0.0,0.271841606536499,0.0,0.08278537031645007,0.08990511143939793,1.317436496535099,0.01703333929878037,0.667452952889954,0.0,0.0,0.0,0.0,0.658964842664435,0.0,1.0199466816788423,0.008600171761917567,0.0,0.0,0.0,0.18184358794477254,0.2764618041732442,0.0,0.0,0.08990511143939793,0.07554696139253074,0.0,0.9623693356700211,0.9532763366673044,0.0,0.004321373782642578,0.0,0.0,0.0,1.1835545336188615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363241157067517,0.0,0.0,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0
02H009,1.508395033133053,0.9684829485539351,0.0,0.008600171761917567,0.4913616938342727,1.7323133274712426,0.0,0.8709888137605752,0.7193312869837267,0.0,0.0,0.0,0.0,0.0,1.1467480136306398,0.0,0.0,0.2966651902615311,0.06445798922691845,0.0,0.029383777685209667,0.3979400086720376,0.012837224705172217,0.0,0.0,0.0,0.13987908640123647,0.056904851336472634,0.6127838567197355,0.0,0.01703333929878037,0.06445798922691845,0.22271647114758328,0.0,0.0,0.9698816437464999,0.0,0.7965743332104297,0.3521825181113625,0.0,0.0,0.24303804868629442,0.0,0.0,0.0,0.004321373782642578,0.4265112613645752,0.0,0.0,0.0,0.0,0.5378190950732742,0.0,0.0,0.0,0.0,0.0,1.845035993513415,1.0374264979406236,0.0,0.0,0.0,0.0,0.0,0.0,1.0220157398177203,1.0856472882968564,1.3838153659804313,0.0,0.0,0.0,0.8603380065709937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.004321373782642578,0.0,0.021189299069938092,0.0,0.07918124604762482,0.0,0.7234556720351858,0.004321373782642578,0.0,0.0,0.0,0.0,0.03342375548694973,0.0,0.0,0.0,0.0,0.07188200730612536,1.079543007402906,0.7101173651118162,0.49554433754644844,0.021189299069938092,0.0,0.0,0.008600171761917567,0.0,0.10037054511756291,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,1.141136090120739,0.0,0.20682587603184968,0.0,0.06818586174616162,1.6613393400060399,0.6148972160331346,1.0257153839013406,0.0,1.4983105537896004,1.1598678470925665,0.0,1.2692793897718986,0.0,0.03342375548694973,0.05307844348341968,0.004321373782642578,0.0,0.19865708695442263,0.12385164096708583,0.0,0.0,0.04921802267018165,0.0,1.2247919564926815,0.0,0.0,0.0,0.13987908640123647,0.0,0.04139268515822507,0.0,1.2588766293721312,0.2576785748691845,1.145196406114182,0.0,0.0,0.0,0.0,0.6551384348113821,0.0,0.8215135284047732,0.04921802267018165,0.0,0.0,0.0,0.07918124604762482,0.04532297878665747,0.0,0.0,0.07918124604762482,0.008600171761917567,0.0,1.401055725771844,1.5056925074122,0.0,0.0,0.0,0.0,0.0,0.7888751157754168,0.0,0.0,0.0,0.0,0.17609125905568124,0.0,0.0,0.6875289612146344,0.021189299069938092,0.0,0.0,0.004321373782642578,0.04139268515822507,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217
02H017,1.4959603948817053,0.5820633629117087,0.0,0.008600171761917567,0.17609125905568124,1.5895027962637638,0.0,0.8407332346118067,0.8567288903828826,0.0,0.0,0.0,0.0,0.0,0.9493900066449128,0.0,0.0,0.19589965240923368,0.02530586526477026,0.0,0.25527250510330607,0.17609125905568124,0.012837224705172217,0.0,0.0,0.0,0.10380372095595687,0.03342375548694973,0.46834733041215726,0.0,0.02530586526477026,0.06818586174616162,0.0,0.0,0.0,1.1142772965615864,0.0,0.7442929831226762,0.7909884750888159,0.0,0.0,0.17318626841227402,0.0,0.0,0.0,0.0,0.20682587603184968,0.0,0.0,0.0,0.0,0.2787536009528289,0.0,0.0,0.0,0.0,0.0,1.8042757671290939,1.1341771075767664,0.0,0.0,0.0,0.0,0.0,0.0,0.5797835966168101,0.8286598965353198,1.4326486600131068,0.0,0.0,0.0,0.5877109650189114,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.004321373782642578,0.0,0.48572142648158,0.0,0.04532297878665747,0.004321373782642578,0.34830486304816066,0.01703333929878037,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.0,0.03742649794062367,0.004321373782642578,0.0,1.0920184707527971,0.8819549713396004,0.05307844348341968,0.42488163663106704,0.0,0.008600171761917567,0.03342375548694973,0.0,0.04921802267018165,0.0,0.02530586526477026,0.0,0.0,0.021189299069938092,0.0,0.1643528557844371,0.0,0.0,0.0,0.0,1.1574567681342256,0.0,0.021189299069938092,0.0,0.0,1.8835478792680438,0.32428245529769273,1.2062860444124324,0.0,1.6306312440205,0.9370161074648142,0.0,1.0595634179012676,0.0,0.0,0.17609125905568124,0.0,0.0,0.29885307640970665,0.029383777685209667,0.0,0.04921802267018165,0.09342168516223506,0.0,1.354108439147401,0.0,0.0,0.0,0.24303804868629442,0.0,0.0,0.04532297878665747,1.0468851908377101,0.26245108973042947,1.3457656931144881,0.0,0.0,0.0,0.0,0.5289167002776547,0.0,0.7781512503836436,0.03342375548694973,0.0,0.0,0.0,0.07554696139253074,0.42324587393680785,0.0,0.0,0.03342375548694973,0.03342375548694973,0.0,1.0625819842281632,1.515211304327802,0.0,0.0,0.0,0.0,0.0,0.43136376415898736,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.9661417327390326,0.08278537031645007,0.0,0.0,0.0,0.5118833609788744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02H025,1.3386556655787003,1.0546130545568877,0.0,0.0,0.06069784035361165,1.4571246263034088,0.0,0.7489628612561614,0.800717078282385,0.0,0.0,0.0,0.0,0.0,1.1280760126687153,0.03342375548694973,0.0,0.30749603791321295,0.056904851336472634,0.0,0.008600171761917567,0.42324587393680785,0.012837224705172217,0.0,0.0,0.0,0.08278537031645007,0.012837224705172217,0.29885307640970665,0.0,0.004321373782642578,0.04921802267018165,0.18752072083646307,0.0,0.0,0.948412965778601,0.0,0.8095597146352678,0.7902851640332417,0.0,0.0,0.34635297445063856,0.0,0.0,0.0,0.0,0.34830486304816066,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.029383777685209667,0.0,0.0,1.7119758543517558,1.1687920203141817,0.0,0.0,0.0,0.0,0.0,0.0,1.1152775913959014,0.02530586526477026,1.496376054012401,0.0,0.0,0.0,0.7458551951737289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.01703333929878037,0.0,0.24054924828259971,0.0,0.19865708695442263,0.008600171761917567,0.5998830720736879,0.012837224705172217,0.0,0.01703333929878037,0.0,0.0,0.021189299069938092,0.0,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.06069784035361165,0.9656719712201067,0.43933269383026263,0.3856062735983121,0.0,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.22788670461367355,0.0,0.0,0.0,0.0,0.8954225460394079,0.0,0.19589965240923368,0.0,0.0,1.766040860381389,0.6730209071288962,0.8674674878590515,0.0,1.4321672694425882,1.0784568180532925,0.0,1.1379867327235316,0.0,0.06069784035361165,0.05307844348341968,0.004321373782642578,0.012837224705172217,0.48855071650044424,0.1367205671564068,0.0,0.04532297878665747,0.02530586526477026,0.0,1.1528995963937474,0.0,0.0,0.0,0.20682587603184968,0.0,0.0,0.01703333929878037,1.2005769267548483,0.0,1.1218879851036812,0.0,0.0,0.0,0.0,0.8727388274726688,0.0,0.617000341120899,0.16731733474817606,0.0,0.0,0.0,0.16731733474817606,0.0,0.0,0.0,0.11394335230683678,0.0,0.0,1.1051694279993316,1.3126004392612594,0.0,0.004321373782642578,0.0,0.0,0.0,1.0637085593914175,0.0,0.0,0.0,0.0,0.056904851336472634,0.0,0.0,0.7075701760979364,0.03342375548694973,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02H026,1.5478977175630972,0.7664128471123994,0.0,0.0,0.6106601630898799,1.7032053706954864,0.0,0.7693773260761385,0.5105450102066121,0.0,0.0,0.0,0.0,0.0,0.6748611407378116,0.03342375548694973,0.0,0.09691001300805642,0.012837224705172217,0.0,0.008600171761917567,0.11394335230683678,0.004321373782642578,0.0,0.0,0.0,0.08990511143939793,0.04921802267018165,0.15836249209524964,0.0,0.004321373782642578,0.012837224705172217,0.09691001300805642,0.0,0.0,0.9703468762300933,0.0,0.7323937598229685,0.5365584425715302,0.0,0.0,0.06818586174616162,0.0,0.0,0.0,0.0,0.24303804868629442,0.0,0.0,0.0,0.0,0.24797326636180664,0.0,0.0,0.0,0.0,0.0,1.916822284595912,1.1522883443830565,0.0,0.0,0.0,0.0,0.0,0.0,0.7993405494535817,0.4471580313422192,0.8680563618230416,0.0,0.0,0.0,0.292256071356476,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.004321373782642578,0.004321373782642578,0.0,0.17609125905568124,0.0,0.04139268515822507,0.004321373782642578,0.17609125905568124,0.22010808804005513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,0.9947569445876281,0.964259630196849,0.6074550232146685,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.29885307640970665,0.0,0.0,0.004321373782642578,0.0,0.9159272116971158,0.0,0.021189299069938092,0.0,0.0,1.6609602917760835,0.17026171539495738,0.7109631189952756,0.0,1.4885507165004443,1.1699681739968923,0.0,1.0166155475571774,0.0,0.029383777685209667,0.3344537511509309,0.004321373782642578,0.008600171761917567,0.3521825181113625,0.23299611039215382,0.0,0.0,0.021189299069938092,0.0,0.6522463410033232,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,0.012837224705172217,1.1562461903973444,0.029383777685209667,1.361160995195026,0.0,0.0,0.0,0.0,0.6294095991027189,0.0,0.8830933585756899,0.2528530309798932,0.0,0.0,0.0,0.012837224705172217,0.31386722036915343,0.0,0.0,0.10380372095595687,0.0,0.0,1.4229179807676624,0.9768083373380663,0.0,0.008600171761917567,0.0,0.0,0.0,0.3159703454569178,0.004321373782642578,0.0,0.0,0.0,0.07554696139253074,0.0,0.0,0.6053050461411094,0.008600171761917567,0.0,0.0,0.0,0.3926969532596657,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0
02H033,1.4665710723863543,0.9100905455940681,0.0,0.0,1.1445742076096164,1.5715923833613072,0.0,0.8825245379548805,0.5314789170422551,0.0,0.0,0.0,0.0,0.0,0.7543483357110189,0.004321373782642578,0.0,0.1205739312058499,0.01703333929878037,0.0,0.008600171761917567,0.39093510710337914,0.008600171761917567,0.0,0.0,0.0,0.07918124604762482,0.1430148002540951,0.6117233080073418,0.0,0.008600171761917567,0.056904851336472634,0.0,0.0,0.0,1.0962145853464051,0.0,0.6483600109809317,1.0969100130080565,0.0,0.0,0.13353890837021748,0.0,0.0,0.0,0.0,0.4871383754771864,0.0,0.0,0.0,0.0,0.292256071356476,0.0,0.0,0.14921911265537988,0.0,0.0,1.976074731619874,1.0409976924234905,0.0,0.0,0.0,0.0,0.0,0.0,1.1251558295805302,0.4756711883244297,1.0170333392987803,0.0,0.0,0.0,0.3384564936046048,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.01703333929878037,0.029383777685209667,0.0,0.24551266781414982,0.021189299069938092,0.06445798922691845,0.0,0.3891660843645325,0.1846914308175988,0.0,0.03742649794062367,0.0,0.0,0.06445798922691845,0.0,0.0,0.5428254269591799,0.04921802267018165,0.0,1.25478968739721,0.890979596989689,0.5289167002776547,0.04139268515822507,0.0,0.0,0.0,0.0,0.06069784035361165,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.38021124171160603,0.0,0.0,0.004321373782642578,0.0,0.9740509027928773,0.0,0.029383777685209667,0.0,0.0,1.660201201380682,0.5078558716958309,0.7881683711411677,0.0,1.4468477101558088,0.948412965778601,0.029383777685209667,1.0842186867392387,0.0,0.03342375548694973,0.5263392773898441,0.01703333929878037,0.0,0.26007138798507473,0.13987908640123647,0.004321373782642578,0.11727129565576427,0.012837224705172217,0.0,0.7895807121644255,0.0,0.0,0.0,0.22530928172586287,0.0,0.0,0.0,1.1883659260631483,0.02530586526477026,1.5605044151950567,0.0,0.0,0.0,0.0,0.5211380837040362,0.0,0.725094521081469,0.2966651902615311,0.0,0.0,0.0,0.09691001300805642,0.08635983067474821,0.0,0.0,0.26007138798507473,0.0,0.0,1.0759117614827776,1.1024337056813363,0.0,0.0,0.0,0.0,0.0,0.29885307640970665,0.0,0.0,0.0,0.0,0.1367205671564068,0.0,0.0,1.1274287778515988,0.1553360374650618,0.0,0.0,0.012837224705172217,0.012837224705172217,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0
02H043,1.4265112613645752,0.711807229041191,0.0,0.0,0.05307844348341968,1.4402792132355882,0.0,0.8234742291703011,0.6522463410033232,0.0,0.0,0.0,0.0,0.0,0.9982593384236987,0.0,0.0,0.3159703454569178,0.08635983067474821,0.0,0.01703333929878037,0.421603926869831,0.004321373782642578,0.0,0.0,0.0,0.15836249209524964,0.029383777685209667,0.7058637122839193,0.004321373782642578,0.008600171761917567,0.03742649794062367,0.31806333496276157,0.0,0.0,0.9025467793139914,0.0,0.7084209001347128,0.20411998265592482,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.3344537511509309,0.0,0.0,0.0,0.0,0.5378190950732742,0.0,0.0,0.0,0.0,0.0,1.9152942830226865,0.9863237770507653,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,1.0043213737826426,0.3873898263387294,1.5148132949992854,0.0,0.0,0.0,0.9319661147281727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.029383777685209667,0.0,0.20682587603184968,0.004321373782642578,0.5693739096150459,0.012837224705172217,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.021189299069938092,0.0,0.0,0.06069784035361165,0.9153998352122699,0.44560420327359757,0.32633586092875144,0.0,0.0,0.004321373782642578,0.0,0.0,0.06445798922691845,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.13033376849500614,0.0,0.0,0.0,0.0,1.0,0.0,0.20139712432045143,0.0,0.0,1.6356847625472226,0.5998830720736879,0.7737864449811935,0.0,1.2723058444020865,1.04296907339318,0.0,1.0906107078284066,0.0,0.06818586174616162,0.021189299069938092,0.004321373782642578,0.0,0.22010808804005513,0.07918124604762482,0.0,0.0,0.03742649794062367,0.0,1.139249217571607,0.0,0.0,0.0,0.2764618041732442,0.0,0.0,0.0,1.2933625547114456,0.01703333929878037,1.0902580529313164,0.0,0.0,0.0,0.0,0.6464037262230695,0.0,0.7715874808812554,0.056904851336472634,0.0,0.0,0.0,0.16731733474817606,0.3364597338485295,0.0,0.0,0.08990511143939793,0.0,0.0,1.1772478362556233,1.2182728535714475,0.0,0.0,0.0,0.0,0.0,0.3820170425748684,0.004321373782642578,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.6434526764861874,0.04139268515822507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021189299069938092
02H046,1.5371892262436446,0.9294189257142927,0.0,0.008600171761917567,0.5327543789924978,1.6415732531781755,0.0,0.9242792860618817,0.9148718175400503,0.0,0.0,0.0,0.0,0.0,1.3049211619008918,0.04139268515822507,0.0,0.37474834601010387,0.029383777685209667,0.0,0.012837224705172217,0.5289167002776547,0.012837224705172217,0.0,0.0,0.0,0.22788670461367355,0.07188200730612536,0.72916478969277,0.03342375548694973,0.0,0.11394335230683678,0.06445798922691845,0.0,0.0,1.332034277027518,0.0,0.8388490907372553,0.5865873046717549,0.0,0.0,0.44404479591807633,0.0,0.0,0.0,0.0,0.3820170425748684,0.0,0.0,0.0,0.0,0.5877109650189114,0.0,0.0,0.0,0.0,0.0,1.7729081949712717,1.2081725266671217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3364597338485295,1.7421750432236771,0.0,0.0,0.0,1.2530955858490316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.6730209071288962,0.0,0.09691001300805642,0.008600171761917567,0.557507201905658,0.029383777685209667,0.0,0.04921802267018165,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.04921802267018165,1.3036279763838898,1.1580607939366052,0.2671717284030138,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08278537031645007,0.0,0.0,0.0,0.0,1.2521245525056444,0.0,0.3364597338485295,0.0,0.0,1.6582022533870147,0.6127838567197355,1.2382970678753937,0.0,1.529430354366986,1.2699796766453237,0.0,1.160168292958512,0.0,0.04532297878665747,0.09691001300805642,0.008600171761917567,0.0,0.3926969532596657,0.09691001300805642,0.0,0.13987908640123647,0.2764618041732442,0.0,1.242044239369551,0.0,0.0,0.0,0.23804610312879543,0.0,0.0,0.01703333929878037,1.3230457354817013,0.04532297878665747,1.5998830720736879,0.0,0.0,0.0,0.0,0.7466341989375788,0.0,0.9772662124272926,0.5198279937757188,0.0,0.0,0.0,0.12710479836480765,0.5037906830571811,0.0,0.0,0.01703333929878037,0.0,0.0,1.369957607346053,1.2201080880400552,0.0,0.0,0.004321373782642578,0.0,0.0,0.1931245983544616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0659529803138696,0.1367205671564068,0.0,0.0,0.0,0.24303804868629442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
