,CCDC6,RPS20P5,IGLV10_54,AC063965.1,MIR548I1,FAM225A,DTNB,PAGE4,AC044784.1,SNORA75,FAM205BP,AL118511.2,RNU6_601P,TRO,INSM2,ZCCHC17,AP001825.1,SMURF1,CU633906.2,CDY12P,RAB9AP1,AC068491.4,AC016683.1,RNU6_1025P,AC097462.3,KRTAP19_10P,SNORA15B_2,AL592182.2,ADAD1,AC130689.1,STK35,ARHGAP17,STK38L,AC008875.2,AC090825.2,TMEM167AP1,GNRHR,ZMAT5,SOWAHA,RN7SL623P,RN7SKP248,COL4A3,DEFA3,LINC01568,AC121758.4,WT1,AC009623.1,RPS3AP39,AL645929.3,RNU6ATAC15P,MIRLET7BHG,ZNF585B,RNU7_56P,ZNF837,TRAPPC2,BMPR2,BOLA2_SMG1P6,AL121904.1,AC245389.1,ZNF276,H6PD,FP236383.9,OR5AM1P,KCNIP2,Y_RNA,IFNWP2,CPB1,RNU6_82P,PREP,BNC2_AS1,AC112249.1,SMTN,RPL21P10,NUMB,GPR89B,Z82196.2,AL109947.1,AC235097.1,PKP4,OR7E53P,MIR3943,AC129915.3,MIR206,AC073578.4,OR51A7,MTND3P23,AC097358.1,AC020637.1,MAPK6P3,AP000577.2,AL121579.1,RPL5P21,AL356585.10,FAM50B,AC022509.1,AL161668.2,AL354751.3,GDNF,LINC02041,ABHD15,AL132709.7,OR1M1,AL159169.1,MYH8,PRR13P2,HOMEZ,AL162585.1,AC093729.1,AC025171.3,SGPL1,MIR196B,MAMSTR,N4BP3,RN7SL141P,KRTAP20_2,MTND4LP24,AL162373.1,MTND3P8,LINC02270,RPSAP18,NBPF8,AL356095.1,AL133351.2,AC007731.2,AC063923.2,AC002072.1,AC073135.1,USP17L11,LEXM,AL020996.1,RN7SL847P,CCNYL2,NMTRS_TGA3_1,AC022690.2,AC013565.1,Z97055.2,CCNYL3,KCNK1,AL512506.2,AP001029.1,GDPGP1,COL11A2P1,ZFYVE1,MTCO1P53,AL035665.2,AL096803.1,ZC3H10,AC026369.3,RNU7_161P,PPIL4,AL138745.1,CSRNP1,AC068413.1,LINC02675,CNN2P10,SNORA70J,UBE2H,AL357033.1,MIR610,LAMB4,DEFB108C,PLAAT2,AL354836.1,RPL21P103,AL355773.1,AC087500.1,MTND4P14,RASGRP1,AL512656.1,GNG5P3,AP003173.1,AL121757.1,NEU3,VN1R87P,AL359962.1,AL022099.1,LINC02086,AC069437.1,TXNDC17,TGFB2_OT1,MARCKSL1P1,AL035425.2,AL645929.1,AC008764.2,MLECP1,AC007068.1,SNORD113_4,TRBV5_6,IQCD,LINC01366,AL050402.2,ZNF584,AC136944.4,IGHD1OR15_1A,RPL7P13,NSRP1P1,AC017076.1,YAP1,U6,AC244517.4
01H001,0.0,0.5224442335063199,0.0,0.0,0.33243845991560533,0.0,0.0,0.0,1.173186268412274,0.004321373782642578,0.004321373782642578,0.06069784035361165,0.0,0.0,1.9228292196666488,0.012837224705172217,0.0,0.24054924828259971,0.03742649794062367,0.0,0.0,0.08635983067474821,0.012837224705172217,0.0,0.0,0.0,0.21748394421390624,0.0,0.0,0.0,0.0,0.9740509027928773,1.24551266781415,0.0,0.0,0.04532297878665747,0.0,0.0,1.5898379431474599,0.0,0.0,0.0,0.5365584425715302,0.0,0.08990511143939793,0.0,0.06445798922691845,0.008600171761917567,0.670245853074124,0.0,0.3521825181113625,0.0,0.0,0.0,0.0,0.0,0.4653828514484183,0.012837224705172217,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.07554696139253074,0.01703333929878037,0.0,0.0,0.35024801833416286,0.008600171761917567,0.0,0.008600171761917567,0.0,0.0,0.5453071164658241,0.0,0.0,0.35602585719312274,0.0,0.0,0.0,0.5514499979728752,0.437750562820388,0.7323937598229685,0.0,0.04139268515822507,1.1967287226232868,0.03742649794062367,0.0,0.0,0.04921802267018165,0.2787536009528289,1.4117880045438689,0.21218760440395779,0.0,0.292256071356476,0.0,0.02530586526477026,0.0,0.0,0.14921911265537988,0.029383777685209667,0.0,0.01703333929878037,0.0,0.0,0.49831055378960054,0.0,0.416640507338281,0.0,0.02530586526477026,0.17609125905568124,0.0,0.0,0.0,1.568201724066995,1.0766404436703418,0.0,0.0,0.0,0.4623979978989561,0.0,0.8041394323353505,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.28330122870354957,0.0,0.0,0.24303804868629442,0.0,0.0,0.0,0.0,1.1989318699322091,0.0,0.0,0.3010299956639812,0.0,0.004321373782642578,0.0,0.0,0.0,1.381295623003826,0.04532297878665747,0.0,1.6084190513172854,0.0,0.0,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.0,0.7041505168397991,0.08990511143939793,0.22010808804005513,0.37106786227173627,0.0,0.02530586526477026,0.6374897295125107,1.5863622233078658,0.03342375548694973,0.0,0.0,0.20951501454263097,0.0,0.008600171761917567,0.03742649794062367,0.04921802267018165,0.19589965240923368,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.0,0.029383777685209667,0.0,0.0,0.13353890837021748,0.0,0.01703333929878037,0.4424797690644485,0.008600171761917567,0.012837224705172217,0.09342168516223506,0.06069784035361165,0.0,0.0,0.0,0.0
01H002,0.0,0.08635983067474821,0.0,0.0,0.02530586526477026,0.0,0.0,0.004321373782642578,0.8260748027008264,0.004321373782642578,0.0,0.0,0.0,0.0,1.3459615418131412,0.04139268515822507,0.0,0.28555730900777376,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,0.8162412999917831,1.064083435963596,0.0,0.0,0.004321373782642578,0.0,0.0,1.2819419334408249,0.021189299069938092,0.0,0.004321373782642578,0.14921911265537988,0.0,0.05307844348341968,0.0,0.0,0.02530586526477026,0.49554433754644844,0.0,0.05307844348341968,0.0,0.021189299069938092,0.0,0.0,0.0,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2011238972073794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6503075231319365,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.2764618041732442,0.45331834004703764,0.3053513694466238,0.0,0.03742649794062367,0.36548798489089973,0.0,0.0,0.0,0.08635983067474821,0.0,0.6803355134145632,0.056904851336472634,0.0,0.03742649794062367,0.008600171761917567,0.04921802267018165,0.0,0.0,0.03342375548694973,0.04139268515822507,0.0,0.0,0.0,0.02530586526477026,0.21748394421390624,0.0,1.440121603187804,0.0,0.0,0.0,0.0,0.0,0.0,1.4440447959180762,0.7379873263334308,0.0,0.0,1.6257239095257559,0.36361197989214433,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3891660843645325,0.0,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.7126497016272113,0.0,0.0,0.029383777685209667,0.0,0.01703333929878037,0.0,0.0,0.0,1.106870544478654,0.08278537031645007,0.0,1.2968844755385471,0.0,0.0,0.0,0.05307844348341968,0.029383777685209667,0.0,0.0,0.0,0.0,0.6541765418779605,0.09342168516223506,0.12385164096708583,0.31386722036915343,0.0,0.029383777685209667,0.17318626841227402,1.6582976503081899,0.02530586526477026,0.0,0.0,0.004321373782642578,0.0,0.0,0.012837224705172217,0.01703333929878037,0.5352941200427705,0.0,0.0,0.0,0.02530586526477026,0.03742649794062367,0.0,0.0,0.02530586526477026,0.0,0.0,0.15228834438305647,0.0,0.012837224705172217,0.24054924828259971,0.0,0.004321373782642578,0.056904851336472634,0.0,0.0,0.0,0.0,0.0
02H003,0.0,0.4014005407815441,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.8068580295188175,0.008600171761917567,0.04139268515822507,0.0,0.0,0.0,1.4726101975960446,0.10037054511756291,0.0,0.3996737214810381,0.146128035678238,0.0,0.0,0.320146286111054,0.0,0.0,0.0,0.0,0.08278537031645007,0.0,0.004321373782642578,0.0,0.0,0.9084850188786497,0.03742649794062367,0.0,0.012837224705172217,0.012837224705172217,0.07188200730612536,0.0,1.2664668954402414,0.0,0.0,0.0,0.4756711883244297,0.0,0.008600171761917567,0.0,0.01703333929878037,0.0,0.5490032620257879,0.0,0.1367205671564068,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12710479836480765,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.6009728956867483,0.7092699609758307,0.515873843711679,0.0,0.012837224705172217,0.5728716022004803,0.01703333929878037,0.0,0.0,0.0,0.14921911265537988,0.11058971029924897,0.06445798922691845,0.0,0.20951501454263097,0.004321373782642578,0.18184358794477254,0.0,0.0,0.08990511143939793,0.5998830720736879,0.0,0.0,0.0,0.012837224705172217,0.36548798489089973,0.0,0.2304489213782739,0.1430148002540951,0.0,0.1931245983544616,0.0,0.0,0.0,1.4565178578052627,0.9508514588885464,0.0,0.0,0.6893088591236203,0.3364597338485295,0.0,0.4927603890268375,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.20139712432045143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8549130223078556,0.0,0.0,0.10720996964786837,0.0,0.008600171761917567,0.0,0.0,0.0,1.3769417571467586,0.0,0.0,1.351409751925439,0.0,0.0,0.0,0.2787536009528289,0.04921802267018165,0.0,0.0,0.0,0.0,0.6884198220027106,0.41830129131974547,0.16136800223497488,0.5105450102066121,0.0,0.07188200730612536,0.40483371661993806,1.6351820486562676,0.004321373782642578,0.0,0.0,0.01703333929878037,0.0,0.0,0.01703333929878037,0.012837224705172217,0.8830933585756899,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.11727129565576427,0.0,0.0,0.42813479402878873,0.0,0.06818586174616162,0.3979400086720376,0.0,0.012837224705172217,0.02530586526477026,0.0,0.0,0.0,0.0,0.0
02H009,0.0,0.5705429398818975,0.0,0.0,0.07918124604762482,0.0,0.0,0.0,1.3374592612906562,0.012837224705172217,0.03742649794062367,0.07188200730612536,0.02530586526477026,0.0,1.6856521841155243,0.02530586526477026,0.004321373782642578,0.2695129442179163,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.09342168516223506,0.0,0.0,0.0,0.0,0.8609366207000937,1.4300750555519393,0.0,0.012837224705172217,0.04532297878665747,0.0,0.0,1.5265977091034522,0.0,0.0,0.0,0.17026171539495738,0.0,0.28330122870354957,0.0,0.07188200730612536,0.0,0.7450747915820575,0.0,0.11727129565576427,0.0,0.012837224705172217,0.0,0.0,0.0,0.10720996964786837,0.0,0.0,0.004321373782642578,0.012837224705172217,0.008600171761917567,0.0,0.0,0.008600171761917567,1.4868553552769432,0.0,0.0,0.0,0.0,0.004321373782642578,0.004321373782642578,0.0,0.0,0.725094521081469,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.3159703454569178,0.24797326636180664,0.416640507338281,0.0,0.07188200730612536,0.38021124171160603,0.04532297878665747,0.0,0.0,0.3873898263387294,0.01703333929878037,0.761927838420529,0.06818586174616162,0.0,0.056904851336472634,0.0,0.01703333929878037,0.008600171761917567,0.0,0.021189299069938092,0.367355921026019,0.0,0.0,0.0,0.008600171761917567,0.34830486304816066,0.0,1.4745076391169758,0.0,0.0,0.10720996964786837,0.0,0.0,0.0,1.3552599055273784,0.9014583213961124,0.02530586526477026,0.0,1.353916230920363,0.5987905067631151,0.0,0.436162647040756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705429398818975,0.0,0.0,0.08635983067474821,0.0,0.004321373782642578,0.0,0.0,0.885926339801431,0.0,0.0,0.1643528557844371,0.0,0.0,0.0,0.0,0.0,1.2674064187529042,0.5550944485783191,0.0,1.4670158184384356,0.0,0.0,0.0,0.07188200730612536,0.06818586174616162,0.02530586526477026,0.008600171761917567,0.0,0.0,0.6522463410033232,0.12385164096708583,0.20411998265592482,0.8727388274726688,0.0,0.10037054511756291,0.32428245529769273,1.8624891669058972,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.008600171761917567,0.6354837468149122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19589965240923368,0.0,0.0,0.06069784035361165,0.0,0.008600171761917567,0.09342168516223506,0.12385164096708583,0.02530586526477026,0.0,0.0,0.0
02H017,0.0,0.5185139398778874,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,1.015778756389041,0.0,0.004321373782642578,0.056904851336472634,0.0,0.0,1.581835924057648,0.01703333929878037,0.0,0.33243845991560533,0.09342168516223506,0.0,0.0,0.06445798922691845,0.012837224705172217,0.0,0.0,0.0,0.15836249209524964,0.0,0.0,0.0,0.0,1.1903316981702914,1.2198463860243607,0.0,0.0,0.029383777685209667,0.0,0.0,1.6332664111554245,0.03342375548694973,0.004321373782642578,0.0,0.18184358794477254,0.0,0.03742649794062367,0.0,0.021189299069938092,0.08278537031645007,0.5987905067631151,0.0,0.18184358794477254,0.0,0.0,0.0,0.0,0.0,0.28555730900777376,0.0,0.0,0.0,0.008600171761917567,0.0,0.04532297878665747,0.0,0.02530586526477026,0.25527250510330607,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.7767011839884108,0.0,0.0,0.07554696139253074,0.0,0.0,0.0,0.4329692908744057,0.34635297445063856,0.40483371661993806,0.0,0.012837224705172217,0.10037054511756291,0.012837224705172217,0.0,0.0,0.12710479836480765,0.06069784035361165,1.0073209529227445,0.07188200730612536,0.0,0.03742649794062367,0.0,0.06069784035361165,0.0,0.0,0.029383777685209667,0.10380372095595687,0.0,0.0,0.0,0.0,0.17026171539495738,0.0,1.2387985627139169,0.0,0.029383777685209667,0.12710479836480765,0.0,0.0,0.0,1.7462448717201982,0.8394780473741984,0.0,0.0,0.6910814921229684,0.43136376415898736,0.0,1.4020893505720966,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.2576785748691845,0.0,0.0,0.14921911265537988,0.0,0.0,0.0,0.0,0.8943160626844384,0.9122220565324155,0.0,0.07188200730612536,0.0,0.01703333929878037,0.0,0.0,0.0,1.1699681739968923,0.11727129565576427,0.0,1.4106085425683679,0.0,0.0,0.0,0.07554696139253074,0.1430148002540951,0.0,0.0,0.0,0.0,1.0236639181977936,0.05307844348341968,0.290034611362518,0.6493348587121419,0.0,0.1367205671564068,0.250420002308894,1.799202656300525,0.012837224705172217,0.0,0.0,0.029383777685209667,0.0,0.0,0.029383777685209667,0.01703333929878037,1.3471347829100198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12385164096708583,0.0,0.0,0.13987908640123647,0.0,0.03342375548694973,0.08990511143939793,0.0,0.021189299069938092,0.029383777685209667,0.13033376849500614,0.02530586526477026,0.0,0.0,0.0
02H025,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,0.0,1.3062105081677615,0.008600171761917567,0.004321373782642578,0.0,0.0,0.0,1.3982873053574012,0.08278537031645007,0.0,0.5118833609788744,0.0,0.0,0.14921911265537988,0.021189299069938092,0.0,0.0,0.0,0.0,0.10380372095595687,0.0,0.0,0.0,0.0,0.9449759084120478,1.236789099409293,0.0,0.0,0.004321373782642578,0.0,0.0,1.5043349118024643,0.0,0.0,0.0,0.3010299956639812,0.0,0.13987908640123647,0.0,0.04139268515822507,0.012837224705172217,0.6404814369704218,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.3820170425748684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920095926536702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367205671564068,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.6493348587121419,0.49554433754644844,0.5263392773898441,0.0,0.1931245983544616,0.10037054511756291,0.01703333929878037,0.0,0.0,0.35024801833416286,0.01703333929878037,0.7307822756663892,0.056904851336472634,0.0,0.029383777685209667,0.0,0.32428245529769273,0.004321373782642578,0.0,0.021189299069938092,0.48000694295715063,0.0,0.0,0.0,0.021189299069938092,0.2966651902615311,0.0,1.0199466816788423,0.0,0.0,0.250420002308894,0.0,0.0,0.0,1.4222614508136027,0.9881128402683519,0.0,0.0,1.7704101315139062,0.5428254269591799,0.0,0.359835482339888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36921585741014284,0.0,0.0,0.05307844348341968,0.0,0.0,0.0,0.0,0.8876173003357362,0.0,0.0,0.06069784035361165,0.0,0.01703333929878037,0.0,0.0,0.0,1.2253092817258628,0.2944662261615929,0.0,1.2571984261393445,0.0,0.0,0.0,0.14921911265537988,0.04532297878665747,0.0,0.0,0.0,0.0,0.7201593034059569,0.10380372095595687,0.2148438480476979,0.7193312869837267,0.0,0.1553360374650618,0.31386722036915343,1.734399742520567,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.008600171761917567,0.5763413502057928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.2741578492636798,0.0,0.012837224705172217,0.31806333496276157,0.0,0.008600171761917567,0.04532297878665747,0.11727129565576427,0.0,0.0,0.0,0.0
02H026,0.0,0.10380372095595687,0.0,0.0,0.03342375548694973,0.0,0.0,0.0,0.7965743332104297,0.008600171761917567,0.004321373782642578,0.012837224705172217,0.0,0.0,1.3898745583909855,0.0,0.0,0.20682587603184968,0.0,0.0,0.0,0.01703333929878037,0.008600171761917567,0.0,0.0,0.0,0.11058971029924897,0.0,0.0,0.0,0.0,0.7626785637274363,0.7708520116421442,0.0,0.012837224705172217,0.0,0.0,0.0,1.417969642214737,0.0,0.0,0.0,0.10720996964786837,0.0,0.49692964807321494,0.0,0.012837224705172217,0.03742649794062367,0.6570558528571039,0.0,0.03342375548694973,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.008600171761917567,0.008600171761917567,0.0,0.0,0.06069784035361165,0.0,0.0,0.0,0.0,0.0,0.8088858673598122,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.13353890837021748,0.6693168805661122,0.1903316981702915,0.0,0.13033376849500614,0.2528530309798932,0.008600171761917567,0.0,0.0,0.23804610312879543,0.0,1.074450718954591,0.04139268515822507,0.0,0.03742649794062367,0.0,0.021189299069938092,0.0,0.0,0.04139268515822507,0.02530586526477026,0.0,0.0,0.0,0.008600171761917567,0.17026171539495738,0.0,0.9754318085092629,0.0,0.0,0.09342168516223506,0.0,0.0,0.0,1.2853322276438846,0.6821450763738318,0.0,0.0,0.2576785748691845,0.20411998265592482,0.0,0.26481782300953643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5932860670204572,0.0,0.0,0.13353890837021748,0.0,0.0,0.0,0.0,0.5751878449276611,0.0,0.0,0.02530586526477026,0.0,0.004321373782642578,0.0,0.0,0.0,0.967547976218862,0.07554696139253074,0.0,1.256958152560932,0.0,0.0,0.0,0.0,0.07918124604762482,0.0,0.0,0.0,0.0,0.5289167002776547,0.021189299069938092,0.04921802267018165,0.5809249756756193,0.0,0.11058971029924897,0.22788670461367355,1.6941662959331982,0.01703333929878037,0.0,0.0,0.02530586526477026,0.0,0.0,0.03742649794062367,0.012837224705172217,0.414973347970818,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.05307844348341968,0.008600171761917567,0.0,0.1931245983544616,0.0,0.03342375548694973,0.25527250510330607,0.0,0.008600171761917567,0.021189299069938092,0.0,0.0,0.0,0.0,0.0
02H033,0.0,0.21218760440395779,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.6551384348113821,0.0,0.01703333929878037,0.0,0.0,0.0,1.6832272060414348,0.08278537031645007,0.0,0.292256071356476,0.0,0.0,0.0,0.17609125905568124,0.004321373782642578,0.0,0.0,0.0,0.17609125905568124,0.0,0.0,0.0,0.0,0.8228216453031046,0.9498777040368748,0.0,0.012837224705172217,0.012837224705172217,0.0,0.0,1.3773062510681988,0.012837224705172217,0.004321373782642578,0.0,0.10380372095595687,0.0,0.7923916894982539,0.0,0.056904851336472634,0.07554696139253074,0.48144262850230496,0.0,0.12710479836480765,0.0,0.0,0.0,0.0,0.0,0.16731733474817606,0.004321373782642578,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.008600171761917567,0.06069784035361165,0.0,0.07554696139253074,0.0,0.004321373782642578,0.056904851336472634,0.0,0.0,0.0,0.8819549713396004,0.0,0.0,0.08278537031645007,0.0,0.0,0.0,0.19865708695442263,0.37839790094813763,0.290034611362518,0.0,0.07918124604762482,0.5065050324048721,0.004321373782642578,0.0,0.0,0.34830486304816066,0.05307844348341968,1.0888445627270043,0.04139268515822507,0.0,0.11394335230683678,0.0,0.13033376849500614,0.004321373782642578,0.0,0.04532297878665747,0.3873898263387294,0.0,0.004321373782642578,0.0,0.0,0.24551266781414982,0.02530586526477026,1.061829307294699,0.0,0.012837224705172217,0.10720996964786837,0.0,0.0,0.0,1.476976465759527,1.0318122713303703,0.0,0.0,0.07918124604762482,0.32633586092875144,0.0,0.24054924828259971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5211380837040362,0.0,0.0,0.22010808804005513,0.0,0.0,0.0,0.0,0.8543060418010806,0.0,0.0,0.08278537031645007,0.0,0.02530586526477026,0.0,0.0,0.0,1.0203612826477078,0.10037054511756291,0.0,1.6794278966121188,0.0,0.0,0.0,0.04532297878665747,0.021189299069938092,0.0,0.0,0.0,0.0,0.4471580313422192,0.012837224705172217,0.34635297445063856,0.3096301674258988,0.0,0.021189299069938092,0.47275644931721233,1.641176546613114,0.012837224705172217,0.0,0.0,0.03342375548694973,0.0,0.0,0.1553360374650618,0.012837224705172217,0.9508514588885464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.008600171761917567,0.0,0.13987908640123647,0.0,0.021189299069938092,0.22788670461367355,0.0,0.012837224705172217,0.04532297878665747,0.1205739312058499,0.0,0.0,0.0,0.0
02H043,0.0,0.1931245983544616,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,1.281260687055013,0.01703333929878037,0.03342375548694973,0.008600171761917567,0.0,0.04139268515822507,1.4434194617828173,0.012837224705172217,0.0,0.3096301674258988,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.9410142437055697,1.220631019448092,0.0,0.012837224705172217,0.008600171761917567,0.0,0.0,1.5490032620257879,0.0,0.008600171761917567,0.0,0.19865708695442263,0.0,0.03342375548694973,0.0,0.0,0.008600171761917567,0.6608654780038692,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,0.0,0.26245108973042947,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.04921802267018165,1.4273237863572472,0.0,0.0,0.13033376849500614,0.0,0.0,0.0,0.0,0.0,0.24303804868629442,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.37474834601010387,0.49692964807321494,0.5198279937757188,0.0,0.06069784035361165,0.290034611362518,0.012837224705172217,0.0,0.008600171761917567,0.44404479591807633,0.05307844348341968,0.5854607295085006,0.01703333929878037,0.0,0.02530586526477026,0.0,0.012837224705172217,0.0,0.0,0.03742649794062367,0.4517864355242902,0.0,0.0,0.0,0.0,0.07188200730612536,0.0,1.2076343673889616,0.0,0.04921802267018165,0.13353890837021748,0.0,0.0,0.0,1.1749315935284426,0.7363965022766424,0.0,0.0,1.7627535649333739,0.6757783416740851,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48144262850230496,0.0,0.0,0.06069784035361165,0.0,0.004321373782642578,0.0,0.0,0.8260748027008264,0.0,0.0,0.12385164096708583,0.0,0.0,0.0,0.0,0.0,1.2052043639481447,0.15836249209524964,0.0,1.2242740142942576,0.0,0.0,0.0,0.04532297878665747,0.04532297878665747,0.012837224705172217,0.0,0.0,0.0,0.41161970596323016,0.07188200730612536,0.1846914308175988,0.9201233262907239,0.0,0.02530586526477026,0.2695129442179163,1.8439798444781599,0.008600171761917567,0.0,0.0,0.021189299069938092,0.0,0.0,0.008600171761917567,0.012837224705172217,0.5198279937757188,0.008600171761917567,0.0,0.0,0.0,0.008600171761917567,0.004321373782642578,0.0,0.04921802267018165,0.0,0.0,0.1553360374650618,0.0,0.03742649794062367,0.07918124604762482,0.0,0.012837224705172217,0.08990511143939793,0.0,0.0,0.0,0.0,0.0
02H046,0.0,0.4409090820652177,0.0,0.0,0.06818586174616162,0.0,0.0,0.004321373782642578,1.4862887609605664,0.04532297878665747,0.0,0.008600171761917567,0.0,0.0,1.4379090355394983,0.09342168516223506,0.0,0.36361197989214433,0.021189299069938092,0.0,0.0,0.008600171761917567,0.008600171761917567,0.0,0.0,0.0,0.1846914308175988,0.0,0.0,0.0,0.0,1.2100508498751372,1.3240765797394864,0.0,0.0,0.04139268515822507,0.0,0.0,1.5667909123815917,0.03742649794062367,0.004321373782642578,0.004321373782642578,0.2576785748691845,0.0,0.01703333929878037,0.0,0.021189299069938092,0.029383777685209667,0.7283537820212285,0.06818586174616162,0.1205739312058499,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.2659963704950792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536982117761743,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.18184358794477254,0.5211380837040362,0.5599066250361124,0.0,0.13987908640123647,0.6344772701607316,0.012837224705172217,0.0,0.0,0.18184358794477254,0.06818586174616162,0.8020892578817327,0.08635983067474821,0.0,0.04921802267018165,0.0,0.11727129565576427,0.0,0.0,0.07554696139253074,0.02530586526477026,0.0,0.0,0.0,0.012837224705172217,0.3096301674258988,0.0,1.3911116137028026,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,1.658488381309017,1.0472748673841794,0.0,0.0,2.1172049860927826,0.5809249756756193,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854607295085006,0.0,0.0,0.2671717284030138,0.0,0.0,0.0,0.0,0.9222062774390164,0.0,0.0,0.12385164096708583,0.0,0.03342375548694973,0.0,0.0,0.0,1.3113299523037931,0.08278537031645007,0.0,1.660391098402467,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,1.0224283711854865,0.28330122870354957,0.23552844690754893,0.795184589682424,0.0,0.31386722036915343,0.39619934709573634,1.9524049395770244,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.04532297878665747,0.012837224705172217,1.2232362731029975,0.0,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.10380372095595687,0.0,0.0,0.3096301674258988,0.0,0.04921802267018165,0.37657695705651195,0.0,0.021189299069938092,0.08990511143939793,0.21218760440395779,0.0,0.0,0.0,0.0
