,LINC00237,AC010260.1,THOC7_AS1,KLF9,AC122707.1,AC008395.1,AC098820.2,AC007229.1,AL049870.4,AC110998.1,ZNF337_AS1,MFSD4B,GCLM,Z95114.4,GSG1,PRR13P5,ANKRD20A21P,AL358394.3,FCHO2,AF254982.1,AL078596.1,AL732372.2,AC139453.2,BX927359.1,SPRR4,AC073349.2,FOXRED1,ABCC11,AL135929.1,PSMD6,DSG1,LGALS1,HK2,AC113383.1,AC099331.1,CENPA,AC017048.3,AC008622.2,AC092809.2,TMCO1,AC107983.1,PGAM1P13,GPD2,TRHDE_AS1,CTDNEP1,CENPB,TCEA2,RPSAP55,RIMBP3C,AL136162.1
01H001,0.0,0.012837224705172217,1.627775375229303,0.0,0.0,0.10037054511756291,1.2314695904306814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818586174616162,0.07554696139253074,0.0,0.9903388547876014,1.6006462356623945,0.02530586526477026,0.021189299069938092,0.0,0.029383777685209667,0.0,0.0,1.3506356082589543,1.3484995702838378,1.7048366062114038,0.09342168516223506,1.3298045221640695,0.11394335230683678,0.0,2.517855418930029,0.0,0.021189299069938092,0.012837224705172217,0.0,0.0,0.012837224705172217,0.7067177823367587,0.0,1.4337698339248657,1.4530123911214552,0.03742649794062367,0.08990511143939793,2.019199401055288,0.10720996964786837,0.7497363155690611,0.2671717284030138,0.0
01H002,0.0,0.0,1.4321672694425882,0.0,0.0,0.05307844348341968,0.8656960599160706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.008600171761917567,0.0,1.2571984261393445,0.3010299956639812,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.9986951583116558,1.0842186867392387,1.118595365223762,0.47275644931721233,0.5854607295085006,0.37657695705651195,0.004321373782642578,2.4830735416070455,0.0,0.0,0.0,0.0,0.0,0.0,0.4065401804339551,0.0,0.9907826918031378,1.0863598306747482,0.008600171761917567,0.5921767573958667,1.643353961976863,0.0,0.5078558716958309,0.07188200730612536,0.0
02H003,0.0,0.0,1.3506356082589543,0.03742649794062367,0.0,0.03342375548694973,0.9795483747040951,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.07188200730612536,0.03342375548694973,0.0,1.236537261488694,0.45024910831936116,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.9063350418050906,1.269746373130767,0.20951501454263097,1.1335389083702174,0.20411998265592482,0.0,2.558408539791075,0.0,0.01703333929878037,0.0,0.0,0.0,0.34635297445063856,0.6866362692622934,0.0,1.1684974835230326,1.1550322287909702,0.0,0.004321373782642578,2.0316104147234815,0.09342168516223506,1.330007700872759,0.36172783601759284,0.0
02H009,0.0,0.0,1.2860071220794747,0.03742649794062367,0.0,0.06445798922691845,0.9159272116971158,0.021189299069938092,0.04532297878665747,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.008600171761917567,0.0,1.4326486600131068,0.290034611362518,0.0,0.008600171761917567,0.0,0.0,0.012837224705172217,0.0,1.2022157758011316,1.2216749970707688,1.6053050461411094,1.0098756337121602,1.055378331375,0.01703333929878037,0.008600171761917567,2.54775009877109,0.0,0.012837224705172217,0.012837224705172217,0.0,0.0,0.1903316981702915,0.6730209071288962,0.0,1.4709981696608736,1.3271545124094315,0.0,0.2148438480476979,1.8984509191983747,0.056904851336472634,1.224014811372864,0.13987908640123647,0.0
02H017,0.0,0.0,1.6186755388851397,0.0,0.0,0.021189299069938092,1.115943176939055,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.004321373782642578,0.0,1.3330440298234874,0.42975228000240795,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.9867717342662448,1.3378584290410944,1.2935835134961169,0.12710479836480765,0.8639173769578605,0.617000341120899,0.0,2.59955559098598,0.0,0.01703333929878037,0.01703333929878037,0.0,0.0,0.7185016888672743,0.5646660642520893,0.0,1.401228167498113,1.2951270852521912,0.008600171761917567,0.7481880270062005,2.279894980011638,0.02530586526477026,1.5686709780098966,0.05307844348341968,0.0
02H025,0.0,0.0,1.444513206334043,0.012837224705172217,0.0,0.01703333929878037,0.8543060418010806,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.0,0.056904851336472634,0.021189299069938092,0.0,1.153814864344529,0.7466341989375788,0.0,0.0,0.0,0.0,0.0,0.0,1.0874264570362855,1.1911714557285586,1.5536403362313542,0.5403294747908738,1.0666985504229953,0.012837224705172217,0.0,2.5193947953810176,0.0,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,0.6812412373755872,0.0,1.2622137054764169,1.2105860249051565,0.0,0.11058971029924897,1.9652487509671208,0.04139268515822507,1.4940153747571436,0.16136800223497488,0.0
02H026,0.0,0.0,1.3098430047160705,0.0,0.0,0.146128035678238,1.0648322197385738,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.029383777685209667,0.008600171761917567,0.0,1.325720858019412,0.3344537511509309,0.0,0.0,0.0,0.0,0.0,0.0,0.9395192526186185,1.316599302093861,1.3113299523037931,0.146128035678238,0.6998377258672457,0.9951962915971794,0.0,2.4602963267574753,0.0,0.0,0.0,0.0,0.0,0.07918124604762482,0.41830129131974547,0.008600171761917567,1.4039779636693548,1.335858911319818,0.03742649794062367,0.11058971029924897,1.7812525942484565,0.0,0.9057958803678685,0.01703333929878037,0.0
02H033,0.0,0.0,1.636888906983799,0.012837224705172217,0.0,0.16731733474817606,1.2477278329097232,0.021189299069938092,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.7944880466591696,0.012837224705172217,0.0,1.3632358044836939,0.8836614351536176,0.0,0.008600171761917567,0.0,0.0,0.004321373782642578,0.0,1.1338581252033346,1.4614985267830187,1.4313637641589874,0.3443922736851107,0.8095597146352678,1.0013009330204181,0.0,2.5143484893019368,0.0,0.0,0.012837224705172217,0.0,0.0,0.02530586526477026,0.416640507338281,0.0,1.503790683057181,1.4742162640762553,0.03342375548694973,0.19865708695442263,1.9913146981766108,0.0,1.1458177144918276,0.12710479836480765,0.0
02H043,0.0,0.0,1.184975190698261,0.0,0.0,0.07918124604762482,0.7543483357110189,0.008600171761917567,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.004321373782642578,0.0,1.3988077302032647,0.43136376415898736,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.9818186071706636,1.24551266781415,1.5644293269979834,1.039017321997412,0.9360107957152095,0.012837224705172217,0.0,2.493667131228017,0.0,0.012837224705172217,0.0,0.0,0.0,0.03742649794062367,0.6095944092252201,0.0,1.500099191915723,1.1758016328482794,0.0,0.029383777685209667,1.7405205860536648,0.008600171761917567,1.2224563366792467,0.17026171539495738,0.0
02H046,0.0,0.0,1.6369891018122291,0.0,0.0,0.1367205671564068,1.165541076722373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08635983067474821,0.008600171761917567,0.0,1.321184027302314,0.9334872878487055,0.03342375548694973,0.18184358794477254,0.0,0.0,0.0,0.0,1.3854275148051305,1.380211241711606,1.4782778319196046,0.11727129565576427,1.3645509953539718,0.7972675408307164,0.0,2.5523639817866846,0.0,0.0,0.0,0.0,0.0,0.0,0.7395723444500919,0.0,1.4821586954112764,1.4350476413399647,0.012837224705172217,0.2304489213782739,2.0738282844011087,0.11394335230683678,0.9375178920173467,0.30319605742048883,0.0
