,ZNF699,AC104574.1,SRRM4,AC008278.2,SOCS2P2,AC138894.4,SNORA74B,CEP295,AL590286.2,KRT18P47,ECH1,RN7SKP20,MTCO3P30,NBEAP5,AC091057.5,AC116553.1,KRT18P25,AARSP1,LINC02192,DNAJC19P7,AC068790.7,AL132639.3,LINC02669,AC010401.1,HPR,ZNF674_AS1,MRPL1,RN7SL582P,AC104521.1,FAM222B,AC135279.2,AC078788.2,RNA5S5,WDR44,AL691477.1,ELOBP1,CRCT1,AL135926.1,KIF15,EMCN,AL031575.1,AC022486.1,NHLRC3,KRT71,BHLHB9P1,MRPS17P3,WT1,SERPINE3,POLR2J,KCTD9P4
01H001,0.0,0.6464037262230695,0.04139268515822507,0.03342375548694973,0.7686381012476144,1.221153321954705,1.375297738217339,0.004321373782642578,0.0,1.5390760987927767,0.0,0.5403294747908738,0.7395723444500919,1.7301360039966778,0.4517864355242902,0.09342168516223506,0.09691001300805642,1.7785853278629622,0.0,0.6374897295125107,0.0,0.021189299069938092,0.0,0.0,0.0,1.6334684555795866,0.02530586526477026,0.08635983067474821,1.0685568950723632,0.012837224705172217,1.409087369447835,0.0,0.0,0.0,0.01703333929878037,0.41161970596323016,0.06818586174616162,0.0,0.012837224705172217,0.012837224705172217,0.24551266781414982,0.03742649794062367,0.10037054511756291,1.86993541064686,0.08635983067474821,0.03742649794062367,0.08990511143939793,0.04139268515822507,1.7518946880437474,0.012837224705172217
01H002,0.0,0.2148438480476979,0.008600171761917567,0.04532297878665747,0.4742162640762552,0.5693739096150459,0.7867514221455612,0.0,0.012837224705172217,1.4366396316926606,0.0,0.8567288903828826,0.5440680443502757,1.3647385550553985,0.37106786227173627,0.4014005407815441,1.647676313240871,1.78738962135211,0.0,0.290034611362518,0.04139268515822507,0.004321373782642578,0.0,0.0,0.0,1.3671694885346808,0.01703333929878037,0.012837224705172217,0.5693739096150459,0.0,1.0297894708318558,0.0,0.0,0.0,0.0,0.04921802267018165,0.021189299069938092,0.0,0.0,0.021189299069938092,0.06069784035361165,0.04139268515822507,0.06818586174616162,1.0685568950723632,0.359835482339888,0.0,0.008600171761917567,0.03342375548694973,1.4339297656084642,0.021189299069938092
02H003,0.0,0.6711728427150833,0.0,0.0,0.7656685547590141,0.741151598851785,0.9585638832219674,0.004321373782642578,0.0,1.0817072700973491,0.0,0.9947569445876281,0.8744818176994664,1.8232133132826676,0.42975228000240795,0.7058637122839193,0.146128035678238,1.5157414166693652,0.0,0.07188200730612536,0.0,0.004321373782642578,0.0,0.0,0.0,1.4622482153549974,0.02530586526477026,0.05307844348341968,0.8457180179666586,0.0,1.0874264570362855,0.0,0.0,0.0,0.0,0.03742649794062367,0.08990511143939793,0.0,0.01703333929878037,0.03342375548694973,0.10720996964786837,0.0,0.04921802267018165,1.3864989655506532,0.912753303671323,0.0,0.06818586174616162,0.0,1.1525940779274697,1.011570443597278
02H009,0.0,0.9434945159061027,0.04921802267018165,0.11394335230683678,0.37839790094813763,0.9537596917332287,0.9429995933660404,0.004321373782642578,0.0,1.2823955047425255,0.0,1.0314084642516241,0.8555191556678001,1.4820155764507117,0.6839471307515121,0.3010299956639812,0.37657695705651195,1.7284349509742547,0.0,0.271841606536499,0.0,0.0,0.0,0.0,0.0,1.371990911464915,0.14921911265537988,0.0,0.7972675408307164,0.0,1.1264561134318043,0.0,0.0,0.021189299069938092,0.008600171761917567,0.31175386105575426,0.012837224705172217,0.01703333929878037,0.021189299069938092,0.5622928644564746,0.18184358794477254,0.03342375548694973,0.008600171761917567,1.187520720836463,0.1430148002540951,0.0,0.04139268515822507,0.008600171761917567,1.388278863459639,0.004321373782642578
02H017,0.0,0.11058971029924897,0.04139268515822507,0.03342375548694973,0.3926969532596657,0.7403626894942439,0.948412965778601,0.012837224705172217,0.0,1.0748164406451748,0.0,1.044539760392411,0.7745169657285496,1.7039788250083858,0.17609125905568124,0.9749719942980689,0.7528164311882715,1.6906390117159673,0.0,0.17318626841227402,0.0,0.0,0.0,0.0,0.0,1.5110808455391185,0.17609125905568124,0.0,0.24303804868629442,0.0,1.417471693203293,0.0,0.0,0.0,0.0,0.06069784035361165,0.029383777685209667,0.021189299069938092,0.06069784035361165,0.10380372095595687,0.1553360374650618,0.0,0.06069784035361165,1.1886472959997172,0.5550944485783191,0.021189299069938092,0.029383777685209667,0.0,1.315550534421905,0.02530586526477026
02H025,0.0,0.6739419986340879,0.03742649794062367,0.08278537031645007,0.5646660642520893,0.7092699609758307,0.7708520116421442,0.004321373782642578,0.0,0.7474118078864233,0.0,0.9201233262907239,0.8363241157067517,1.6321534835106326,0.5263392773898441,0.2695129442179163,0.6493348587121419,1.8657552240714517,0.0,1.1439511164239635,0.01703333929878037,0.004321373782642578,0.0,0.0,0.004321373782642578,1.2727695865517594,0.004321373782642578,0.0,0.72916478969277,0.0,1.0813473078041325,0.0,0.0,0.0,0.0,0.004321373782642578,0.13987908640123647,0.0,0.012837224705172217,0.3222192947339193,0.1931245983544616,0.01703333929878037,0.04532297878665747,1.2216749970707688,0.146128035678238,0.0,0.04921802267018165,0.012837224705172217,1.403635189790548,0.004321373782642578
02H026,0.0,0.10720996964786837,0.012837224705172217,0.0,0.24054924828259971,0.7339992865383869,0.787460474518415,0.008600171761917567,0.0,1.3068537486930087,0.0,0.8363241157067517,0.631443769013172,1.2801228963023075,0.9726655922661109,0.1430148002540951,1.8040712488856612,1.9327780700605506,0.0,0.5740312677277188,0.0,0.004321373782642578,0.0,0.0,0.0,1.2846562827885157,0.11058971029924897,0.0,0.8122446968003693,0.0,1.0835026198302673,0.0,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.06818586174616162,0.07188200730612536,0.0,0.09691001300805642,1.2810333672477277,0.07188200730612536,0.0,0.004321373782642578,0.021189299069938092,1.319522449065454,0.008600171761917567
02H033,0.0,0.2528530309798932,0.012837224705172217,0.0,0.43136376415898736,1.0648322197385738,1.0484418035504044,0.01703333929878037,0.0,1.3215984304653439,0.0,0.6776069527204931,0.6148972160331346,1.4336098433237183,0.7767011839884108,0.44560420327359757,1.476541809027429,1.882865919721629,0.0,0.13353890837021748,0.0,0.17318626841227402,0.0,0.0,0.0,1.5300715688373783,0.08635983067474821,0.0,1.0591846176313713,0.0,1.3047058982127655,0.008600171761917567,0.0,0.021189299069938092,0.0,0.3443922736851107,0.0,0.0,0.004321373782642578,0.004321373782642578,0.13353890837021748,0.0,0.08278537031645007,1.2116544005531824,0.09342168516223506,0.04532297878665747,0.008600171761917567,0.0,1.3624824747511743,0.012837224705172217
02H043,0.0,0.8785217955012066,0.0,0.11394335230683678,0.28103336724772754,0.8438554226231612,0.8762178405916422,0.0,0.0,0.960470777534299,0.0,1.0507663112330423,0.7979596437371961,1.4186326873540653,0.42813479402878873,0.28330122870354957,0.5037906830571811,1.7149999674120424,0.0,0.28555730900777376,0.0,0.01703333929878037,0.0,0.0,0.0,1.3677285460869766,0.008600171761917567,0.0,0.6354837468149122,0.0,0.9469432706978254,0.008600171761917567,0.0,0.021189299069938092,0.0,0.029383777685209667,0.03742649794062367,0.0,0.0,0.5728716022004803,0.250420002308894,0.0,0.004321373782642578,0.9684829485539351,0.11394335230683678,0.04921802267018165,0.008600171761917567,0.0,1.3898745583909855,0.029383777685209667
02H046,0.0,0.44560420327359757,0.0,0.04139268515822507,0.7092699609758307,0.9464522650130731,1.1863912156954932,0.0,0.0,1.5768018958289125,0.0,0.9894498176666918,0.7435097647284298,1.6981875698661224,0.21748394421390624,0.41161970596323016,0.18184358794477254,2.0142264293892294,0.008600171761917567,0.5390760987927766,0.02530586526477026,0.004321373782642578,0.0,0.0,0.0,1.5304558435846762,0.012837224705172217,0.021189299069938092,0.2741578492636798,0.0,1.615423952885944,0.0,0.0,0.0,0.0,0.04532297878665747,0.07918124604762482,0.0,0.012837224705172217,0.07554696139253074,0.08990511143939793,0.0,0.17318626841227402,1.1442627737619906,0.25527250510330607,0.0,0.021189299069938092,0.0,1.5198279937757189,0.10380372095595687
