,AL158141.1,AC109486.3,CAP2P1,TMEM179,ZMIZ2,AP001187.1,NFIA_AS2,AC069214.1,EIF6,AC015802.3,PGF,FOXK1,AC091982.1,HTATIP2,RORA_AS2,Y_RNA,AC097359.2,SNRPCP4,ATG4B,RRM2,LINC02332,HIST1H2BPS2,CDK2AP2P2,AP006248.5,SCARF1,VCPKMT,AP000867.1,AC009118.2,AC026898.1,PRPF38B,HOXB_AS1,PIWIL4,RNA5SP454,COX7BP2,DPPA4,AP003080.1,PRAMEF27,C3orf79,CCNDBP1,RNA5SP268,ARRDC1_AS1,AL096701.1,AC092306.1,CIR1P3,WASH9P,PSEN2,AC004623.1,AL031728.1,AC135782.3,BX649632.1
01H001,1.274619619091238,0.03342375548694973,0.0,0.029383777685209667,0.0,0.0,0.06445798922691845,0.03342375548694973,0.008600171761917567,0.008600171761917567,0.03342375548694973,0.0,0.7092699609758307,1.0386201619497029,0.0,0.0,0.0,2.323025093618445,0.008600171761917567,1.6166855208955122,0.9872192299080049,1.6016254795539446,0.021189299069938092,0.0,0.3820170425748684,0.02530586526477026,0.06818586174616162,0.04532297878665747,0.03742649794062367,0.16136800223497488,0.004321373782642578,0.6190933306267428,0.2576785748691845,1.5776066773625357,0.008600171761917567,0.0,1.160168292958512,0.850033257689769,2.461318408795269,1.825101411598003,0.04139268515822507,0.0,0.03742649794062367,0.04139268515822507,0.0,0.7092699609758307,0.0,0.0,0.5634810853944107,0.0
01H002,1.6953065224318027,0.012837224705172217,0.0,0.0,0.0,0.0,0.01703333929878037,0.04532297878665747,0.0,0.004321373782642578,0.0,0.0,0.7267272090265723,0.6483600109809317,0.0,0.0,0.0,2.3130019865370572,0.0,1.341038631677523,0.6434526764861874,1.0565237240791003,0.004321373782642578,0.0,0.8825245379548805,0.01703333929878037,0.0,0.3364597338485295,0.6464037262230695,0.16731733474817606,0.0,0.4927603890268375,0.04532297878665747,1.4261858252445114,0.0,0.0,0.8375884382355113,0.2764618041732442,2.091491094267951,1.5652573434202137,0.004321373782642578,0.01703333929878037,0.012837224705172217,0.0,0.0,1.2193225084193366,0.0,0.0,0.08635983067474821,0.0
02H003,0.8830933585756899,0.03342375548694973,0.0,0.0,0.0,0.11394335230683678,0.0,0.0,0.0,0.0,0.029383777685209667,0.004321373782642578,0.5831987739686227,0.9735896234272569,0.0,0.0,0.0,2.372212151654062,0.0,1.520352504083318,0.9400181550076633,1.2382970678753937,0.0,0.004321373782642578,0.515873843711679,0.06818586174616162,0.0,0.08990511143939793,0.01703333929878037,0.11727129565576427,0.0,0.7084209001347128,0.0,1.7459331584594429,0.0,0.0,0.7427251313046983,0.3443922736851107,2.3228186210073947,1.6196150057428065,0.08635983067474821,0.0,0.021189299069938092,0.012837224705172217,0.0,1.2195845262142546,0.0,0.004321373782642578,0.35602585719312274,0.0
02H009,1.5055569386638217,0.012837224705172217,0.0,0.0,0.0,0.0,0.01703333929878037,0.11394335230683678,0.0,0.029383777685209667,0.029383777685209667,0.0,0.6998377258672457,0.9689496809813426,0.0,0.0,0.0,2.6207188889134803,0.004321373782642578,1.2789821168654432,1.1541195255158467,1.3142886609474977,0.0,0.004321373782642578,0.930949031167523,0.004321373782642578,0.06445798922691845,0.1846914308175988,0.921686475483602,0.14921911265537988,0.0,0.5728716022004803,0.0,1.6450290647211425,0.0,0.0,1.0273496077747566,0.8802417758954804,2.170085614365889,1.8997110945711446,0.16731733474817606,0.0,0.01703333929878037,0.0,0.0,1.2380461031287955,0.0,0.0,0.1931245983544616,0.0
02H017,0.9951962915971794,0.021189299069938092,0.0,0.0,0.004321373782642578,0.0,0.09342168516223506,0.03342375548694973,0.0,0.04532297878665747,0.03342375548694973,0.0,1.0453229787866574,0.8785217955012066,0.0,0.004321373782642578,0.0,2.445417369765918,0.004321373782642578,1.6781540380104372,0.6211762817750351,1.3138672203691535,0.0,0.012837224705172217,0.7209857441537391,0.0,0.07188200730612536,0.04532297878665747,0.25527250510330607,0.06818586174616162,0.0,0.5943925503754267,0.0,2.1096797692523346,0.004321373782642578,0.0,1.0625819842281632,0.9299295600845878,1.9759829437125465,1.6615287401319825,0.07918124604762482,0.0,0.01703333929878037,0.0,0.0,1.04883008652835,0.0,0.0,0.15228834438305647,0.0
02H025,1.5338991007965945,0.02530586526477026,0.0,0.0,0.0,0.0,0.01703333929878037,0.08278537031645007,0.0,0.0,0.012837224705172217,0.0,0.6954816764901974,0.9283958522567138,0.0,0.0,0.0,2.4821157646751026,0.004321373782642578,1.3974185423513477,1.0417873189717517,1.2629254693318315,0.004321373782642578,0.0,0.7737864449811935,0.008600171761917567,0.0,0.05307844348341968,1.1920095926536702,0.1430148002540951,0.008600171761917567,0.6757783416740851,0.0,1.6110857334148727,0.0,0.0,0.9982593384236987,0.36548798489089973,2.047508505594012,1.8216445175422171,0.10037054511756291,0.004321373782642578,0.008600171761917567,0.012837224705172217,0.0,1.2550311633455513,0.0,0.0,0.4329692908744057,0.0
02H026,0.8970770032094203,0.012837224705172217,0.0,0.0,0.0,0.0,0.06069784035361165,0.0,0.0,0.004321373782642578,0.0,0.0,1.0362295440862945,0.8122446968003693,0.0,0.0,0.0,2.551888950263276,0.004321373782642578,1.1922886125681202,0.25527250510330607,1.1149444157125847,0.0,0.0,0.8965262174895553,0.0,0.03742649794062367,0.22010808804005513,0.7824726241662862,0.20682587603184968,0.004321373782642578,0.6117233080073418,0.0,1.4820155764507117,0.0,0.0,1.1532049000842843,0.367355921026019,2.055722266483576,1.8619523749214517,0.08635983067474821,0.012837224705172217,0.008600171761917567,0.0,0.0,1.105510184769974,0.0,0.004321373782642578,0.10380372095595687,0.0
02H033,1.030599721965951,0.029383777685209667,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.012837224705172217,0.03342375548694973,0.012837224705172217,0.0,1.0342272607705507,0.8790958795000727,0.0,0.0,0.0,2.5373026700712824,0.004321373782642578,1.3942765267678214,1.0068937079479006,1.1367205671564067,0.004321373782642578,0.004321373782642578,1.2622137054764169,0.0,0.021189299069938092,0.3926969532596657,0.38021124171160603,0.19865708695442263,0.008600171761917567,0.8048206787211624,0.14921911265537988,1.3963737275365065,0.0,0.0,1.0314084642516241,0.3443922736851107,2.034427905025403,1.9063889211528309,0.09691001300805642,0.004321373782642578,0.029383777685209667,0.0,0.0,1.0330214446829107,0.0,0.0,0.3443922736851107,0.0
02H043,1.1838390370564211,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.11394335230683678,0.0,0.004321373782642578,0.0,0.0,0.6180480967120927,1.0145205387579237,0.0,0.0,0.0,2.2924997396855806,0.004321373782642578,1.2600713879850747,0.8573324964312685,1.2065560440990295,0.0,0.0,0.7015679850559274,0.0,0.0,0.07188200730612536,1.523486332343228,0.11394335230683678,0.008600171761917567,0.35793484700045386,0.0,1.4924810101288766,0.0,0.0,1.0603200286882852,0.49692964807321494,1.8633823484407877,1.7824009524965299,0.17609125905568124,0.0,0.01703333929878037,0.0,0.0,1.1806992012960347,0.0,0.0,0.617000341120899,0.0
02H046,1.6739419986340878,0.0,0.0,0.0,0.0,0.0,0.1846914308175988,0.04139268515822507,0.03742649794062367,0.0,0.01703333929878037,0.0,0.6884198220027106,0.8432327780980093,0.0,0.0,0.0,2.4759615891924236,0.004321373782642578,1.8389120274059987,1.2622137054764169,1.3932241163612973,0.0,0.0,1.3157604906657345,0.03742649794062367,0.0,0.06445798922691845,1.7207379770184252,0.49554433754644844,0.0,0.7168377232995244,0.0,1.250175948083925,0.0,0.0,1.180125875164054,0.30319605742048883,2.124406399745029,1.9313052814216731,0.0,0.0,0.008600171761917567,0.0,0.0,1.2805783703680762,0.0,0.03342375548694973,0.37474834601010387,0.0
