,AC131956.2,AL731556.2,PRSS41,AC107081.1,AC012101.2,ZBTB7C,OR4K11P,RN7SL624P,RN7SL581P,PXMP2,LRFN4,FAM168B,LINC01397,ARIH1,RIOK3,FOCAD_AS1,OR2T5,FAM224A,AC064843.1,AC110994.1,AC073284.1,CDC37P1,LAMP2,TEX38,ELAVL4,FCRLB,C4BPB,AL158207.1,AC092636.1,SEC14L5,LINC02668,PIN1,AC002377.1,DDIAS,AL121908.1,RN7SL215P,AC092299.1,HNRNPA3P9,MRPL21,GRM7,AC110620.2,LINC02390,AC066612.1,DUX4L37,CLIP1_AS1,AC124854.1,ANKRD26P3,AC099560.2,AC068418.2,UBE2Q2P6
01H001,0.0,0.0,0.04139268515822507,0.0,2.0037620208282463,1.9181876613589255,0.021189299069938092,0.0,1.7237839369653294,0.1205739312058499,0.0,0.0,0.0,0.029383777685209667,0.0,0.09342168516223506,0.004321373782642578,0.0,1.829946695941636,0.0,0.06818586174616162,0.004321373782642578,0.008600171761917567,1.8669958131106479,0.0,0.004321373782642578,0.0,0.33243845991560533,0.004321373782642578,0.40483371661993806,0.17318626841227402,0.012837224705172217,0.04139268515822507,0.0,0.3384564936046048,0.13353890837021748,0.17026171539495738,0.0,0.11058971029924897,0.2576785748691845,0.0,0.0,1.6088468223264116,0.0,0.0,0.10720996964786837,0.0,0.04532297878665747,0.0,1.1835545336188615
01H002,0.0,0.0,0.004321373782642578,0.0,1.5351674851149442,1.631849462159818,0.0,0.0,1.5836521085420439,0.0,0.0,0.0,0.0,0.0,0.0,0.2148438480476979,0.004321373782642578,0.004321373782642578,1.5482665451707454,0.0,0.021189299069938092,0.0,0.19589965240923368,1.6552345070342942,0.0,0.0,0.0,0.012837224705172217,0.0,0.3096301674258988,0.02530586526477026,0.004321373782642578,0.09691001300805642,0.0,0.06069784035361165,0.10037054511756291,0.04139268515822507,0.0,0.414973347970818,0.17897694729316943,0.0,0.0,1.4601458174917503,0.06818586174616162,0.0,0.01703333929878037,0.34044411484011833,0.0,0.0,0.7678976160180907
02H003,0.0,0.0,0.0,0.0,1.6667986836661741,1.6449307079135873,0.012837224705172217,0.0,1.395326393069351,0.08635983067474821,0.0,0.0,0.0,0.029383777685209667,0.0,0.30749603791321295,0.0,0.004321373782642578,1.7942091163464964,0.0,0.05307844348341968,0.0,0.08278537031645007,2.1555485771535294,0.0,0.0,0.0,0.04921802267018165,0.0,0.20682587603184968,0.08635983067474821,0.03342375548694973,0.012837224705172217,0.0,0.03342375548694973,0.20411998265592482,0.01703333929878037,0.02530586526477026,0.06445798922691845,0.23299611039215382,0.0,0.0,1.7482655726687408,0.056904851336472634,0.0,0.02530586526477026,0.0,0.0,0.0,0.9628426812012424
02H009,0.0,0.0,0.004321373782642578,0.0,1.7397305285647175,1.742882171437273,0.0,0.0,1.8284665473526784,0.0,0.0,0.0,0.0,0.012837224705172217,0.008600171761917567,0.31386722036915343,0.0,0.0,1.683137131483007,0.0,0.02530586526477026,0.0,0.08278537031645007,2.0848978584613556,0.0,0.0,0.0,0.01703333929878037,0.004321373782642578,0.290034611362518,0.13353890837021748,0.01703333929878037,0.14921911265537988,0.0,0.20951501454263097,0.08990511143939793,0.2576785748691845,0.0,0.03342375548694973,0.2576785748691845,0.0,0.04532297878665747,1.6419695977020594,0.11058971029924897,0.0,0.004321373782642578,0.0,0.0,0.0,0.9503648543761231
02H017,0.0,0.0,0.0,0.0,1.5886078047426866,1.664265800147675,0.09691001300805642,0.0,1.7032913781186614,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,0.4265112613645752,0.004321373782642578,0.0,1.7863964613723042,0.0,0.2528530309798932,0.05307844348341968,0.07188200730612536,1.7134065321676908,0.0,0.0,0.0,0.0,0.3996737214810381,0.6748611407378116,0.2764618041732442,0.021189299069938092,0.04139268515822507,0.0,0.1367205671564068,0.08278537031645007,0.26245108973042947,0.0,0.03342375548694973,0.21748394421390624,0.0,0.0,1.7417029839577398,0.2695129442179163,0.0,0.008600171761917567,0.0,0.0,0.0,0.8959747323590646
02H025,0.0,0.0,0.0,0.0,1.5919545550467356,1.7120601424610746,0.0,0.0,1.7412304110254708,0.146128035678238,0.0,0.0,0.0,0.02530586526477026,0.0,0.3521825181113625,0.0,0.0,1.6017341482601049,0.0,0.021189299069938092,0.0,0.17026171539495738,2.168733128934079,0.0,0.0,0.0,0.0,0.0,0.35410843914740087,0.15228834438305647,0.03342375548694973,0.03342375548694973,0.0,0.13987908640123647,0.15836249209524964,0.0,0.0,0.13033376849500614,0.28103336724772754,0.0,0.15836249209524964,1.643551368562945,0.01703333929878037,0.0,0.008600171761917567,0.0,0.0,0.0,0.8182258936139555
02H026,0.0,0.0,0.004321373782642578,0.0,1.5717088318086876,1.7222224639697303,0.0,0.0,1.6335694425540919,0.07554696139253074,0.0,0.0,0.0,0.02530586526477026,0.0,0.16731733474817606,0.0,0.0,1.2159018132040316,0.0,0.012837224705172217,0.0,0.16731733474817606,1.4958217533859057,0.0,0.0,0.0,0.008600171761917567,0.08990511143939793,0.271841606536499,0.05307844348341968,0.0,0.17026171539495738,0.0,0.13987908640123647,0.07918124604762482,0.029383777685209667,0.0,0.06445798922691845,0.271841606536499,0.0,0.0,1.6138418218760693,0.09342168516223506,0.0,0.021189299069938092,0.0,0.0,0.0,0.505149978319906
02H033,0.0,0.0,0.004321373782642578,0.0,1.7194970166105816,1.674585602302914,0.056904851336472634,0.0,1.5542468081661105,0.08278537031645007,0.0,0.0,0.0,0.012837224705172217,0.0,0.1643528557844371,0.004321373782642578,0.0,1.5980240723341896,0.0,0.06445798922691845,0.0,0.18752072083646307,1.5596672783880576,0.0,0.0,0.0,0.0,0.49554433754644844,0.1846914308175988,0.15836249209524964,0.029383777685209667,0.19589965240923368,0.0,0.10037054511756291,0.021189299069938092,0.02530586526477026,0.0,0.45636603312904306,0.3891660843645325,0.008600171761917567,0.0,1.7102020146553847,0.2576785748691845,0.0,0.056904851336472634,0.0,0.06445798922691845,0.0,0.45331834004703764
02H043,0.0,0.0,0.0,0.0,1.6588695922019623,1.6949560022498182,0.0,0.0,1.7985125330313516,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.33041377334919075,0.0,0.0,1.4956830676169153,0.0,0.04532297878665747,0.0,0.04921802267018165,2.0886675525424048,0.0,0.0,0.0,0.008600171761917567,0.0,0.16136800223497488,0.08635983067474821,0.004321373782642578,0.08990511143939793,0.01703333929878037,0.15228834438305647,0.07554696139253074,0.01703333929878037,0.0,0.056904851336472634,0.20139712432045143,0.0,0.04532297878665747,1.6361868951987244,0.0,0.0,0.012837224705172217,0.2741578492636798,0.0,0.0,0.8686444383948257
02H046,0.0,0.0,0.0,0.0,1.8010605298478555,1.7335182514344876,0.0,0.0,1.8010605298478555,0.1903316981702915,0.0,0.0,0.0,0.0,0.0,0.5327543789924978,0.008600171761917567,0.0,2.0341871207934528,0.0,0.0,0.0,0.03742649794062367,2.03734680356809,0.0,0.0,0.0,0.0,0.004321373782642578,0.2764618041732442,0.1931245983544616,0.02530586526477026,0.13033376849500614,0.0,0.15836249209524964,0.17026171539495738,0.04532297878665747,0.0,0.6063813651106049,0.3364597338485295,0.0,0.0,1.7531999141994161,0.01703333929878037,0.0,0.02530586526477026,0.0,0.0,0.0,0.967547976218862
