,RAC1P9,ZNF138,KRT90P,SLC1A1,AL135923.2,BOLA3_AS1,AC011731.1,AC064807.2,FAM160B2,RN7SL395P,NOP9,ANKRD20A18P,TSEN54,CEP170P1,HNRNPA2B1,AC009779.4,ZNF143,AC011239.2,AC113410.5,AC027097.1,AKR7A2P1,SAP18P1,ADCYAP1,RN7SKP57,KCNK12,AC080188.1,COX4I1,LINC01134,NUTM2A,RPLP1P11,JMJD8,DNAJB5,U62317.4,HTR2B,AL022476.1,LY6H,WFDC11,ACTR10,NPL,AL365205.4,BCAR1P2,SPRR5,RIC1,MARCH10_DT,OR2A4,MTCO3P11,AC008742.1,PAX9,SALL2,AC020655.1
01H001,0.0,0.5024271199844327,2.1797528068974983,0.008600171761917567,0.08278537031645007,0.0,0.0,1.0874264570362855,0.5526682161121932,0.0,0.03342375548694973,0.02530586526477026,2.281078840728938,0.0,0.8987251815894934,0.004321373782642578,0.20139712432045143,0.0,0.021189299069938092,0.0,0.12385164096708583,0.0,0.0,1.1373541113707328,0.0,0.04532297878665747,1.5662017188549129,0.0,1.9526471697589431,0.0,0.6683859166900001,0.004321373782642578,1.2803506930460056,0.0,0.9580858485210851,0.7347998295888469,0.0,0.24054924828259971,1.0507663112330423,0.7489628612561614,0.0,2.019365574572488,0.021189299069938092,0.05307844348341968,0.01703333929878037,0.7944880466591696,0.01703333929878037,0.0,1.3778524190067545,2.6403223984327466
01H002,0.0,0.8915374576725645,1.200303182981585,0.0,0.056904851336472634,0.0,0.0,1.166133970305109,0.2787536009528289,0.0,0.03742649794062367,0.004321373782642578,1.7884512070234555,0.0,0.004321373782642578,0.0,0.04532297878665747,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.6541765418779605,0.0,0.13987908640123647,1.1696744340588068,0.0,1.6981875698661224,0.0,0.4517864355242902,0.01703333929878037,1.2084413564385674,0.0,0.48144262850230496,0.6989700043360189,0.0,0.04139268515822507,0.8668778143374989,0.23804610312879543,0.0,1.9585161034230412,0.1643528557844371,0.04139268515822507,0.03342375548694973,0.5910646070264992,0.012837224705172217,0.0,1.0406023401140732,3.38422613627205
02H003,0.0,0.9556877503135057,1.6309361190641913,0.0,0.1846914308175988,0.0,0.0,1.2732328340430457,0.10380372095595687,0.0,0.04139268515822507,0.0,1.6296134453781832,0.0,0.0,0.0,0.08990511143939793,0.0,0.05307844348341968,0.0,0.0,0.0,0.0,0.893206753059848,0.0,0.15836249209524964,1.424718337331567,0.0,1.921842481405858,0.0,0.4871383754771864,0.008600171761917567,1.4902394852462872,0.0,0.7803173121401513,0.7007037171450193,0.0,0.14921911265537988,0.9656719712201067,0.48855071650044424,0.11394335230683678,2.14472984082465,0.1643528557844371,0.10037054511756291,0.029383777685209667,0.7283537820212285,0.0,0.0,1.2600713879850747,3.653630200655232
02H009,0.0,0.5646660642520893,1.4510184521554574,0.0,0.22530928172586287,0.0,0.0,1.2229764498933913,0.0,0.0,0.021189299069938092,0.004321373782642578,1.9029270960172628,0.0,0.029383777685209667,0.004321373782642578,0.06069784035361165,0.0,0.02530586526477026,0.008600171761917567,0.0,0.0,0.0,0.8668778143374989,0.0,0.04532297878665747,1.4409090820652177,0.0,1.7627535649333739,0.0,0.35602585719312274,0.004321373782642578,1.429752280002408,0.0,1.0909630765957317,0.6211762817750351,0.11394335230683678,0.04532297878665747,0.893206753059848,0.3926969532596657,0.0,2.028937077070678,0.17026171539495738,0.05307844348341968,0.008600171761917567,0.8898617212581884,0.0,0.008600171761917567,1.2362852774480284,3.2418103638000364
02H017,0.0,0.48287358360875376,1.523226041965701,0.0,0.20682587603184968,0.0,0.02530586526477026,1.3356584522893016,0.3979400086720376,0.0,0.02530586526477026,0.004321373782642578,1.9876662649262746,0.0,0.029383777685209667,0.0,0.11058971029924897,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.9185545305502735,0.0,0.11727129565576427,1.5212688755983852,0.0,1.7199110641983388,0.0,0.19865708695442263,0.02530586526477026,1.250175948083925,0.0,0.92272545799326,0.9299295600845878,0.10380372095595687,0.06069784035361165,1.1640552918934517,0.25527250510330607,0.01703333929878037,2.220134249570252,0.056904851336472634,0.0,0.008600171761917567,0.69284691927723,0.0,0.0,1.469674772551798,3.0303892020496512
02H025,0.0,0.8122446968003693,1.634275694625944,0.0,0.09342168516223506,0.0,0.0,1.2372923375674587,0.08990511143939793,0.0,0.02530586526477026,0.021189299069938092,1.4171394097273255,0.0,0.01703333929878037,0.0,0.13987908640123647,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.7573960287930241,0.0,0.36548798489089973,1.3662361237182932,0.0,1.759516759462188,0.0,0.5171958979499743,0.04139268515822507,1.279210512601395,0.0,0.7860412102425542,0.5550944485783191,0.0,0.18184358794477254,0.9921114877869497,0.4065401804339551,0.0,2.0746336182969043,0.2528530309798932,0.0,0.021189299069938092,0.9169800473203822,0.0,0.008600171761917567,1.4209454059219722,3.628886295526334
02H026,0.0,0.9405164849325671,1.408748606184244,0.004321373782642578,0.02530586526477026,0.0,0.0,1.0191162904470727,0.14921911265537988,0.0,0.008600171761917567,0.0,1.864985460659794,0.0,0.7715874808812554,0.0,0.06069784035361165,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.5563025007672873,0.0,0.23804610312879543,1.2869053529723748,0.0,1.6454222693490919,0.0,0.4653828514484183,0.01703333929878037,1.2019430634016501,0.0,0.7846172926328754,0.6232492903979004,0.0,0.012837224705172217,0.5820633629117087,0.2304489213782739,0.06818586174616162,1.854002233126989,0.17609125905568124,0.04532297878665747,0.008600171761917567,0.4913616938342727,0.012837224705172217,0.004321373782642578,0.9283958522567138,3.5844058623175927
02H033,0.0,0.6748611407378116,1.4974825373673704,0.0,0.16136800223497488,0.0,0.0,1.06707085604537,0.3053513694466238,0.0,0.02530586526477026,0.004321373782642578,2.0272680424666185,0.0,0.5224442335063199,0.0,0.17026171539495738,0.008600171761917567,0.021189299069938092,0.0,0.0,0.0,0.0,0.8615344108590378,0.0,0.24797326636180664,1.4104397862103466,0.0,1.6271609523747759,0.0,0.5932860670204572,0.02530586526477026,1.2402995820027125,0.0,0.9498777040368748,0.7299742856995556,0.008600171761917567,0.021189299069938092,0.8561244442423004,0.437750562820388,0.0,1.8278859827898557,0.15836249209524964,0.0,0.004321373782642578,0.9479236198317265,0.01703333929878037,0.004321373782642578,1.1231980750319988,3.4527322588979095
02H043,0.0,0.541579243946581,1.4733409641859354,0.0,0.16136800223497488,0.0,0.0,1.1553360374650619,0.04921802267018165,0.0,0.021189299069938092,0.008600171761917567,1.7715139899796666,0.0,0.12385164096708583,0.0,0.04139268515822507,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.7092699609758307,0.0,0.04921802267018165,1.374565060722765,0.0,1.638389407665336,0.0,0.21748394421390624,0.004321373782642578,1.315550534421905,0.0,0.6599162000698503,0.5477747053878226,0.0,0.22788670461367355,0.8959747323590646,0.4653828514484183,0.012837224705172217,1.9388698215129867,0.11058971029924897,0.05307844348341968,0.02530586526477026,0.8068580295188175,0.0,0.004321373782642578,1.4922014513925397,3.3003149929901836
02H046,0.0,0.8555191556678001,1.459241664878082,0.004321373782642578,0.12710479836480765,0.0,0.04532297878665747,1.3577443251803756,0.24303804868629442,0.0,0.02530586526477026,0.0,1.722633922533812,0.0,0.0,0.0,0.08278537031645007,0.0,0.0,0.0,0.0,0.0,0.0,1.0187004986662433,0.0,0.20139712432045143,1.5590683340345368,0.0,1.731346975545955,0.0,0.6063813651106049,0.0,1.4181354984252321,0.0,0.9159272116971158,0.6464037262230695,0.0,0.11727129565576427,1.2819419334408249,0.320146286111054,0.14921911265537988,2.145600357652248,0.08278537031645007,0.0,0.021189299069938092,0.9804578922761,0.0,0.0,1.6873505695580273,3.581417125103397
