,LINC01711,AC136619.1,STAG3L5P,MYCBP2,CASC15,PSMD10P1,AC006146.1,MRTFB,ZNF350_AS1,TRIM32,OPRPN,TLCD1,AC008080.1,HUS1,NPAS1,LINC02576,DNAJB5_DT,SCGB1C1,HSD17B7P1,AC012507.3,USHBP1,VAC14,ZC3H12D,H3F3B,HOXC4,AC092814.2,AC068898.2,NLRP4,AC027139.2,LINC02752,AC079148.3,WNT5A,OR10Q2P,NMNAT1P4,LY6G6D,MLC1,AC022336.1,LINC00331,ACSL4,DUXAP5,LINC01987,RNU6_223P,RN7SL42P,AC002985.1,IKBKB,AC008785.1,OTOAP1,LCAT,AC006512.2,ALDH7A1
01H001,0.31386722036915343,0.06069784035361165,0.0,0.9537596917332287,0.03342375548694973,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.03742649794062367,0.0,0.0,0.7930916001765802,0.04532297878665747,0.6180480967120927,2.0420633494321563,0.29885307640970665,0.0,0.0,0.0,0.31386722036915343,0.012837224705172217,0.9030899869919435,0.1205739312058499,0.0,0.0,0.9009130677376691,0.0,0.012837224705172217,0.008600171761917567,0.8331471119127851,0.0,0.012837224705172217,0.012837224705172217,0.04532297878665747,0.7267272090265723,1.2789821168654432,0.09342168516223506,0.0,0.3424226808222063,0.18184358794477254,0.0,0.0,0.0,0.0,1.8332746392905634,0.0
01H002,0.4345689040341987,0.0,0.0,0.24303804868629442,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.01703333929878037,0.021189299069938092,0.0,0.0,0.20682587603184968,0.0,0.37474834601010387,1.9492924014120256,0.02530586526477026,0.0,0.008600171761917567,0.0,0.0,0.0,0.41830129131974547,0.02530586526477026,0.0,0.0,0.06069784035361165,0.0,0.0,0.0,0.11394335230683678,0.0,0.0,0.5987905067631151,0.01703333929878037,0.6031443726201823,0.7788744720027395,0.04532297878665747,0.0,0.06069784035361165,0.0,0.0,0.0,0.0,0.0,1.6376898191184013,0.0
02H003,0.6618126855372612,0.0,0.0,0.8337843746564789,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.1367205671564068,0.05307844348341968,0.0,0.0,0.48855071650044424,0.008600171761917567,0.4927603890268375,1.948706308904852,0.48144262850230496,0.0,0.0,0.0,0.008600171761917567,0.0,0.7715874808812554,0.03742649794062367,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.029383777685209667,0.0,0.01703333929878037,0.01703333929878037,0.08278537031645007,0.6570558528571039,0.9790929006383263,0.09342168516223506,0.0,0.19865708695442263,0.22788670461367355,0.0,0.0,0.0,0.0,1.7532765701844184,0.0
02H009,0.6263403673750424,0.0,0.0,0.2576785748691845,0.008600171761917567,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.11394335230683678,0.13353890837021748,0.0,0.0,0.4424797690644485,0.0,0.7218106152125465,2.0581602034918296,0.4409090820652177,0.0,0.0,0.0,0.008600171761917567,0.0,0.7109631189952756,0.02530586526477026,0.0,0.0,0.03742649794062367,0.0,0.0,0.0,0.04921802267018165,0.0,0.004321373782642578,1.0051805125037803,0.271841606536499,0.9400181550076633,0.8318697742805017,0.056904851336472634,0.2695129442179163,0.07554696139253074,0.403120521175818,0.0,0.008600171761917567,0.0,0.0,1.6879746200345556,0.0
02H017,0.7767011839884108,0.0,0.0,0.6711728427150833,0.04139268515822507,0.0,0.0,0.0,0.0,0.0,0.0,0.04532297878665747,0.004321373782642578,0.0,0.0,0.3283796034387377,0.0,0.5301996982030822,2.153814864344529,0.2695129442179163,0.0,0.0,0.0,0.012837224705172217,0.0,0.5954962218255742,0.012837224705172217,0.0,0.0,0.15228834438305647,0.0,0.0,0.01703333929878037,0.8549130223078556,0.0,0.08990511143939793,0.10037054511756291,0.09342168516223506,0.9247959957979122,0.9253120914996495,0.08278537031645007,0.0,0.08278537031645007,0.0,0.0,0.004321373782642578,0.0,0.0,1.7930916001765802,0.0
02H025,0.741151598851785,0.0,0.0,0.6532125137753437,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.11058971029924897,0.146128035678238,0.0,0.0,0.45331834004703764,0.0,0.5976951859255123,1.9440382800544183,0.31175386105575426,0.0,0.0,0.0,0.012837224705172217,0.0,0.6354837468149122,0.008600171761917567,0.0,0.0,0.43136376415898736,0.004321373782642578,0.0,0.0,0.01703333929878037,0.0,0.14921911265537988,1.3995006613146106,0.012837224705172217,0.7810369386211318,0.7275412570285564,0.07188200730612536,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,0.0,1.7450747915820575,0.0
02H026,0.35024801833416286,0.0,0.0,0.4756711883244297,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.008600171761917567,0.0,0.0,0.3010299956639812,0.0,0.39093510710337914,1.9238137210911896,0.08278537031645007,0.0,0.0,0.029383777685209667,0.021189299069938092,0.0,0.43136376415898736,0.012837224705172217,0.0,0.0,0.07554696139253074,0.0,0.0,0.0,0.20139712432045143,0.0,0.0,0.437750562820388,0.021189299069938092,0.9840770339028309,0.6473829701146198,0.06069784035361165,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,1.7534298415754228,0.0
02H033,0.3979400086720376,0.0,0.0,0.7259116322950482,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.06445798922691845,0.0,0.0,0.41995574848975786,0.012837224705172217,0.5599066250361124,2.1699681739968923,0.46834733041215726,0.0,0.0,0.01703333929878037,0.029383777685209667,0.0,0.5921767573958667,0.01703333929878037,0.0,0.0,0.28555730900777376,0.0,0.0,0.0,0.3979400086720376,0.0,0.029383777685209667,0.21748394421390624,0.12385164096708583,1.1169396465507557,0.9420080530223133,0.07554696139253074,0.0,0.16731733474817606,0.0,0.0,0.0,0.0,0.0,1.8334658601706924,0.0
02H043,0.5132176000679389,0.0,0.0,0.18752072083646307,0.03342375548694973,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.04139268515822507,0.04921802267018165,0.0,0.0,0.359835482339888,0.004321373782642578,0.6503075231319365,2.0514226660890342,0.35410843914740087,0.0,0.0,0.0,0.04139268515822507,0.0,0.5646660642520893,0.012837224705172217,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,1.4998244958395797,0.05307844348341968,0.7209857441537391,0.6839471307515121,0.056904851336472634,0.0,0.04921802267018165,0.0,0.0,0.0,0.0,0.0,1.5886078047426866,0.0
02H046,1.0297894708318558,0.0,0.0,0.7788744720027395,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.0,0.05307844348341968,0.04921802267018165,0.0,0.0,0.46982201597816303,0.0,0.4578818967339924,2.198986805670933,0.4424797690644485,0.0,0.0,0.0,0.02530586526477026,0.0,0.5453071164658241,0.07918124604762482,0.0,0.0,0.23552844690754893,0.0,0.0,0.008600171761917567,0.08635983067474821,0.0,0.22271647114758328,1.6181527333785195,0.10380372095595687,0.9867717342662448,0.9978230807457255,0.06069784035361165,0.0,0.1903316981702915,0.0,0.0,0.0,0.0,0.0,1.9054720619247043,0.0
