,ANP32A,MFSD5,AC104117.1,AC008915.2,AC010336.2,PDE4D,YBX1P1,SYNE3,AL031591.1,AC012555.1,AP000692.2,CYCSP52,PHBP11,AL445669.1,AC093908.1,TMEM201,RPSAP48,AL591002.1,OGFOD1P1,DMRT1,HMGB1P36,AC112482.2,AL031767.1,UGT2B11,NSUN7,OR6C5P,RN7SL363P,AL133215.3,AC139530.3,ITCH,TRMT10C,ASS1P12,ATP5MC1P3,AL132712.1,AC020549.3,AC005785.1,LINC00555,DIRAS3,AL355310.3,AC104453.1,LINC00485,AC008556.1,LINC02504,MTND1P11,CD101,LRRC14,ACTR3P3,CKM,GNAS_AS1,SYAP1
01H001,0.021189299069938092,0.0,0.0,0.07188200730612536,0.24551266781414982,0.887054378050957,0.029383777685209667,0.9938769149412112,0.18184358794477254,0.02530586526477026,0.004321373782642578,0.0,0.1205739312058499,1.3963737275365065,0.08278537031645007,0.0,0.0,0.9745116927373283,0.0,0.029383777685209667,0.0,0.004321373782642578,0.0,0.03342375548694973,0.17897694729316943,0.0,0.06445798922691845,0.05307844348341968,0.0,0.0,0.0,0.13987908640123647,0.029383777685209667,0.8981764834976765,0.004321373782642578,0.056904851336472634,0.22788670461367355,0.0,0.0,0.0,0.0,0.0,0.06445798922691845,0.03742649794062367,0.9380190974762103,0.01703333929878037,0.05307844348341968,0.004321373782642578,0.0,1.5785246052749933
01H002,0.04139268515822507,0.0,0.0,0.012837224705172217,0.11058971029924897,0.17318626841227402,0.0,0.885926339801431,0.021189299069938092,0.0,0.012837224705172217,0.03742649794062367,0.03742649794062367,0.36361197989214433,0.008600171761917567,0.0,0.0,0.8488047010518037,0.004321373782642578,0.0,0.0,0.012837224705172217,0.0,2.6803627126347576,0.03342375548694973,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.07188200730612536,0.9973863843973133,0.0,0.012837224705172217,0.09342168516223506,0.0,0.0,0.0,0.06069784035361165,0.0,0.0,0.0,0.25527250510330607,0.004321373782642578,0.01703333929878037,0.0,0.0,1.2052043639481447
02H003,0.08278537031645007,0.0,0.004321373782642578,0.01703333929878037,0.19865708695442263,0.6785183790401139,0.012837224705172217,0.8779469516291882,0.146128035678238,0.0,0.05307844348341968,0.012837224705172217,0.05307844348341968,1.2046625117482188,0.06818586174616162,0.0,0.0,1.1894903136993675,0.05307844348341968,0.0,0.0,0.004321373782642578,0.0,0.5774917998372253,0.012837224705172217,0.0,0.04532297878665747,0.0,0.0,0.008600171761917567,0.0,0.04139268515822507,0.05307844348341968,0.9350031514536548,0.0,0.07188200730612536,0.34635297445063856,0.0,0.0,0.0,0.0,0.0,0.20411998265592482,0.0,0.617000341120899,0.021189299069938092,0.056904851336472634,0.0,0.0,1.506234359612126
02H009,0.008600171761917567,0.0,0.01703333929878037,0.029383777685209667,0.38021124171160603,0.42813479402878873,0.021189299069938092,0.9590413923210935,0.19589965240923368,0.0,0.08278537031645007,0.0,0.13353890837021748,0.23299611039215382,0.004321373782642578,0.0,0.0,1.011993114659257,0.021189299069938092,0.0,0.0,0.029383777685209667,0.0,0.7543483357110189,0.06818586174616162,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.17026171539495738,0.15228834438305647,1.2530955858490316,0.0,0.004321373782642578,0.24054924828259971,0.021189299069938092,0.0,0.056904851336472634,0.021189299069938092,0.0,0.0,0.0,0.960470777534299,0.0,0.01703333929878037,0.0,0.0,1.4099331233312946
02H017,0.021189299069938092,0.0,0.012837224705172217,0.008600171761917567,0.20682587603184968,0.5390760987927766,0.03342375548694973,0.6627578316815741,0.01703333929878037,0.0,0.04921802267018165,0.13987908640123647,0.0,1.2530955858490316,0.004321373782642578,0.0,0.0,0.967079734144497,0.012837224705172217,0.0,0.0,0.05307844348341968,0.0,1.761401557498631,0.01703333929878037,0.0,0.0,0.0,0.06445798922691845,0.004321373782642578,0.0,0.08278537031645007,0.09691001300805642,1.4708513245261177,0.04532297878665747,0.0,0.290034611362518,0.0,0.0,0.08278537031645007,0.06069784035361165,0.0,0.12385164096708583,0.0,0.6972293427597176,0.008600171761917567,0.029383777685209667,0.0,0.0,1.359835482339888
02H025,0.004321373782642578,0.0,0.004321373782642578,0.11394335230683678,0.26481782300953643,0.557507201905658,0.0,0.9845273133437926,0.23299611039215382,0.0,0.06818586174616162,0.0,0.1430148002540951,0.12385164096708583,0.012837224705172217,0.0,0.0,1.082426300860772,0.02530586526477026,0.0,0.0,0.0,0.0,1.1604685311190375,0.0,0.0,0.0,0.0,0.004321373782642578,0.008600171761917567,0.0,0.03742649794062367,0.11058971029924897,1.1997551772534747,0.0,0.021189299069938092,0.320146286111054,0.0,0.0,0.10380372095595687,0.0,0.012837224705172217,0.10380372095595687,0.03342375548694973,0.8122446968003693,0.0,0.03342375548694973,0.0,0.0,1.3100557377508915
02H026,0.0,0.0,0.0,0.008600171761917567,0.09691001300805642,0.20682587603184968,0.004321373782642578,0.9623693356700211,0.02530586526477026,0.0,0.021189299069938092,0.0,0.0,0.7664128471123994,0.004321373782642578,0.0,0.0,0.7299742856995556,0.012837224705172217,0.0,0.0,0.11058971029924897,0.0,2.5230697928249968,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.7817553746524689,0.0,0.0,0.09691001300805642,0.0,0.0,0.0,0.16731733474817606,0.0,0.07554696139253074,0.0,0.7323937598229685,0.004321373782642578,0.03342375548694973,0.0,0.0,1.049605612594973
02H033,0.004321373782642578,0.0,0.004321373782642578,0.008600171761917567,0.20411998265592482,0.5118833609788744,0.03342375548694973,0.960470777534299,0.09342168516223506,0.0,0.029383777685209667,0.0,0.08278537031645007,0.8674674878590515,0.008600171761917567,0.0,0.0,0.8048206787211624,0.008600171761917567,0.0,0.0,0.20682587603184968,0.0,2.154271775993095,0.04139268515822507,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.10720996964786837,0.05307844348341968,1.1367205671564067,0.0,0.008600171761917567,0.13033376849500614,0.0,0.0,0.02530586526477026,0.3926969532596657,0.0,0.12385164096708583,0.0,0.9390197764486665,0.008600171761917567,0.029383777685209667,0.004321373782642578,0.0,1.2723058444020865
02H043,0.0,0.0,0.0,0.021189299069938092,0.24797326636180664,0.3996737214810381,0.0,0.8674674878590515,0.07554696139253074,0.0,0.12385164096708583,0.10720996964786837,0.13987908640123647,0.03742649794062367,0.004321373782642578,0.0,0.0,1.0681858617461617,0.02530586526477026,0.0,0.0,0.0,0.0,0.1430148002540951,0.04139268515822507,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.04139268515822507,0.18752072083646307,1.2839792842384798,0.0,0.0,0.24054924828259971,0.0,0.0,0.08635983067474821,0.0,0.012837224705172217,0.11727129565576427,0.03742649794062367,0.8530895298518655,0.0,0.01703333929878037,0.0,0.0,1.316808752053022
02H046,0.03742649794062367,0.0,0.008600171761917567,0.02530586526477026,0.20682587603184968,0.6866362692622934,0.0,0.9153998352122699,0.250420002308894,0.0,0.03742649794062367,0.290034611362518,0.23804610312879543,0.3159703454569178,0.021189299069938092,0.0,0.0,1.347720217034038,0.03742649794062367,0.0,0.0,0.0,0.0,0.9020028913507294,0.06818586174616162,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.07188200730612536,1.5435714239623655,0.0,0.09342168516223506,0.2304489213782739,0.0,0.0,0.0,0.004321373782642578,0.0,0.04532297878665747,0.0,0.6803355134145632,0.0,0.08990511143939793,0.0,0.0,1.3484995702838378
02H053,0.021189299069938092,0.0,0.0,0.008600171761917567,0.07188200730612536,0.5010592622177514,0.008600171761917567,0.9278834103307069,0.04139268515822507,0.0,0.01703333929878037,0.10037054511756291,0.11394335230683678,0.5646660642520893,0.01703333929878037,0.0,0.0,0.8998205024270962,0.021189299069938092,0.0,0.0,0.008600171761917567,0.0,0.9052560487484512,0.04139268515822507,0.0,0.021189299069938092,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,1.09725730969342,0.0,0.0,0.26481782300953643,0.0,0.0,0.012837224705172217,0.05307844348341968,0.0,0.1205739312058499,0.029383777685209667,0.8686444383948257,0.0,0.021189299069938092,0.004321373782642578,0.0,1.0780941504064108
02H066,0.008600171761917567,0.0,0.0,0.06818586174616162,0.250420002308894,0.7092699609758307,0.004321373782642578,0.9211660506377387,0.15836249209524964,0.012837224705172217,0.05307844348341968,0.0,0.12385164096708583,0.04921802267018165,0.008600171761917567,0.0,0.0,1.049605612594973,0.04139268515822507,0.0,0.0,0.0,0.0,1.3780343224573315,0.04532297878665747,0.0,0.03342375548694973,0.0,0.004321373782642578,0.0,0.0,0.1205739312058499,0.20951501454263097,1.123524980942732,0.0,0.004321373782642578,0.290034611362518,0.0,0.0,0.03342375548694973,0.01703333929878037,0.0,0.146128035678238,0.04139268515822507,0.8704039052790271,0.0,0.01703333929878037,0.0,0.012837224705172217,1.2182728535714475
03H016,0.02530586526477026,0.0,0.0,0.02530586526477026,0.11727129565576427,0.9777236052888477,0.008600171761917567,0.9872192299080049,0.07554696139253074,0.04139268515822507,0.01703333929878037,0.2528530309798932,0.06445798922691845,1.1162755875805443,0.04139268515822507,0.004321373782642578,0.021189299069938092,0.9712758487381052,0.021189299069938092,0.0,0.0,0.008600171761917567,0.0,1.0081741840064264,0.03342375548694973,0.0,0.08278537031645007,0.0,0.0,0.008600171761917567,0.0,0.09342168516223506,0.04139268515822507,1.1914510144648953,0.03742649794062367,0.04921802267018165,0.28330122870354957,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.8061799739838872,0.0,0.08278537031645007,0.0,0.0,1.7294077969630681
