,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125
01H001,0.0038721,0.004679792,0.004082392,0.0069489274,0.047734372,-0.01294745,0.06284867,0.0147469295,0.0064972215,0.0072776973,0.07740172,-0.0019027783,0.028413171,0.00068399694,0.006348038,0.0057772696,-0.0043665613,0.07455723,0.06355474,0.005002796,0.009842775,0.00037203415,-0.0074876295,-0.0015998222,0.0045212028,0.002970714,-0.011543826,0.118700705,-0.27168664,-0.003525731,0.008850225,0.010787355,0.009898415,0.006505601,0.054676343,0.00015641481,-0.009012192,-0.0032237303,0.001473875,-0.0021370968,-0.04815652,0.007826026,-0.00012655616,0.012708718,0.002495266,-0.051647186,0.010862761,-0.008431846,-0.071632646,0.0019267744,-0.013013595,-0.0006159939,-0.0058969287,-0.0049301786,-0.0073787253,-0.014152846,-0.0147741465,0.00038233786,0.045083813,0.0032159598,-0.0021927494,0.001643385,-0.008506683,-0.009564992,-0.009530704,-0.037166774,0.009738799,-0.005428295,0.00023150958,0.0037341542,-0.01254748,-0.01877906,-0.010309782,0.0053388537,0.009455958,-0.0029415279,0.0020436486,0.004659027,0.010406579,0.012800368,-0.002930883,-0.00091947673,0.083162405,-0.0020271451,0.007362886,-0.0103820665,0.00066624035,-0.0016217915,-0.009731235,-0.00993994,-0.0065932735,0.0021424382,0.10047507,-0.0052317632,-0.013758322,-0.032941494,-0.009651972,0.0043637115,0.004039437,-0.008125909,-0.0028770668,-0.011560643,-0.0028996095,-0.0009447895,0.0039595393,0.005587051,-0.005758697,0.0051224492,0.0022965234,-0.06254395,-0.00949093,0.0030600193,0.0062047727,0.0020164782,-0.004224305,-0.0080834,0.005532172,-0.00012367405,0.005630245,0.09716915,-0.003877154,-0.0067301057,-0.010950259,0.015991773,0.00020227261
01H002,0.016828552,0.0035063943,0.016350454,0.002021907,-0.14370017,-0.009050501,-0.15798295,0.00060794596,-0.012485511,0.008818886,0.05088132,0.003561773,0.079527155,-0.0001453157,0.010778217,-0.00077466824,0.018239647,0.083046205,0.028673725,-0.0029770576,-0.0017426364,-5.505138e-05,-3.0624044e-05,-0.0029278365,0.0087473905,0.0037725912,0.004848371,-0.013253032,-0.010632036,-0.010802946,-0.0007509044,0.00091639487,0.006706832,0.0069123046,-0.020689765,0.004365248,-0.007377714,-0.008675835,-0.0068830866,-0.004066506,-0.07243267,0.0020864804,-0.0017517627,0.006697822,0.008233405,-0.07924721,0.013655066,0.010528182,0.06002097,-0.00070495857,-0.00040205359,0.011248108,0.012314964,-0.01108111,0.0040745153,0.007791872,-0.005694516,0.0011034482,-0.021877637,0.019907698,-0.0123750735,0.018212352,-0.005175934,-0.002371175,-0.017950961,0.10653053,0.009155029,0.009194714,0.021365393,-0.0041996334,-0.00917861,-0.005002782,0.009615001,-0.011568787,0.0022545753,-0.018568458,0.0026509173,0.0025307485,0.0037205108,-0.00027829967,0.0037928533,-0.0057180263,0.25712484,-0.0076799113,0.009703965,-0.008403979,-0.011101593,0.0015019813,0.00088614237,-0.020255709,-0.0026793268,-0.01414182,-0.08785004,-0.0018789727,0.0042959065,0.030978555,-0.0037890936,-0.0017879633,-0.0050206934,-0.002084197,-0.0026850877,0.0032023652,0.013194434,-0.0019615663,-0.0015761565,-0.00058612786,-0.014202971,0.00094533013,0.008124589,-0.19378722,-0.0038797741,0.0012827606,-0.007946884,-0.00802761,0.0057091056,-0.0021426564,0.005374874,0.0049996516,0.0070513077,-0.21548878,0.013941898,0.009719059,-0.015304144,0.02017467,-0.008692306
02H003,-0.011091944,0.0023409443,-0.006796993,-0.003600632,-0.11686796,0.00013424797,0.025883649,0.0034563504,-0.004651259,-0.0065304395,0.031571914,-0.005279429,-0.08503434,-0.0037425922,-0.008231358,-0.00911674,-0.0056081987,-0.03279885,-0.2491012,-0.00507543,-0.002652175,-0.00107732,-0.0034487816,-0.0029573445,-0.0043671764,0.005648095,0.006694979,0.014252988,0.03245359,-0.003984674,-0.0048600943,-0.0028659033,-0.0019285673,-0.006087251,-0.04377267,-0.006086539,0.0008492943,0.0066195237,-0.01050014,0.0045152023,-0.10004261,-0.0032987078,-0.00048329445,0.0064962883,0.006068858,-0.078545414,-0.0035952076,0.004776121,0.14237413,0.0044311057,0.011308814,0.009251968,0.0062831827,0.0103822965,-0.00028588693,-0.0076002753,-0.0036360386,0.002421023,0.02063347,0.0026482425,0.0030282412,-0.008367887,0.005726091,0.0073330374,0.0077078445,-0.06621463,-0.0073286993,0.008090265,0.004037563,-0.0011070666,0.007475746,0.012652066,-0.000419418,-0.00037863405,0.0057795933,-0.0083134845,0.0007185678,-0.00562712,-0.0061066733,-0.0032350875,0.003656482,0.003937461,0.10496622,0.004670834,0.0055858246,0.0014653647,0.0012792771,0.012838742,0.0029422517,0.001088318,0.013099974,-0.0069270493,0.1707922,0.010555672,-0.0075648073,-0.085181005,-0.0012361602,-0.007268824,-0.01230946,-0.013261695,0.0013698239,-0.014300998,-0.012597041,-0.0020386293,0.010815269,0.010116149,0.01721403,-0.0038615426,-0.005795182,-0.13227525,-0.0008333747,-0.008787496,0.0032883135,0.015123557,0.0017602699,-8.565431e-05,-0.00056618784,0.002277897,0.00086116564,0.029701367,0.0028476801,0.0049621044,0.012022173,-0.010602599,0.006819325
02H009,-0.019315595,-4.6471454e-05,0.004614988,-0.00073035696,0.03880639,-0.018983057,-0.15338436,-0.023429379,0.009990078,-0.0015110008,-0.09862091,-0.01495617,-0.050520327,0.0043377574,-0.0026053363,0.008124144,-0.015395061,-0.031210456,-0.020508235,0.0012811214,0.012388936,0.008232479,0.016226875,0.016826846,-0.007800206,0.008463347,-0.011400886,0.07660461,-0.07844169,0.006107602,0.0037026163,0.022448754,-0.0010412288,0.0030008792,-0.12721159,-0.014765841,0.00095819065,-0.0063936217,0.0036973425,0.0022251932,0.058462873,-0.010956689,0.011035928,-0.007283484,-0.015500326,-0.06560834,-0.014832839,-0.011817501,0.0031604867,-0.001540163,0.0042154305,-0.014875772,-0.012976623,-0.010492249,0.0023674346,-0.0115076,-0.014125471,-0.013598865,0.1130528,-0.00012813795,-0.009271991,-0.01716538,-0.0087468885,-0.004058582,0.005055394,-0.063903734,0.011556472,-0.013292456,-0.010711129,-0.0014851621,-0.012037398,-0.008277613,-0.015799426,0.0036341937,-0.008513445,0.0031201583,0.0076601296,0.014229076,-0.0035284632,0.0051817214,-0.00015581104,0.0016764461,0.13233924,-0.010045886,0.0034146924,0.011346363,0.022878986,0.0075877686,0.0012221701,-0.01110783,-0.008346873,0.00013033941,-0.04568569,0.007368468,0.00979108,-0.052241176,0.0027811602,0.01142438,0.0063323383,0.0050976174,-0.0055847154,-0.0063385908,-0.0026249697,0.0011721771,0.015702084,-0.002785604,0.0015493985,0.00637345,0.0007573935,-0.015596041,-0.0023400506,0.015505079,0.0027202156,-0.009345557,-0.006495055,0.024506722,-0.010288936,0.00617088,0.0020666888,-0.19064502,-0.016723236,-0.0013262326,0.0077759614,0.005575779,-0.008219034
02H017,0.0044045304,-0.00040526933,-0.012499841,0.006636574,0.026983626,-0.00024520117,-0.19076791,-0.015224229,-0.0009720424,0.0152208265,-0.039892673,0.0013515868,0.02931363,0.016885035,-0.008541434,0.0028178012,0.008700187,-0.004267378,-0.059125926,-0.0007960371,0.009743103,0.0055873636,-0.008374125,-0.00019366642,-0.0029097511,-0.0039194063,-0.0141956275,-0.13754702,-0.08887265,0.0078072147,-0.010137809,0.0001556429,0.015710693,0.0029088377,0.01855229,-0.008005034,-0.0013430857,-0.0027634823,0.008106548,-0.011028762,-0.051891778,-0.007817823,0.00020969636,0.0021937902,-0.010663906,-0.073554024,-0.00057263684,0.0039954986,-0.017831532,-0.0020168396,-0.004920138,0.0017490764,-0.0021411977,-0.008932558,0.001318752,-0.01131793,0.0069811135,-0.011859492,0.17110948,-0.0062715868,-0.0015170218,0.004336763,-0.0038092344,-0.005509322,-0.0049388553,0.13334541,0.012483032,-0.0056784335,-0.00906409,0.011686121,-0.00017112684,-0.0054141684,-0.0038590024,0.01179068,-0.004818064,-0.00069435715,0.0010226757,0.012613904,0.0048922976,0.017235938,-0.0034905053,-0.007632355,0.19206645,-0.0058875713,0.0003239871,-0.00921315,-0.0134876985,-0.0006053614,-0.010458351,0.001380816,-0.012275829,0.0072554275,0.16473591,-0.008475486,-0.0050793607,-0.06933201,-0.011383027,-0.0004208249,-0.0022591078,-0.00027689856,0.015363885,0.008308945,0.00075540453,0.0037812516,0.0029780807,0.010371638,-0.013122619,-0.01654074,0.016501036,-0.08738502,0.004579852,0.0009348878,0.0064447047,-0.0058846604,0.010692014,0.0017985967,0.008115841,-0.0071783173,-0.008215014,-0.11739711,-0.020728575,-0.010829305,-0.013034062,0.0033268444,0.01004449
02H026,-0.0003955547,0.0048891366,0.007864383,-0.0027080353,-0.10318933,-0.0021867852,-0.037282687,0.009130147,0.002987211,-0.011791585,0.01125947,-0.0079726335,0.026865805,-0.0012401864,0.010919517,0.007058807,-0.01590265,0.11691907,0.043755103,-0.0074248444,-0.0067533506,0.0028206143,0.005966111,-0.0060023903,-0.004879077,-0.012186852,0.008503661,-0.07262322,-0.14928979,-0.009097194,-0.0013939628,-0.010550366,-0.012200773,-0.0019089124,0.02798165,-0.007557131,0.0044217533,0.008713481,0.010071904,0.01621153,0.05971756,0.001993351,0.0058640623,0.009330693,0.014619755,-0.03790548,0.0024871994,-0.007278254,-0.0062090144,-0.002426572,-0.00955517,-0.010217694,0.0036291063,0.0067658112,-0.009042594,-0.011086679,0.002016971,0.0012497599,0.1563368,-0.0063084117,-0.00065331854,-0.0033988846,0.0002574027,-0.009259798,0.0108649125,0.15693744,-0.011381163,-0.008737399,0.0027548564,-0.014550739,0.0075027514,-0.013168439,-0.011605047,-0.008826268,-0.006415199,-0.002065432,0.009181509,-0.0078974785,-0.0032092743,-0.009019521,0.005148787,0.009976981,0.0036334523,-0.005622091,-0.0009723134,0.007964837,0.0006838862,0.0134902615,-2.5685202e-05,-0.0074181454,0.0077276533,-0.0074358685,-0.029891623,0.018880043,-0.009657636,-0.020918377,0.0047695157,-0.004957972,0.00061932876,-0.012201503,-0.019096322,0.003809329,-0.0017580722,-0.016930552,0.0001665509,-0.006293841,0.0055909823,0.010202498,-0.013173962,-0.03793627,-0.0019679216,-0.0043363003,0.00314297,0.013849023,-0.0141647095,-0.01830369,-0.004313323,0.015013329,-0.0064289407,-0.18905732,0.0043295887,0.004190781,-0.0012447734,0.0040144604,0.0007704128
02H032,-0.0049857157,2.2753617e-05,-0.00031533543,0.0020799013,0.01654994,0.008598667,-0.0003589242,0.020443704,-0.0037631544,-0.0041406658,0.05277071,0.014467943,-0.047202494,0.0059479503,-0.0025218772,-0.0068305577,0.0051501486,0.08202456,0.020106606,0.008958639,-0.011858124,0.0038555744,-0.0043179384,0.0048300005,-0.0030604326,-0.008497315,-0.0072119758,-0.10842619,-0.11597273,0.013456526,-0.016597854,-0.0032525007,0.0057129734,0.0077618794,0.0076433998,-0.004131928,-0.011379675,0.01369939,-0.002847388,-0.0023008205,0.06900711,-0.011303916,-0.0017787794,0.0074522276,-0.009541784,-0.057205576,0.002910778,-0.0044385567,-0.06479441,-0.003589679,0.0010782823,0.009055171,-0.0049215863,0.014394939,0.003220918,-0.009423226,0.013320035,-0.0016428796,0.19060361,0.0029712871,-0.003143134,0.0011435137,0.0063890307,0.0051169177,0.014130794,0.09310213,-0.0034713356,-0.0035541311,-0.0012382137,0.011421407,0.008354266,0.004195637,0.0034384967,0.0075623994,-0.0017459396,-4.155901e-05,-0.004977575,0.010230757,-0.0034076625,0.008839978,-0.011847894,-0.0055990224,0.059054203,0.0015631574,-0.015619153,0.0032085532,-0.006680576,-0.008350322,-0.0020253817,0.008084164,-0.0045036925,0.012773655,0.101675205,-0.00074002106,-0.0040831664,0.047566656,-0.009469428,-0.0038158689,-0.010092212,0.007539569,0.005453952,-4.6934703e-05,-0.0023582797,0.002152006,-0.0011023959,0.009115498,0.00054626114,-0.009589685,-0.0010011578,-0.003920726,0.010117327,0.0003732132,0.008228746,-0.010389453,-0.0019800041,0.0054515097,0.0033414583,-0.003563373,-0.014566961,-0.17330801,-0.000786335,-0.009302325,0.0030240295,-0.00079456985,0.00599813
02H033,-0.0005842796,0.006019097,0.005308681,-0.0031499362,-0.11080757,0.0004892319,0.013080297,-0.0052999337,-0.00020693014,-0.0033001075,-0.0100012645,-0.0011984399,0.00046258545,-2.5662579e-05,-0.0033314738,-0.0075294017,-0.0019531727,0.107637465,0.07849788,-0.008523702,-0.011349226,-0.0010937903,0.0007741811,-0.0112698255,-0.0042870203,-0.009619119,0.0026196723,-0.065626554,-0.14904475,-0.0015803743,-0.012214644,-0.006375782,-0.0065236227,-0.00846386,0.023764972,-0.0051621604,-0.003206602,0.0050065327,-0.0053716702,-0.0026249264,0.015242495,-0.013331525,0.010226176,0.006959184,0.0051274165,-0.03903663,-0.0020315219,0.014562669,-0.076049276,0.0034869784,0.008345551,0.009208795,-0.00014366827,0.007347014,-0.005880892,0.0008557259,0.007569334,0.004255812,0.17140906,0.0110922735,-0.009095334,0.007039138,0.0066283583,0.008665846,0.006634537,0.124277495,-0.0135393385,0.0051359544,0.00452858,-0.0038552769,0.008512634,0.008888551,0.015487476,-0.004388528,-0.010956796,-0.0052071624,0.007499784,-0.0008411382,0.0013433715,-0.002000903,0.0038660092,-0.0022332068,-0.043756757,0.0071015772,0.0011795249,0.00054494565,-0.0057532913,-0.0075052055,0.0028276301,-0.00884825,0.0072932136,-0.01224805,-0.011451609,-0.0016124693,-0.009560088,-0.0035617973,-0.0061198743,-0.007886642,-0.015246728,-0.008174254,0.009670777,-0.00035427342,-0.0024206622,-0.00071945525,-0.005122688,0.0009919755,0.0021185065,-0.0057858964,0.0014389018,0.005610609,0.011023028,-0.0034325477,-0.0046861246,0.009404143,0.0038763112,0.0037221136,-0.001931729,0.0066947667,-0.012288896,-0.11076015,0.0012789768,0.0047397413,-0.0028627815,-0.003266389,0.010896293
02H046,-0.00046556574,0.014201439,-0.00031234662,-0.0062773433,-0.18213367,-0.008962275,-0.0832543,0.025857206,-0.0054628644,-0.0026107493,0.13894393,-0.013549581,-0.012292226,0.00073936704,-0.0013682044,-0.0026988816,-5.2290605e-05,-0.01374347,-0.043896537,-0.008892579,0.0064452933,0.00036042967,0.005225967,-0.0060507515,-0.0034708134,-0.0047139293,0.0024213465,0.17900981,0.009774823,-0.015797177,-0.00795457,0.0067887213,0.007846471,-0.009865235,-0.00011976251,-0.004199597,0.0031501087,-0.006132885,-0.00058713544,0.0048813527,0.031373877,-0.007081421,-0.0078099105,0.0019776826,0.007836935,0.017205097,0.0072255665,-0.013590646,0.01931489,0.00853092,-0.0048088892,0.00047364002,0.014541737,-0.004097095,-0.007764587,-0.003191083,-0.008842775,-0.0021314193,-0.008612375,-0.0069242637,0.015401164,-0.0014710019,-0.007041621,0.0029079693,-0.002349434,-0.069066994,0.007670836,0.006961512,-0.0034153322,-0.003968863,-0.016278652,-0.015540513,-0.013424784,0.0018999219,-0.007106037,0.0015580904,-0.0030466798,-0.0067191147,-0.0059031337,0.0028695564,0.0029047919,0.0015618182,0.12905586,-0.0027709298,0.012963253,-0.0051083076,0.00348733,0.011917391,-0.004426636,-0.007866594,0.007860767,-0.004603899,0.043008745,0.007972494,-0.0070808586,0.008102232,-0.0016955242,-0.0081036575,-0.007190907,-0.0027934795,-0.008237227,-0.004459286,-0.0045046853,0.00904073,0.0063509196,-0.0017082836,-0.01060129,0.0010765974,0.004557721,-0.1732905,-0.00061967166,-0.009386089,0.0064641116,0.010842553,0.002359207,-0.008422714,0.011662392,0.0004972199,-0.0024770752,-0.15120909,-0.012684495,-0.002019734,0.0014822971,0.020440528,-0.000505502
02H053,0.0027358856,0.017504659,-0.0009152807,0.006824357,0.011181515,-0.008770199,-0.18183216,-0.014621421,0.008674858,-0.0011667478,0.021640504,-0.011397394,0.0070519904,0.0010097182,-0.008428532,-0.0014702308,-0.0013875882,0.001918773,-0.14527932,-0.0053431327,0.007534551,-0.0076700286,-0.0019440324,-0.00785931,0.0011454393,0.006611977,-0.0068563847,0.1452828,-0.012016305,-0.005354347,0.009334463,0.008202331,-0.008226706,-0.00368044,-0.031741556,-0.008572952,-0.0076518073,-0.00024267913,0.014460437,-0.0012591825,-0.05832196,-0.005041327,0.009491551,0.01361287,0.005730188,-0.08561472,0.008754318,0.0026681921,-0.008558116,0.00562423,0.008977912,-0.011020192,-0.0123723615,0.0022686636,-0.0034685787,-0.0028836844,0.0015727516,0.012338738,0.13514513,-0.0055862367,0.0037219736,0.008985766,-0.002156807,-0.0069134883,-0.004826704,0.070522755,-0.0032946165,0.0011928316,0.007333788,0.0031962076,-0.0056230184,0.0042137047,-0.00091799686,0.0019376444,-0.0023304452,0.0096378485,0.018673193,-0.005221204,0.0113365315,0.0017854178,-0.006669796,0.0014381721,0.0081813475,0.01642235,0.0015317067,-0.00073341513,-0.007255257,-0.008187693,-0.009864925,0.0014271742,-0.0030751768,-0.00827981,0.032174364,-0.0069700684,-0.005827262,-0.083780386,-0.015011652,0.0052762404,9.681212e-05,-0.0047985106,0.005416909,0.0043818173,0.00035363378,0.009009787,-0.00025864385,-0.0031159583,0.006770701,-0.0030803836,0.0013597455,-0.15043497,0.008878855,-0.00071146915,-0.0058149165,0.0045769336,0.002659564,0.0066140946,-0.0024292234,0.009594776,-0.0077939555,-0.09471007,-0.0117796445,-0.010924836,0.0065307473,-0.008287539,0.0065812557
