,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50
01H001,0.029145269,-0.010503681,0.047504365,0.03461521,-0.09792009,-0.010031411,0.010479091,0.037820034,0.008098351,-0.013260909,-0.00058779324,-0.06854253,0.005520324,0.049465287,0.08038773,-0.04414462,0.08514082,0.006845918,-0.011760739,-0.006083582,-0.004525054,-0.00763098,-0.09687975,0.006361058,-0.002908009,-0.13646954,-0.008040666,-0.007651255,0.04177951,-0.06463814,0.29595745,0.22346464,-0.011365915,0.050344262,0.012046092,0.07012923,-0.0013776439,0.053385783,0.010863534,-0.0019728162,0.112434305,-0.02179017,0.009271977,-0.008162924,-0.028636733,0.16247974,-0.007963375,-0.12283922,-0.04217373,0.01557331
01H002,-0.04749781,-0.046982266,-0.009425215,0.34047922,0.07151581,0.009667526,0.058999307,-0.10916173,-0.010752056,0.020914853,-0.011356063,-0.07043399,0.06670805,0.019670459,0.03805557,-0.12439345,-0.07804565,0.032812156,0.0133102685,0.008605465,0.06935656,-0.0036765758,-0.035007402,0.001554188,0.06215176,0.05858383,-0.0063948566,0.034002017,0.016309075,-0.05092469,0.012896883,-0.18189584,0.006441343,-0.035871834,0.01767364,0.009882511,-0.010439559,-0.091503225,0.0056828414,-0.004746229,0.038544625,0.03349071,-0.0017375635,-0.0044245836,0.044875976,0.022733763,0.004638337,0.024315273,0.058874026,-0.038752984
02H003,0.04523143,-0.052504446,0.043125097,0.19535269,0.045223564,0.010208861,0.19177614,0.014928902,0.006213947,-0.01651964,0.0008716026,0.018424883,0.17665708,0.08281503,0.057342827,0.021003094,-0.10240751,-0.059118863,-0.002795195,-0.012474454,0.0737429,-0.010179195,-0.039877158,-0.019282075,0.053975947,0.040810805,-0.00999635,0.1310824,-0.0015858901,-0.1411751,-0.06706349,0.15231279,0.0038733492,0.103224315,0.0049861143,0.0055789156,0.015401446,-0.007911854,0.0004415113,-0.0042799236,-0.120478205,-0.016324457,0.013878526,0.010059341,0.018788304,0.009030412,0.017277297,0.022668898,-0.1335522,-0.0662568
02H009,0.041152854,-0.09506087,0.0057569803,-0.02442125,0.09348544,-0.0021791668,0.13231759,0.034639195,0.012051361,-0.008271429,0.0015151988,-0.037435893,-0.031130759,0.04719723,0.041016586,0.118971296,0.17444666,0.015473855,-0.011051939,-0.0054362845,0.000973121,0.012009033,-0.054397885,-0.0032057457,-0.036040947,-0.07767046,-0.009352836,-0.0026630752,0.07265934,-0.06954054,-0.032544076,-0.06312333,0.0020825106,0.033134524,-0.07087407,-0.056728654,0.0076803085,0.017600402,-0.009364381,-0.0034803336,0.034596764,-0.0060428353,0.012475403,-0.007389438,-0.030348541,-0.015619909,-0.009650068,-0.040259168,0.2446962,-0.02284346
02H017,-0.0013662792,-0.019135227,0.097329125,0.18436363,0.0008529279,0.0089906305,-0.094944544,-0.02032994,0.009625075,0.0021968998,-0.00510005,0.14642754,0.10728002,-0.087646075,-0.070236266,0.020269655,0.07813764,0.0058464664,-0.0036665983,-0.0087522585,0.01822699,0.0049939016,-0.012953785,-0.00021862047,-0.032969043,-0.005684365,-0.01041128,0.1400777,0.1432172,0.016382633,0.10480411,-0.07015107,-0.007698648,0.15178537,0.018338474,-0.019209497,-0.016212074,0.0566577,-0.0023980017,-0.0066092922,-0.14219458,0.10969076,0.016719038,-0.01123248,-0.040173106,-0.15907688,-0.0011734958,0.073038965,0.17379187,-0.05040255
02H026,-0.02572213,-0.03791903,-0.06948949,0.13989832,-0.002241668,0.012613609,0.030722601,-0.048411887,-0.0012989,0.00070750265,-0.0040895627,0.110812776,-0.09662821,-0.04945286,0.009395653,0.14501989,-0.14102925,-0.04299804,0.010643105,0.0023817054,-0.014153954,0.0011591999,0.010493148,-0.00010711029,0.084668845,-0.015473612,0.0007339808,0.02138587,0.1458743,0.040547233,0.23491257,-0.11520326,0.013319888,-0.009058685,-0.02138338,0.017654903,0.0032236583,0.0034143482,0.0022832698,0.0015444679,-0.13698874,0.06832452,-0.007972992,0.0053604045,-0.12717767,-0.04742851,0.0060781846,-0.029963477,0.07571797,0.0009171658
02H032,-0.033340592,-0.00939033,-0.096019596,0.12083715,-0.019875968,0.0025924158,0.04927505,-0.041797157,0.00031375053,0.008175125,0.0014309571,0.14131168,-0.08822087,-0.08940259,-0.008904426,0.108864225,0.053450998,-0.04459012,0.0031268538,0.001577358,0.04593305,-0.0040509775,0.017425375,0.0024537223,0.056543276,-0.012529809,0.0013561806,0.0024323582,0.1729477,-0.03829285,0.2624125,-0.049243353,0.0011722868,0.07423644,0.03619092,-0.030427756,-0.001896711,-0.059452638,0.00035528277,0.0012130692,-0.12686251,-0.02184776,-0.0045093647,-0.0018215943,0.050629657,-0.022060616,-0.0046962006,0.057266448,0.04988806,-0.00820495
02H033,-0.020480137,-0.048123226,-0.093677066,0.07511061,-0.060680624,-0.00049636833,0.018546503,-0.036672346,0.0023674457,-0.008304802,-0.004665599,0.15592523,-0.035743967,0.022012461,-0.0011595946,0.07598785,-0.13349889,-0.012833135,-0.008973363,6.894688e-05,0.0010877212,-0.003950868,0.014208608,0.0062088124,0.020339178,-0.03429496,-0.0011197135,-0.021537252,0.15663226,0.02030619,0.23750825,-0.08811206,-0.0014606386,-0.029658183,-0.016463164,0.024913618,-0.0018504793,-0.022526715,0.004783016,-0.008587342,-0.07547789,0.021873876,-0.0030582126,-0.00027063143,-0.06432064,0.0022215615,0.0030561239,0.071982756,0.09542569,-0.02992338
02H046,-0.016059026,-0.20926711,0.013643612,0.26111326,-0.053638387,-0.00408457,0.027530728,0.07938979,-0.0067996774,0.00953426,-0.00020150845,-0.08039869,0.18117976,0.06601547,0.040950865,-0.105395816,-0.046239126,-0.012680512,0.008553442,0.0058505563,-0.08068988,-0.0025791,-0.082031086,0.0029881413,0.023721058,0.03680927,0.010582507,0.10980515,0.08987413,-0.104120955,-0.0025027043,-0.066087075,-0.0015298094,-0.10170551,-0.00085607404,0.040923424,-0.012350182,0.017742887,-0.0080509605,-0.004043805,-0.009863558,-0.0032310493,-0.00035867115,0.017689727,0.008816087,0.015495662,0.006982608,0.03582756,0.0005125046,-0.019049559
02H053,0.10610302,-0.0048442692,0.05012699,0.24788676,0.009659146,-0.0060981223,0.08643264,-0.057467252,0.0059716166,0.0072012474,0.0009249737,0.09008538,0.13974349,-0.028877992,0.07092496,0.13912779,0.16463615,0.05444491,-0.013363748,-0.002371263,-0.048100922,0.0068067987,0.016234703,0.010116831,0.019793864,-0.0148453005,0.0016539518,0.03375953,-0.06825471,-0.06053215,-0.003978918,0.024791889,-0.0010045018,0.10589436,-0.02688232,0.023761658,-0.0055583795,0.03158118,-0.0024200382,-0.0018269779,0.05357217,0.111085914,0.0021864828,0.0021270087,-0.09399009,-0.15341635,-0.010862807,-0.07393452,0.16415864,0.028924163
